     K02P00N* C2002 08 02.36352 21 25 24.95 -14 59 36.8          17.4 Rmg0117G78
     K02P00N  C2002 08 03.85014 21 03 15.54 -01 55 07.2          16.2 Rcg0118046
     K02P00N  C2002 08 03.85082 21 03 14.84 -01 54 44.6                cg0118046
     K02P00N  C2002 08 03.85130 21 03 14.30 -01 54 27.9                cg0118046
     K02P00N  C2002 08 03.85167 21 03 13.92 -01 54 15.7                cg0118046
     K02P00N  C2002 08 03.85203 21 03 13.62 -01 54 04.4                cg0118046
     K02P00N  C2002 08 03.85237 21 03 13.16 -01 53 51.5                cg0118046
     K02P00N  C2002 08 03.85285 21 03 12.71 -01 53 36.7                cg0118046
     K02P00N  C2002 08 03.85331 21 03 12.18 -01 53 21.0                cg0118046
     K02P00N  C2002 08 03.89455 21 02 27.57 -01 30 16.4                ag0118118
     K02P00N  C2002 08 03.89514 21 02 26.92 -01 29 56.3                ag0118118
     K02P00N  C2002 08 03.89630 21 02 25.72 -01 29 18.2                ag0118118
     K02P00N  C2002 08 03.89677 21 02 25.17 -01 29 01.9                ag0118118
     K02P00N  C2002 08 03.90041 21 02 21.24 -01 26 59.5          16.2 Rag0118118
     K02P00N  C2002 08 04.26832 20 56 25.99 +02 01 31.2          15.3 Rdg0118734
     K02P00N  C2002 08 04.26990 20 56 24.15 +02 02 26.1          15.4 Rdg0118734
     K02P00N  C2002 08 04.27456 20 56 29.16 +02 05 50.4          17.1 Vmg0118G78
     K02P00N  C2002 08 04.27556 20 56 27.95 +02 06 25.2          17.1 Vmg0118G78
     K02P00N  C2002 08 04.27755 20 56 25.80 +02 07 32.1          16.5 Vmg0118G78
     K02P00N  C2002 08 04.27852 20 56 24.63 +02 08 05.9          16.8 Vmg0118G78
     K02P00N  C2002 08 04.47196 20 52 47.12 +03 57 38.3          16.4 Vmg0118G78
     K02P00N  C2002 08 04.47297 20 52 45.95 +03 58 13.6          16.1 Vmg0118G78
     K02P00N  C2002 08 04.47400 20 52 44.96 +03 58 46.7          16.4 Vmg0118G78
     K02P00N  C2002 08 04.47499 20 52 43.82 +03 59 21.3          16.8 Vmg0118G78
     K02P00N  C2002 08 04.47612 20 52 42.66 +03 59 59.2          16.6 Vmg0118G78
     K02P00N  C2002 08 04.47711 20 52 41.58 +04 00 32.7          16.7 Vmg0118G78
     K02P00N  C2002 08 04.97373 20 45 12.70 +08 39 35.5          16.8 Rdg0118J95
     K02P00N  C2002 08 04.97731 20 45 08.79 +08 41 36.9                dg0118J95
     K02P00N  C2002 08 04.98096 20 45 04.74 +08 43 40.1          16.0 Rdg0118J95
     K02P00N  C2002 08 05.21668 20 41 30.91 +10 58 02.3          16.7 Vmg0118G78
     K02P00N  C2002 08 05.21767 20 41 29.82 +10 58 36.1          16.8 Vmg0118G78
     K02P00N  C2002 08 05.21867 20 41 28.64 +10 59 10.4          16.7 Vmg0118G78
     K02P00N  C2002 08 05.21969 20 41 27.62 +10 59 42.3          17.2 Vmg0118G78
     K02P00N  C2002 08 05.22074 20 41 26.32 +11 00 18.8          16.9 Vmg0118G78
     K02P00N  C2002 08 05.22171 20 41 25.23 +11 00 52.2          16.6 Vmg0118G78
     K02P00N  C2002 08 05.22675 20 41 19.46 +11 03 41.7          16.6 Vmg0118G78
     K02P00N  C2002 08 05.22771 20 41 18.40 +11 04 14.4          16.7 Vmg0118G78
     K02P00N  C2002 08 05.23061 20 41 15.08 +11 05 51.6          16.6 Vmg0118G78
     K02P00N  C2002 08 05.25429 20 40 49.26 +11 18 54.1                cg0118670
     K02P00N  C2002 08 05.27729 20 40 22.55 +11 31 47.9                cg0118670
     K02P00N  C2002 08 05.33107 20 39 19.99 +12 01 41.0                cg0118670
     K02P00N  C2002 08 05.39457 20 38 04.31 +12 36 48.7          16.7 Vmg0118G78
     K02P00N  C2002 08 05.39685 20 38 01.78 +12 38 03.1          17.3 Vmg0118G78
     K02P00N  C2002 08 05.41718 20 37 38.63 +12 49 09.6          17.1 Vmg0118G78
     K02P00N  C2002 08 05.41812 20 37 37.56 +12 49 39.3          17.1 Vmg0118G78
     K02P00N  C2002 08 05.41914 20 37 36.42 +12 50 13.3          16.9 Vmg0118G78
     K02P00N  C2002 08 05.42008 20 37 35.36 +12 50 43.7          17.0 Vmg0118G78
     K02P00N  C2002 08 05.43202 20 37 21.94 +12 57 13.1          16.7 Vmg0118G78
     K02P00N  C2002 08 05.43298 20 37 20.93 +12 57 44.6          17.1 Vmg0118G78
     K02P00N  C2002 08 05.43391 20 37 19.80 +12 58 13.3          16.9 Vmg0118G78
     K02P00N  C2002 08 05.89084 20 30 20.82 +17 03 55.1                cg0118246
     K02P00N  C2002 08 05.89106 20 30 20.55 +17 04 02.6                cg0118246
     K02P00N  C2002 08 05.89130 20 30 20.28 +17 04 09.4                cg0118246
     K02P00N  C2002 08 05.89295 20 30 18.54 +17 05 01.2                cg0118246
     K02P00N  C2002 08 05.89323 20 30 18.26 +17 05 09.3                cg0118246
     K02P00N  C2002 08 07.22428 20 08 25.16 +28 01 54.0                cg0118670
     K02P00N  C2002 08 07.27262 20 07 28.18 +28 23 43.3                cg0118670
     K02P00N  C2002 08 08.25585 19 51 13.81 +35 05 59.1          16.7 Vmg0118G78
     K02P00N  C2002 08 08.25690 19 51 12.77 +35 06 22.7          17.5 Vmg0118G78
     K02P00N  C2002 08 08.25790 19 51 11.43 +35 06 46.0          18.2 Vmg0118G78
     K02P00N  C2002 08 08.25888 19 51 10.26 +35 07 08.7          18.2 Vmg0118G78
     K02P00N  C2002 08 08.25990 19 51 09.10 +35 07 32.7          17.7 Vmg0118G78
     K02P00N  C2002 08 09.25619 19 34 45.42 +40 44 06.5          18.3 Rcg0118649
     K02P00N  C2002 08 09.25735 19 34 44.10 +40 44 27.5          18.7 Rcg0118649
     K02P00N  C2002 08 09.25907 19 34 42.12 +40 44 58.3          18.3 Rcg0118649
     K02P00N 1C2002 08 10.19272 19 20 14.82 +45 03 07.5                cg0118658
     K02P00N 1C2002 08 10.19363 19 20 13.83 +45 03 21.6                cg0118658
     K02P00N 1C2002 08 10.19455 19 20 12.87 +45 03 36.0                cg0118658
     K02P00N 1C2002 08 10.19547 19 20 11.86 +45 03 50.0                cg0118658
     K02P00N  C2002 08 11.34851 19 01 59.83 +49 19 42.1          18.7 Rcg0118649
     K02P00N  C2002 08 11.35253 19 01 55.95 +49 20 24.7          18.2 Rcg0118649
     K02P00N  C2002 08 11.35655 19 01 52.08 +49 21 07.2          18.7 Rcg0118649
     K02P00N  C2002 08 14.23278 18 22 13.90 +56 24 50.6          18.8 Rcg0118649
     K02P00N  C2002 08 14.23435 18 22 12.58 +56 24 59.6          19.4 Rcg0118649
     K02P00N  C2002 08 14.23593 18 22 11.18 +56 25 08.6          19.0 Rcg0118649
     K02P00N 3C2002 08 14.87360 18 14 36.37 +57 30 45.7          19.0 Rcg0118950
     K02P00N 3C2002 08 14.87428 18 14 35.75 +57 30 49.8                cg0118950
     K02P00N 3C2002 08 14.87494 18 14 35.11 +57 30 54.1                cg0118950
     K02P00N  C2002 08 15.33192 18 08 34.28 +58 09 39.0          19.3 Rcg0118649
     K02P00N  C2002 08 15.33771 18 08 29.88 +58 10 02.7          19.4 Rcg0118649
     K02P00N  C2002 08 15.34351 18 08 25.52 +58 10 28.0          20.0 Rcg0118649
     K02P00N  C2003 04 08.23149314 57 12.96 -79 50 27.5          23.3 Rch6143309
     K02P00N  C2003 04 08.23258114 57 12.54 -79 50 29.3          23.1 Rch6143309
     K02P00N  C2003 04 08.23365714 57 12.16 -79 50 31.2          23.0 Rch6143309
