f4287K08O09B* C2008 07 29.34054 21 06 47.98 +04 56 16.9          20.7 Vrz3154G96
f4287K08O09B  C2008 09 23.11185520 01 31.38 -02 45 47.7          20.8 Voz6789H55
f4287K08O09B  C2008 09 23.12417420 01 30.92 -02 45 54.9          20.5 Voz6789H55
f4287K08O09B  C2008 09 23.13528120 01 30.55 -02 46 04.9                oz6789H55
f4287K08O09B  C2008 09 23.14535920 01 30.19 -02 46 10.8          20.9 Voz6789H55
f4287K08O09B  C2008 09 23.15423620 01 29.91 -02 46 16.8          20.8 Voz6789H55
f4287K08O09B  C2008 10 05.06699 19 57 52.17 -05 01 18.3          20.9 Vo~0049H55
f4287K08O09B  C2008 10 05.07540 19 57 52.13 -05 01 24.3          20.7 Vo~0049H55
f4287K08O09B  C2008 10 05.08192 19 57 52.10 -05 01 28.4          21.0 Vo~0049H55
f4287K08O09B  C2008 10 22.04778 20 02 53.91 -07 49 08.0          20.5 Rr~00Ac304
f4287K08O09B  C2008 10 22.05156 20 02 54.05 -07 49 10.0          20.4 Rr~00Ac304
f4287K08O09B  C2008 10 22.05535 20 02 54.18 -07 49 12.0          20.2 Rr~00Ac304
f4287K08O09B  C2008 10 22.05913 20 02 54.33 -07 49 14.0          20.5 Rr~00Ac304
f4287K08O09B  C2008 10 22.06293 20 02 54.47 -07 49 15.8          20.5 Rr~00Ac304
f4287K08O09B  C2008 10 22.06671 20 02 54.61 -07 49 17.9          20.3 Rr~00Ac304
f4287K08O09B  C2008 10 22.07051 20 02 54.74 -07 49 19.8          20.5 Rr~00Ac304
f4287K08O09B  C2008 10 22.07431 20 02 54.89 -07 49 21.8          20.6 Rr~00Ac304
f4287K08O09B  C2008 10 22.07810 20 02 55.04 -07 49 23.8          20.6 Rr~00Ac304
f4287K08O09B  C2008 10 22.08189 20 02 55.18 -07 49 26.0          20.5 Rr~00Ac304
f4287K08O09B  C2008 10 22.08567 20 02 55.31 -07 49 27.8          20.5 Rr~00Ac304
f4287K08O09B  C2008 10 22.08946 20 02 55.47 -07 49 29.9          20.3 Rr~00Ac304
f4287K08O09B  C2008 10 22.09324 20 02 55.57 -07 49 31.2          20.2 Rr~00Ac304
f4287K08O09B  C2008 10 22.09703 20 02 55.71 -07 49 33.6          20.6 Rr~00Ac304
f4287K08O09B  C2008 10 22.10081 20 02 55.86 -07 49 35.8          20.3 Rr~00Ac304
f4287K08O09B  C2008 11 30.07693 20 56 43.53 -11 34 47.6          20.4 Vo~01yO291
f4287K08O09B  C2008 11 30.08063 20 56 43.97 -11 34 48.1          20.5 Vo~01yO291
f4287K08O09B HC2008 11 30.08436 20 56 44.60 -11 34 49.9                o~01yO291
f4287K08O09B  C2009 01 14.44046 23 10 07.43 -10 53 39.5          19.3 Rr~03JeE12
f4287K08O09B  C2009 01 14.44474 23 10 08.31 -10 53 39.1          18.9 Rr~03JeE12
f4287K08O09B  C2009 01 16.03537723 16 20.69 -10 47 28.4          20.4 Vo~03JeH55
f4287K08O09B  C2009 01 16.04088223 16 21.94 -10 47 27.6          20.4 Vo~03JeH55
f4287K08O09B  C2009 01 31.03480300 20 52.90 -09 35 37.7          19.9 Vo~03JeH55
f4287K08O09B  C2009 01 31.03899400 20 54.07 -09 35 36.1          19.7 Vo~03JeH55
f4287K08O09B  C2009 01 31.04329000 20 55.31 -09 35 34.6          19.5 Vo~03JeH55
f4287K08O09B  C2009 03 03.07938 03 26 34.16 -04 15 19.0          19.4 Vo~04sRH55
f4287K08O09B  C2009 03 03.08203 03 26 35.34 -04 15 16.0          19.5 Vo~04sRH55
f4287K08O09B  C2009 03 03.08318 03 26 35.83 -04 15 14.5          19.6 Vo~04sRH55
f4287K08O09B FC2009 03 12.81542 04 42 41.66 -01 05 23.5                c~05HB587
f4287K08O09B  C2009 03 17.10180805 16 45.79 +00 23 14.8          18.6 Vo~05HBH55
f4287K08O09B  C2009 03 17.10370905 16 46.70 +00 23 17.4          18.7 Vo~05HBH55
f4287K08O09B  C2009 03 17.10654705 16 48.01 +00 23 20.7          18.8 Vo~05HBH55
f4287K08O09B  C2009 03 18.82765 05 30 16.79 +00 58 08.3          18.8 Rr~05HB130
f4287K08O09B  C2009 03 18.83413 05 30 19.81 +00 58 16.4          18.9 Rr~05HB130
f4287K08O09B  C2009 03 30.05012 06 51 30.57 +04 12 56.0          19.4 Vo~05t2H55
f4287K08O09B  C2009 03 30.05195 06 51 31.28 +04 12 57.5          19.4 Vo~05t2H55
f4287K08O09B  C2009 03 30.05379 06 51 32.02 +04 12 58.8          19.3 Vo~05t2H55
f4287K08O09B  C2009 04 09.10482007 50 49.19 +06 01 30.0          19.6 Vo~06BQH55
f4287K08O09B  C2009 04 09.10633307 50 49.68 +06 01 30.7          19.3 Vo~06BQH55
f4287K08O09B  C2009 04 09.10934307 50 50.62 +06 01 31.9          19.1 Vo~06BQH55
f4287K08O09B  C2009 04 17.13079 08 29 08.45 +06 46 33.8          19.5 Vo~06MpH55
f4287K08O09B  C2009 04 17.13193 08 29 08.71 +06 46 34.2          19.6 Vo~06MpH55
f4287K08O09B  C2009 04 17.13306 08 29 08.97 +06 46 34.6          19.0 Vo~06MpH55
f4287K08O09B  C2009 04 17.13419 08 29 09.19 +06 46 34.9          19.2 Vo~06MpH55
f4287K08O09B  C2009 04 23.18990 08 53 43.51 +07 01 36.9          19.9 Vr~06Mp703
f4287K08O09B  C2009 04 23.19714 08 53 45.13 +07 01 38.0          20.3 Vr~06Mp703
f4287K08O09B  C2009 04 23.20440 08 53 46.78 +07 01 39.3          20.3 Vr~06Mp703
f4287K08O09B  C2009 04 23.21155 08 53 48.33 +07 01 39.1          19.6 Vr~06Mp703
f4287K08O09B KC2014 06 09.42711 23 00 53.33 +08 04 56.6                o~15Kk291
f4287K08O09B KC2014 06 09.43145 23 00 53.66 +08 04 59.4                o~15Kk291
f4287K08O09B KC2014 06 09.43579 23 00 53.97 +08 05 02.4          20.5 Ro~15Kk291
f4287K08O09B KC2014 08 20.01299 00 49 36.59 +25 30 26.3          18.5 Vq~17TjZ81
f4287K08O09B KC2014 08 20.05293 00 49 42.27 +25 31 13.8          18.9 Vq~17TjZ81
f4287K08O09B KC2014 08 20.07653 00 49 45.61 +25 31 42.0          18.8 Vq~17TjZ81
f4287K08O09B KC2014 08 21.06942 00 52 13.46 +25 51 19.0          18.6 Vq~17TjZ81
f4287K08O09B KC2014 08 21.09552 00 52 17.30 +25 51 50.1          18.8 Vq~17TjZ81
f4287K08O09B KC2014 08 21.11671 00 52 20.38 +25 52 15.7          18.6 Vq~17TjZ81
f4287K08O09B  C2014 08 22.39468 00 55 38.11 +26 17 55.8          18.7 Rq~17TjH45
f4287K08O09B  C2014 08 22.39617 00 55 38.34 +26 17 57.7          18.6 Rq~17TjH45
f4287K08O09B  C2014 08 22.39761 00 55 38.56 +26 17 59.4          18.6 Rq~17TjH45
f4287K08O09B  C2014 08 22.39888 00 55 38.76 +26 18 00.9          18.6 Rq~17TjH45
f4287K08O09B  C2014 08 22.39996 00 55 38.92 +26 18 02.3          18.7 Rq~17TjH45
