     K08U91V* C2008 10 28.14388 21 45 25.52 -19 27 44.1          21.1 Vr~00UJG96
     K08U91V  C2009 03 19.29317 12 13 36.94 +30 53 06.7          18.8 Vr~05YN703
     K08U91V  C2009 03 19.30076 12 13 34.96 +30 52 29.8          18.9 Vr~05YN703
     K08U91V  C2009 03 21.96259 12 03 33.37 +27 22 09.2                v~05t5204
     K08U91V  C2009 03 21.96942 12 03 31.89 +27 21 38.5                v~05t5204
     K08U91V  C2009 03 22.05409 12 03 13.80 +27 15 13.7          18.5 Cv~05t5204
     K08U91V  C2009 03 27.28509 11 48 23.36 +21 15 00.5          18.8 Vr~05t5703
     K08U91V  C2009 03 27.29466 11 48 22.03 +21 14 23.7          19.1 Vr~05t5703
     K08U91V  C2009 03 27.29956 11 48 21.31 +21 14 05.3          19.2 Vr~05t5703
     K08U91V  C2009 04 09.13213 11 29 22.43 +10 42 32.3                o~06BSH55
     K08U91V  C2009 04 09.13977 11 29 21.97 +10 42 15.2          20.7 Vo~06BSH55
     K08U91V  C2009 04 09.14745 11 29 21.57 +10 41 57.9          20.8 Vo~06BSH55
     K08U91V  C2009 04 17.17633 11 25 11.75 +06 16 54.5          21.4 Vo~06MsH55
     K08U91V  C2009 04 17.17775 11 25 11.72 +06 16 51.9          21.4 Vo~06MsH55
     K08U91V  C2009 04 17.18757 11 25 11.52 +06 16 34.6          21.0 Vo~06MsH55
