     K07T24U* C2007 10 11.26838 00 43 17.43 -14 27 58.9          20.3 Vrv8884703
     K07T24U  C2007 11 01.17916 00 12 00.16 -21 32 43.5          19.9 Vow3551291
     K07T24U  C2007 11 01.18393 00 11 59.71 -21 32 47.9          19.8 Vow3551291
     K07T24U  C2007 11 01.18780 00 11 59.34 -21 32 51.5          20.0 Vow3551291
     K07T24U  C2007 11 02.14598 00 10 39.08 -21 47 46.9          19.7 Vow3551291
     K07T24U  C2007 11 02.14995 00 10 38.71 -21 47 50.4          19.8 Vow3551291
     K07T24U  C2007 11 02.15405 00 10 38.33 -21 47 54.3          19.7 Vow3551291
     K07T24U  C2007 11 06.15915 00 05 20.37 -22 44 25.4                ow4990291
     K07T24U  C2007 11 06.16310 00 05 20.04 -22 44 28.5                ow4990291
     K07T24U  C2007 11 06.16712 00 05 19.72 -22 44 31.3                ow4990291
     K07T24U  C2007 11 13.16236 23 57 40.02 -23 59 55.1          19.7 Vow6940291
     K07T24U  C2007 11 13.16761 23 57 39.66 -23 59 57.6          19.6 Vow6940291
     K07T24U  C2007 11 13.17164 23 57 39.40 -23 59 59.8          19.7 Vow6940291
     K07T24U HC2007 11 14.17125 23 56 45.38 -24 08 22.6          20.4 Vow6940291
     K07T24U HC2007 11 14.17554 23 56 45.12 -24 08 24.9                ow6940291
     K07T24U  C2007 12 04.08854 23 49 46.96 -25 14 11.2          20.0 Vow9871291
     K07T24U  C2007 12 04.11031 23 49 46.88 -25 14 10.3                ow9871291
     K07T24U  C2007 12 04.13444 23 49 46.77 -25 14 09.1          20.1 Vow9871291
     K07T24U  C2007 12 29.76565 00 03 52.46 -23 48 56.5          20.1 Rox2648204
     K07T24U  C2007 12 31.05576 00 04 52.05 -23 42 10.2          18.5 Rrx2648448
     K07T24U  C2007 12 31.06929 00 04 52.33 -23 42 05.9          19.8 Rrx2648448
     K07T24U  C2007 12 31.08282 00 04 52.62 -23 42 01.1          19.2 Rrx2648448
     K07T24U  C2008 01 01.77813 00 06 10.38 -23 32 54.3                ox2648204
     K07T24U  C2008 01 13.05866 00 14 40.53 -22 10 08.6          18.8 Rrx4337448
     K07T24U  C2008 01 13.06613 00 14 40.53 -22 10 02.9          19.0 Rrx4337448
     K07T24U  C2008 01 13.07209 00 14 40.62 -22 09 59.1          18.8 Rrx4337448
     K07T24U  C2008 01 13.43426 00 14 54.33 -22 04 17.2          18.8 Vrx4337432
     K07T24U  C2008 01 13.46102 00 14 55.00 -22 03 54.5          18.7 Vrx4337432
     K07T24U  C2008 01 13.48788 00 14 55.90 -22 03 31.6          19.0 Vrx4337432
     K07T24U  C2008 01 17.94797 00 18 23.52 -21 00 33.6          18.2 Rrx4337I77
     K07T24U  C2008 01 17.94941 00 18 23.52 -21 00 31.7          18.3 Rrx4337I77
     K07T24U  C2008 01 17.95096 00 18 23.58 -21 00 29.5          18.4 Rrx4337I77
     K07T24U  C2008 01 18.07061 00 18 32.50 -21 00 19.2          18.7 Rrx5068448
     K07T24U  C2008 01 18.07552 00 18 32.53 -21 00 12.5          18.5 Rrx5068448
     K07T24U  C2008 01 18.07979 00 18 32.52 -21 00 06.5          18.4 Rrx5068448
     K07T24U  C2008 01 23.43778 00 24 20.591-17 48 54.14         18.0 Rrx5520E12
     K07T24U  C2008 01 23.45020 00 24 21.271-17 47 59.99         17.9 Rrx5520E12
     K07T24U  C2008 01 23.73710 00 24 59.89 -17 34 17.5          17.6  ox5520204
