     K07S11P* C2007 09 25.46397 08 24 14.61 +45 11 26.3          20.7 Vrv8166G96
     K07S11P  C2015 10 12.73694 02 26 33.10 +22 02 21.3          19.5 Rq~1Yc1D29
     K07S11P  C2015 10 12.75105 02 26 31.83 +22 02 32.9          20.2 Rq~1Yc1D29
     K07S11P  C2015 10 13.38232 02 25 37.44 +22 11 42.5          19.6 rR~1Yc1G45
     K07S11P  C2015 10 13.38818 02 25 36.92 +22 11 48.1          19.5 rR~1Yc1G45
     K07S11P  C2015 10 13.39398 02 25 36.43 +22 11 52.8          19.9 rR~1Yc1G45
     K07S11P  C2015 10 13.40017 02 25 35.87 +22 11 58.2          19.8 rR~1Yc1G45
     K07S11P  C2015 10 13.40513 02 25 35.39 +22 12 02.5          20.1 rR~1Yc1G45
     K07S11P  C2015 10 13.41099 02 25 34.87 +22 12 07.4          19.6 rR~1Yc1G45
     K07S11P  C2015 10 13.41712 02 25 34.36 +22 12 12.9          19.7 rR~1Yc1G45
     K07S11P  C2015 10 13.42887 02 25 33.30 +22 12 22.8          19.9 rR~1Yc1G45
     K07S11P  C2015 10 14.38371 02 24 09.39 +22 26 11.5          20.0 rR~1acDG45
     K07S11P  C2015 10 14.38954 02 24 08.79 +22 26 17.1          19.3 rR~1acDG45
     K07S11P  C2015 10 14.39547 02 24 08.29 +22 26 21.6          19.0 rR~1acDG45
     K07S11P  C2015 10 14.40123 02 24 07.75 +22 26 26.9          19.5 rR~1acDG45
     K07S11P  C2015 10 14.40612 02 24 07.25 +22 26 30.9          18.4 rR~1acDG45
     K07S11P  C2015 10 14.41198 02 24 06.67 +22 26 35.8          18.0 rR~1acDG45
     K07S11P  C2015 10 20.71774 02 14 04.73 +23 55 21.7          18.9 Rq~1acDD29
     K07S11P  C2015 10 20.73273 02 14 03.18 +23 55 33.7          19.4 Rq~1acDD29
     K07S11P  C2015 10 20.74773 02 14 01.61 +23 55 46.0          19.0 Rq~1acDD29
     K07S11P  C2015 10 23.29709 02 09 38.93 +24 30 04.6          19.0 Vq~1acD703
     K07S11P  C2015 10 23.30215 02 09 38.31 +24 30 08.2          19.0 Vq~1acD703
     K07S11P  C2015 10 23.30721 02 09 37.82 +24 30 11.8          19.4 Vq~1acD703
     K07S11P  C2015 10 23.31226 02 09 37.27 +24 30 15.8          19.0 Vq~1acD703
     K07S11P  C2015 10 25.36831 02 05 59.120+24 57 06.26         19.0 iL~1bHmF51
     K07S11P  C2015 10 25.38035 02 05 57.794+24 57 15.58         19.1 iL~1bHmF51
     K07S11P  C2015 10 25.39246 02 05 56.452+24 57 24.93         19.2 iL~1bHmF51
     K07S11P  C2015 11 01.21212 01 53 27.59 +26 19 57.6          19.4 Vq~1bPuG96
     K07S11P  C2015 11 01.21670 01 53 27.06 +26 20 00.7          19.4 Vq~1bPuG96
     K07S11P  C2015 11 01.22128 01 53 26.61 +26 20 04.5                q~1bPuG96
     K07S11P  C2015 11 01.22586 01 53 26.01 +26 20 07.0          19.6 Vq~1bPuG96
     K07S11P  C2015 11 02.70088 01 50 41.63 +26 36 32.3          19.0 Rq~1bPuD29
     K07S11P  C2015 11 02.71676 01 50 39.82 +26 36 42.8          18.8 Rq~1bPuD29
