     K08S11V* C2008 09 25.26245 23 28 05.01 -09 27 00.6          20.7 Vrz8086G96
     K08S11V  C2009 04 03.03969 10 40 25.35 +22 22 40.1          12.8 Ro~06BQA32
     K08S11V  C2009 04 03.04086 10 40 27.36 +22 22 04.4          12.8 Ro~06BQA32
     K08S11V  C2009 04 03.79871 10 59 39.07 +16 34 48.8                r~06BQ557
     K08S11V  C2009 04 03.80210 10 59 43.30 +16 33 25.7                r~06BQ557
     K08S11V  C2009 04 03.80548 10 59 47.53 +16 32 02.6                r~06BQ557
     K08S11V  C2009 04 03.80909 10 59 52.04 +16 30 33.8                r~06BQ557
     K08S11V  C2009 04 03.81258 10 59 56.38 +16 29 08.3                r~06BQ557
     K08S11V  C2009 04 03.81606 11 00 00.72 +16 27 42.8                r~06BQ557
     K08S11V  C2009 04 03.81960 11 00 05.09 +16 26 16.4                r~06BQ557
     K08S11V  C2009 04 03.82298 11 00 09.29 +16 24 53.5                r~06BQ557
     K08S11V  C2009 04 03.82636 11 00 13.45 +16 23 31.0                r~06BQ557
     K08S11V  C2009 04 03.82998 11 00 17.93 +16 22 02.4                r~06BQ557
     K08S11V  C2009 04 03.83335 11 00 22.09 +16 20 40.0                r~06BQ557
     K08S11V  C2009 04 03.83674 11 00 26.26 +16 19 17.4                r~06BQ557
     K08S11V  C2009 04 03.84035 11 00 30.72 +16 17 49.1                r~06BQ557
     K08S11V  C2009 04 03.84373 11 00 34.90 +16 16 26.5                r~06BQ557
     K08S11V kC2009 04 03.85007511 00 40.38 +16 14 00.5                r~0UsU089
     K08S11V kC2009 04 03.88890611 01 27.50 +15 58 17.5                r~0UsU089
     K08S11V kC2009 04 03.88968611 01 28.41 +15 57 59.5                r~0UsU089
     K08S11V  C2009 04 03.96155 11 02 57.18 +15 29 08.5          13.6 Ro~06BQA32
     K08S11V  C2009 04 03.96311 11 02 58.98 +15 28 31.5          13.6 Ro~06BQA32
     K08S11V  C2009 04 03.96466 11 03 00.89 +15 27 55.3          13.6 Ro~06BQA32
     K08S11V  C2009 04 03.96583 11 03 02.22 +15 27 27.8          13.6 Ro~06BQA32
     K08S11V  C2009 04 03.96700 11 03 03.58 +15 26 59.3          13.6 Ro~06BQA32
     K08S11V kC2009 04 04.00515011 03 45.79 +15 12 11.2                r~0UsU089
     K08S11V  C2009 04 04.14998 11 06 43.72 +14 17 49.5          13.4 Rr~068LH45
     K08S11V  C2009 04 04.15039 11 06 44.18 +14 17 40.1          13.2 Rr~068LH45
     K08S11V  C2009 04 04.15081 11 06 44.63 +14 17 30.9          13.4 Rr~068LH45
     K08S11V  C2009 04 04.15147 11 06 45.35 +14 17 16.0          13.5 Rr~068LH45
     K08S11V  C2009 04 04.15203 11 06 45.94 +14 17 04.0          13.5 Rr~068LH45
     K08S11V  C2009 04 04.15338 11 06 47.41 +14 16 33.6          13.4 Rr~068LH45
     K08S11V  C2009 04 04.15375 11 06 47.81 +14 16 25.3          13.3 Rr~068LH45
     K08S11V  C2009 04 04.15457 11 06 48.70 +14 16 07.1          13.5 Rr~068LH45
     K08S11V  C2009 04 04.15524 11 06 49.42 +14 15 52.1          13.4 Rr~068LH45
     K08S11V  C2009 04 04.92698 11 19 38.40 +09 57 55.3          13.1 Co~068LJ94
     K08S11V  C2009 04 04.92834 11 19 39.53 +09 57 31.1          13.1 Co~068LJ94
     K08S11V  C2009 04 04.92888 11 19 39.99 +09 57 21.4          13.2 Co~068LJ94
     K08S11V  C2009 04 05.09363 11 22 01.07 +09 12 27.9                r~068LI21
     K08S11V  C2009 04 05.13624 11 22 34.14 +09 00 24.8                r~068LI21
     K08S11V  C2009 04 05.16052 11 22 52.81 +08 53 35.7                r~068LI21
     K08S11V  C2009 04 05.49304 11 27 15.19 +07 22 31.0          13.1 Vr~068L379
     K08S11V  C2009 04 05.49392 11 27 15.82 +07 22 17.7          13.1 Vr~068L379
     K08S11V  C2009 04 05.49503 11 27 16.55 +07 22 00.5          13.1 Vr~068L379
     K08S11V  C2009 04 05.49541 11 27 16.83 +07 21 54.9          13.1 Vr~068L379
     K08S11V  C2009 04 05.49578 11 27 17.08 +07 21 48.6          13.1 Vr~068L379
     K08S11V  C2009 04 05.49615 11 27 17.37 +07 21 43.3          13.3 Vr~068L379
     K08S11V  C2009 04 05.49652 11 27 17.62 +07 21 37.6          13.2 Vr~068L379
     K08S11V  C2009 04 05.49689 11 27 17.86 +07 21 32.3          13.2 Vr~068L379
     K08S11V  C2009 04 05.49726 11 27 18.13 +07 21 26.2          13.1 Vr~068L379
     K08S11V  C2009 04 05.57343 11 28 10.10 +07 02 18.1          13.5 Vr~068L379
     K08S11V  C2009 04 05.57898 11 28 13.84 +07 00 55.3          13.4 Vr~068L379
     K08S11V  C2009 04 05.98362 11 32 46.99 +05 25 06.4          13.4 Ro~06BQA32
     K08S11V  C2009 04 05.98815 11 32 49.76 +05 24 06.2          13.5 Ro~06BQA32
     K08S11V  C2009 04 05.99016 11 32 50.99 +05 23 38.7          13.5 Ro~06BQA32
     K08S11V  C2009 04 05.99218 11 32 52.24 +05 23 11.6          13.5 Ro~06BQA32
     K08S11V  C2009 04 05.99470 11 32 53.80 +05 22 38.3          13.5 Ro~06BQA32
     K08S11V  C2009 04 06.07576 11 33 49.13 +05 07 32.5                r~068LI21
     K08S11V  C2009 04 06.12763 11 34 19.05 +04 56 19.4                r~068LI21
     K08S11V  C2009 04 06.48175 11 37 50.11 +03 41 33.4          13.5 Vr~06BQ379
     K08S11V  C2009 04 06.48323 11 37 50.90 +03 41 16.1          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.48508 11 37 51.87 +03 40 54.1          13.7 Vr~06BQ379
     K08S11V  C2009 04 06.48619 11 37 52.45 +03 40 41.4          13.5 Vr~06BQ379
     K08S11V  C2009 04 06.48912 11 37 53.97 +03 40 07.0          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.48949 11 37 54.16 +03 40 02.3          13.5 Vr~06BQ379
     K08S11V  C2009 04 06.48986 11 37 54.37 +03 39 58.5          13.5 Vr~06BQ379
     K08S11V  C2009 04 06.49060 11 37 54.75 +03 39 49.2          13.4 Vr~06BQ379
     K08S11V  C2009 04 06.49097 11 37 54.94 +03 39 45.4          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.49134 11 37 55.14 +03 39 41.1          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.49171 11 37 55.32 +03 39 36.5          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.49208 11 37 55.53 +03 39 32.5          13.4 Vr~06BQ379
     K08S11V  C2009 04 06.49282 11 37 55.90 +03 39 23.3          13.5 Vr~06BQ379
     K08S11V  C2009 04 06.49356 11 37 56.30 +03 39 14.7          13.5 Vr~06BQ379
     K08S11V  C2009 04 06.49505 11 37 57.08 +03 38 57.3          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.49542 11 37 57.28 +03 38 53.1          13.6 Vr~06BQ379
     K08S11V  C2009 04 06.49616 11 37 57.65 +03 38 44.3          13.4 Vr~06BQ379
     K08S11V  C2009 04 06.91809 11 41 38.29 +02 20 23.5          13.4 Rc~06BQ587
     K08S11V  C2009 04 06.91978 11 41 39.08 +02 20 05.8          13.4 Rc~06BQ587
     K08S11V  C2009 04 06.92094 11 41 39.64 +02 19 53.5          13.3 Rc~06BQ587
     K08S11V  C2009 04 06.92189 11 41 40.06 +02 19 43.5          13.5 Rc~06BQ587
     K08S11V  C2009 04 08.20460 11 50 54.48 -00 54 03.1          14.2 Vo~06BQH55
     K08S11V  C2009 04 08.20554 11 50 54.79 -00 54 10.3          14.1 Vo~06BQH55
     K08S11V  C2009 04 08.20666 11 50 55.17 -00 54 19.0          14.1 Vo~06BQH55
     K08S11V  C2009 04 08.20778 11 50 55.55 -00 54 27.8          14.2 Vo~06BQH55
     K08S11V  C2009 04 08.20871 11 50 55.88 -00 54 35.1          14.2 Vo~06BQH55
     K08S11V  C2009 04 08.20945 11 50 56.14 -00 54 40.8          14.2 Vo~06BQH55
     K08S11V  C2009 04 08.21057 11 50 56.52 -00 54 49.6          14.1 Vo~06BQH55
     K08S11V  C2009 04 09.22671 11 56 38.47 -02 53 30.5          14.4 Rr~06BQH26
     K08S11V  C2009 04 09.22715 11 56 38.59 -02 53 33.3          14.4 Rr~06BQH26
     K08S11V  C2009 04 09.22760 11 56 38.71 -02 53 36.1          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.22804 11 56 38.84 -02 53 39.0          14.3 Rr~06BRH26
     K08S11V  C2009 04 09.22848 11 56 38.95 -02 53 41.8          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.22892 11 56 39.07 -02 53 44.5          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.22935 11 56 39.19 -02 53 47.4          14.3 Rr~06BRH26
     K08S11V  C2009 04 09.22980 11 56 39.32 -02 53 50.1          14.3 Rr~06BRH26
     K08S11V  C2009 04 09.23024 11 56 39.44 -02 53 52.8          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.23069 11 56 39.58 -02 53 55.6          14.3 Rr~06BRH26
     K08S11V  C2009 04 09.23114 11 56 39.70 -02 53 58.4          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.23202 11 56 39.95 -02 54 04.0          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.23247 11 56 40.07 -02 54 07.0          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.23290 11 56 40.20 -02 54 09.6          14.3 Rr~06BRH26
     K08S11V  C2009 04 09.23335 11 56 40.32 -02 54 12.4          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.23379 11 56 40.43 -02 54 15.1          14.4 Rr~06BRH26
     K08S11V  C2009 04 09.23424 11 56 40.57 -02 54 17.6          14.3 Rr~06BRH26
     K08S11V  C2009 04 09.23468 11 56 40.68 -02 54 20.9          14.6 Rr~06BRH26
     K08S11V  C2009 04 09.23513 11 56 40.81 -02 54 23.5          14.5 Rr~06BRH26
     K08S11V  C2009 04 09.95808 12 00 06.50 -04 05 00.9          14.6 Ro~06BRA32
     K08S11V  C2009 04 09.96746 12 00 08.81 -04 05 51.8          14.1 Ro~06BRA32
     K08S11V 1C2009 04 09.97000 12 00 08.76 -04 06 09.0          14.5  o~0GCc084
     K08S11V 1C2009 04 09.97107 12 00 09.02 -04 06 14.6          14.5  o~0GCc084
     K08S11V  C2009 04 09.97682 12 00 11.10 -04 06 43.3          14.1 Ro~06BRA32
     K08S11V  C2009 04 10.00305 12 00 17.62 -04 09 02.2          14.8 Vo~06BR510
     K08S11V  C2009 04 10.00933 12 00 19.14 -04 09 36.0          15.1 Vo~06BR510
     K08S11V  C2009 04 11.95483 12 07 38.50 -06 36 59.3          14.6 Ro~06MqA32
     K08S11V  C2009 04 11.96678 12 07 40.60 -06 37 44.9          14.6 Ro~06MqA32
     K08S11V  C2009 04 11.97870 12 07 42.70 -06 38 30.1          14.8 Ro~06MqA32
     K08S11V  C2009 04 11.99063 12 07 44.83 -06 39 15.5          14.7 Ro~06MqA32
     K08S11V  C2009 04 11.99915 12 07 46.34 -06 39 47.9          14.7 Ro~06MqA32
     K08S11V  C2009 04 12.21380 12 08 26.16 -06 51 46.6                r~06BRI21
     K08S11V  C2009 04 12.21940 12 08 27.07 -06 52 06.6                r~06BRI21
     K08S11V  C2009 04 12.22832 12 08 28.58 -06 52 38.7                r~06BRI21
     K08S11V  C2009 04 12.23223 12 08 29.21 -06 52 53.5                r~06BRI21
     K08S11V  C2009 04 12.57602 12 09 33.44 -07 14 25.1          14.8 Vr~06BR379
     K08S11V  C2009 04 12.57723 12 09 33.66 -07 14 29.7          14.8 Vr~06BR379
     K08S11V  C2009 04 12.57845 12 09 33.84 -07 14 33.4          14.9 Vr~06BR379
     K08S11V  C2009 04 12.58235 12 09 34.43 -07 14 46.8          14.8 Vr~06BR379
     K08S11V  C2009 04 12.58356 12 09 34.63 -07 14 51.1          14.8 Vr~06BR379
     K08S11V  C2009 04 12.58622 12 09 35.06 -07 15 00.1          14.8 Vr~06BR379
     K08S11V  C2009 04 12.58743 12 09 35.23 -07 15 04.4          14.7 Vr~06BR379
     K08S11V  C2009 04 12.59236 12 09 36.02 -07 15 20.9          14.9 Vr~06BR379
     K08S11V  C2009 04 12.59358 12 09 36.21 -07 15 25.4          15.7 Vr~06BR379
     K08S11V  C2009 04 12.59479 12 09 36.40 -07 15 29.9          15.5 Vr~06BR379
     K08S11V  C2009 04 13.08758 12 11 01.75 -07 41 42.5                r~06BRI21
     K08S11V  C2009 04 13.09252 12 11 02.45 -07 41 58.3                r~06BRI21
     K08S11V  C2009 04 13.09528 12 11 02.89 -07 42 07.0                r~06BRI21
     K08S11V  C2009 04 13.80367 12 12 55.43 -08 19 01.3          16.8 Vo~06BR151
     K08S11V  C2009 04 13.80455 12 12 55.56 -08 19 03.9          16.8 Vo~06BR151
     K08S11V  C2009 04 13.80542 12 12 55.68 -08 19 06.5          16.6 Vo~06BR151
     K08S11V  C2009 04 13.80630 12 12 55.80 -08 19 09.1          16.8 Vo~06BR151
     K08S11V  C2009 04 13.80717 12 12 55.91 -08 19 11.3          16.7 Vo~06BR151
     K08S11V  C2009 04 13.80796 12 12 56.03 -08 19 13.9          16.8 Vo~06BR151
     K08S11V  C2009 04 13.80893 12 12 56.17 -08 19 16.6          16.7 Vo~06BR151
     K08S11V 1C2009 04 13.85514 12 13 01.48 -08 21 36.1          15.4  o~0GCc084
     K08S11V  C2009 04 13.89737 12 13 08.50 -08 23 32.3          15.5 Vw~06BRJ93
     K08S11V  C2009 04 13.89880 12 13 08.70 -08 23 36.2          15.5 Vw~06BRJ93
     K08S11V  C2009 04 13.90023 12 13 08.90 -08 23 40.2          15.4 Vw~06BRJ93
     K08S11V  C2009 04 15.02390 12 15 46.31 -09 11 34.0                r~06BRI21
     K08S11V  C2009 04 15.02788 12 15 46.80 -09 11 43.6                r~06BRI21
     K08S11V  C2009 04 15.03263 12 15 47.30 -09 11 55.7                r~06BRI21
     K08S11V  C2009 04 15.03513 12 15 47.61 -09 12 01.4                r~06BRI21
     K08S11V  C2009 04 15.56229 12 16 52.79 -09 33 26.0          15.6 Vr~06BR379
     K08S11V  C2009 04 15.56414 12 16 52.99 -09 33 30.1          15.6 Vr~06BR379
     K08S11V  C2009 04 15.56995 12 16 53.60 -09 33 43.5          15.6 Vr~06BR379
     K08S11V  C2009 04 15.57181 12 16 53.79 -09 33 47.5          15.5 Vr~06BR379
     K08S11V  C2009 04 15.60081 12 16 56.85 -09 34 52.3          15.4 Vr~06BR379
     K08S11V  C2009 04 15.60266 12 16 57.06 -09 34 56.4          15.4 Vr~06BR379
     K08S11V  C2009 04 15.60451 12 16 57.24 -09 35 00.4          15.5 Vr~06BR379
     K08S11V  C2009 04 15.61098 12 16 57.92 -09 35 14.9          15.5 Vr~06BR379
     K08S11V  C2009 04 15.61284 12 16 58.13 -09 35 19.0          15.5 Vr~06BR379
     K08S11V  C2009 04 15.82426 12 17 25.65 -09 43 13.6          15.1 Co~06BR639
     K08S11V  C2009 04 15.83248 12 17 26.53 -09 43 31.3          15.3 Co~06BR639
     K08S11V  C2009 04 15.83953 12 17 27.29 -09 43 46.8          15.2 Co~06BR639
     K08S11V  C2009 04 15.84288 12 17 27.66 -09 43 54.3          15.4 Co~06BR639
     K08S11V  C2009 04 16.28932 12 18 17.60 -09 59 30.4          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.28971 12 18 17.67 -09 59 31.2          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29010 12 18 17.72 -09 59 31.7          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29049 12 18 17.75 -09 59 32.9          15.6 Rr~06BRH26
     K08S11V  C2009 04 16.29088 12 18 17.81 -09 59 33.5          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29127 12 18 17.83 -09 59 34.6          15.8 Rr~06BRH26
     K08S11V  C2009 04 16.29166 12 18 17.89 -09 59 35.1          15.6 Rr~06BRH26
     K08S11V  C2009 04 16.29204 12 18 17.90 -09 59 36.1          15.6 Rr~06BRH26
     K08S11V  C2009 04 16.29244 12 18 17.95 -09 59 36.7          15.8 Rr~06BRH26
     K08S11V  C2009 04 16.29282 12 18 17.99 -09 59 37.4          15.6 Rr~06BRH26
     K08S11V  C2009 04 16.29322 12 18 18.03 -09 59 37.8          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29361 12 18 18.06 -09 59 39.3          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29399 12 18 18.12 -09 59 39.9          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29439 12 18 18.16 -09 59 40.6          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29478 12 18 18.19 -09 59 41.2          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29516 12 18 18.25 -09 59 41.9          15.5 Rr~06BRH26
     K08S11V  C2009 04 16.29594 12 18 18.32 -09 59 43.8          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.29634 12 18 18.36 -09 59 44.7          15.6 Rr~06BRH26
     K08S11V  C2009 04 16.29674 12 18 18.41 -09 59 45.1          15.7 Rr~06BRH26
     K08S11V  C2009 04 16.94707 12 19 31.53 -10 21 08.8          15.7 Ro~06MqA32
     K08S11V  C2009 04 16.95388 12 19 32.19 -10 21 21.9          15.6 Ro~06MqA32
     K08S11V  C2009 04 16.96071 12 19 32.85 -10 21 34.7          15.4 Ro~06MqA32
     K08S11V  C2009 04 17.26566 12 20 05.31 -10 30 48.1          15.7 Vr~06BR703
     K08S11V  C2009 04 17.27138 12 20 05.82 -10 30 58.5          15.7 Vr~06BR703
     K08S11V  C2009 04 17.27167 12 20 05.05 -10 31 03.8          16.0 Ro~06BRH26
     K08S11V  C2009 04 17.27247 12 20 05.12 -10 31 05.6          16.3 Ro~06BRH26
     K08S11V  C2009 04 17.27678 12 20 05.50 -10 31 13.0          16.0 Ro~06BRH26
     K08S11V  C2009 04 17.27716 12 20 05.53 -10 31 13.8          17.0 Ro~06BRH26
     K08S11V  C2009 04 17.27719 12 20 06.32 -10 31 08.9          15.7 Vr~06BR703
     K08S11V  C2009 04 17.27912 12 20 05.68 -10 31 18.2          16.4 Ro~06BRH26
     K08S11V  C2009 04 17.27950 12 20 05.71 -10 31 18.3          16.2 Ro~06BRH26
     K08S11V  C2009 04 17.28108 12 20 05.91 -10 31 21.1          16.3 Ro~06BRH26
     K08S11V  C2009 04 17.28185 12 20 05.99 -10 31 21.7          16.3 Ro~06BRH26
     K08S11V  C2009 04 17.28225 12 20 06.04 -10 31 22.9          16.2 Ro~06BRH26
     K08S11V  C2009 04 17.28264 12 20 06.07 -10 31 23.6          16.0 Ro~06BRH26
     K08S11V  C2009 04 17.28300 12 20 06.82 -10 31 19.3          15.7 Vr~06BR703
     K08S11V  C2009 04 17.28302 12 20 06.12 -10 31 24.0          16.4 Ro~06BRH26
     K08S11V  C2009 04 17.92555 12 21 12.27 -10 50 09.8          15.7 Ro~06MqA32
     K08S11V  C2009 04 17.93238 12 21 12.88 -10 50 21.3          15.7 Ro~06MqA32
     K08S11V  C2009 04 17.93920 12 21 13.47 -10 50 32.5          15.7 Ro~06MqA32
     K08S11V  C2009 04 17.94601 12 21 14.05 -10 50 43.8          15.8 Ro~06MqA32
     K08S11V  C2009 04 17.95282 12 21 14.67 -10 50 55.3          15.7 Ro~06MqA32
     K08S11V  C2009 04 18.61238 12 22 17.37 -11 08 29.1          15.8 Vr~06Mq379
     K08S11V  C2009 04 18.62072 12 22 18.04 -11 08 41.9          15.9 Vr~06Mq379
     K08S11V  C2009 04 18.62719 12 22 18.51 -11 08 51.9          15.8 Vr~06Mq379
     K08S11V  C2009 04 18.64571 12 22 20.04 -11 09 19.8          16.0 Vr~06Mq379
     K08S11V  C2009 04 18.64756 12 22 20.17 -11 09 22.8          15.6 Vr~06Mq379
     K08S11V  C2009 04 18.91977 12 22 46.71 -11 16 25.3          16.1 Vw~06MqJ93
     K08S11V  C2009 04 18.92189 12 22 46.89 -11 16 28.5          16.2 Vw~06MqJ93
     K08S11V  C2009 04 18.92400 12 22 47.06 -11 16 31.6          16.2 Vw~06MqJ93
     K08S11V  C2009 04 18.92611 12 22 47.21 -11 16 35.1          16.2 Vw~06MqJ93
     K08S11V  C2009 04 18.96434 12 22 49.90 -11 17 32.5          16.0 Ro~06MqA32
     K08S11V  C2009 04 18.97458 12 22 50.71 -11 17 47.7          16.0 Ro~06MqA32
     K08S11V  C2009 04 18.98482 12 22 51.58 -11 18 02.8          15.9 Ro~06MqA32
     K08S11V  C2009 04 18.99503 12 22 52.40 -11 18 17.8          15.9 Ro~06MqA32
     K08S11V  C2009 04 19.00695 12 22 53.38 -11 18 35.4          16.0 Ro~06MqA32
     K08S11V  C2009 04 19.93288 12 24 15.22 -11 40 22.4          16.3 Vw~06MqJ93
     K08S11V  C2009 04 19.93506 12 24 15.35 -11 40 25.3          16.4 Vw~06MqJ93
     K08S11V  C2009 04 19.93688 12 24 15.47 -11 40 27.7          16.4 Vw~06MqJ93
     K08S11V  C2009 04 19.94544 12 24 15.80 -11 40 39.9          16.0 Ro~06MqA32
     K08S11V  C2009 04 19.95142 12 24 16.25 -11 40 47.9          16.0 Ro~06MqA32
     K08S11V  C2009 04 19.95739 12 24 16.69 -11 40 55.8          16.0 Ro~06MqA32
     K08S11V  C2009 04 19.96337 12 24 17.15 -11 41 03.7          16.1 Ro~06MqA32
     K08S11V  C2009 04 19.96848 12 24 17.51 -11 41 10.8          16.0 Ro~06MqA32
     K08S11V  C2009 04 20.07298 12 24 27.43 -11 42 41.9                r~06MqI21
     K08S11V  C2009 04 20.08071 12 24 28.01 -11 42 51.7                r~06MqI21
     K08S11V  C2009 04 20.96801 12 25 38.94 -12 02 19.8          16.0 Ro~06MqA32
     K08S11V  C2009 04 20.97228 12 25 39.25 -12 02 24.5          16.0 Ro~06MqA32
     K08S11V  C2009 04 20.97655 12 25 39.54 -12 02 30.0          16.1 Ro~06MqA32
     K08S11V  C2009 04 20.98039 12 25 39.84 -12 02 34.8          16.1 Ro~06MqA32
     K08S11V  C2009 04 21.85708 12 26 48.13 -12 19 24.4                o~06Mq046
     K08S11V  C2009 04 21.85866 12 26 48.25 -12 19 25.9                o~06Mq046
     K08S11V  C2009 04 21.85946 12 26 48.30 -12 19 26.6                o~06Mq046
     K08S11V  C2009 04 21.86026 12 26 48.36 -12 19 27.6                o~06Mq046
     K08S11V  C2009 04 21.86116 12 26 48.42 -12 19 28.7                o~06Mq046
     K08S11V  C2009 04 22.07438 12 27 04.45 -12 22 39.4                r~06MqI21
     K08S11V  C2009 04 22.07723 12 27 04.58 -12 22 43.1                r~06MqI21
     K08S11V  C2009 04 22.51370 12 27 36.49 -12 31 01.8          16.3 Vr~06Mq379
     K08S11V  C2009 04 22.51741 12 27 36.71 -12 31 05.8          16.3 Vr~06Mq379
     K08S11V  C2009 04 22.53106 12 27 37.55 -12 31 19.4          16.6 Vr~06Mq379
     K08S11V  C2009 04 23.53595 12 28 48.19 -12 47 52.2          16.2 Vr~06Mq379
     K08S11V  C2009 04 23.53780 12 28 48.30 -12 47 54.3          16.2 Vr~06Mq379
     K08S11V  C2009 04 23.53965 12 28 48.36 -12 47 55.9          16.5 Vr~06Mq379
     K08S11V  C2009 04 23.55479 12 28 49.23 -12 48 10.3          16.8 Vr~06Mq379
     K08S11V  C2009 04 23.55664 12 28 49.35 -12 48 12.1          16.7 Vr~06Mq379
     K08S11V  C2009 04 23.92805 12 29 14.53 -12 54 01.7          16.5 Ro~06sYA32
     K08S11V  C2009 04 23.93573 12 29 14.99 -12 54 08.3          16.5 Ro~06sYA32
     K08S11V  C2009 04 23.94342 12 29 15.42 -12 54 15.4          16.5 Ro~06sYA32
     K08S11V  C2009 04 23.95025 12 29 15.86 -12 54 21.4          16.4 Ro~06sYA32
     K08S11V  C2009 04 24.85809 12 30 16.55 -13 07 32.9                o~06gx046
     K08S11V  C2009 04 24.85922 12 30 16.62 -13 07 33.6                o~06gx046
     K08S11V  C2009 04 24.86002 12 30 16.62 -13 07 33.9                o~06gx046
     K08S11V  C2009 04 24.86088 12 30 16.66 -13 07 35.3                o~06gx046
     K08S11V  C2009 04 24.86174 12 30 16.75 -13 07 36.0                o~06gx046
     K08S11V  C2009 04 24.86256 12 30 16.81 -13 07 36.8                o~06gx046
     K08S11V  C2009 04 24.86340 12 30 16.84 -13 07 37.5                o~06gx046
     K08S11V  C2009 04 24.86422 12 30 16.90 -13 07 38.0                o~06gx046
     K08S11V  C2009 04 24.99178 12 30 24.11 -13 09 22.7          16.8 Cw~06gx160
     K08S11V  C2009 04 24.99442 12 30 24.27 -13 09 24.7          16.7 Cw~06gx160
     K08S11V  C2009 04 24.99613 12 30 24.36 -13 09 25.8          16.7 Cw~06gx160
     K08S11V  C2009 04 26.58183 12 32 04.48 -13 29 56.2          17.7 Vr~06gx379
     K08S11V  C2009 04 26.60034 12 32 05.43 -13 30 09.9                r~06gx379
     K08S11V  C2009 04 27.55110 12 33 03.24 -13 41 16.6          17.6 Vr~06gx379
     K08S11V  C2009 04 27.55687 12 33 03.52 -13 41 20.4                r~06gx379
     K08S11V  C2009 04 27.55873 12 33 03.63 -13 41 21.5                r~06gx379
     K08S11V  C2009 04 27.56058 12 33 03.73 -13 41 22.9                r~06gx379
     K08S11V  C2009 04 27.61699 12 33 06.57 -13 42 00.3                r~06gx379
     K08S11V  C2009 04 28.61470 12 34 05.15 -13 52 46.4          17.2 Vr~06gx379
     K08S11V  C2009 04 28.61655 12 34 05.28 -13 52 47.4          16.9 Vr~06gx379
     K08S11V  C2009 04 28.62302 12 34 05.58 -13 52 51.6          17.8 Vr~06gx379
     K08S11V  C2009 04 28.62487 12 34 05.68 -13 52 52.6          17.3 Vr~06gx379
     K08S11V  C2009 04 29.17650 12 34 37.74 -13 58 03.4                c~06sY808
     K08S11V  C2009 04 29.18333 12 34 38.05 -13 58 07.2                c~06sY808
     K08S11V  C2009 04 29.19028 12 34 38.43 -13 58 11.4                c~06sY808
     K08S11V  C2009 04 29.57162 12 35 00.54 -14 02 23.8          17.1 Vr~06gx379
     K08S11V  C2009 04 29.57347 12 35 00.62 -14 02 24.9          17.2 Vr~06gx379
     K08S11V  C2009 04 29.58368 12 35 01.11 -14 02 31.0          17.5 Vr~06gx379
     K08S11V  C2009 04 29.59015 12 35 01.43 -14 02 34.9          17.3 Vr~06gx379
     K08S11V  C2009 04 29.59848 12 35 01.86 -14 02 39.9          16.7 Vr~06gx379
     K08S11V  C2009 04 29.60034 12 35 01.94 -14 02 40.5          17.4 Vr~06gx379
     K08S11V QC2009 04 30.55344 12 35 55.82 -14 11 12.7          17.0 Rr~06gxE12
     K08S11V QC2009 04 30.56233 12 35 56.24 -14 11 17.5          17.2 Rr~06gxE12
     K08S11V QC2009 04 30.57118 12 35 56.66 -14 11 22.0          17.3 Rr~06gxE12
     K08S11V QC2009 04 30.58032 12 35 57.10 -14 11 27.1          17.3 Rr~06gxE12
     K08S11V  C2009 05 07.11610512 41 51.42 -15 00 59.5          18.3 Vo~06sYH55
     K08S11V  C2009 05 07.11998112 41 51.61 -15 01 01.1          17.8 Vo~06sYH55
     K08S11V  C2009 05 07.12389512 41 51.79 -15 01 03.2          18.2 Vo~06sYH55
     K08S11V  C2009 05 09.17315 12 43 39.86 -15 13 18.1          18.1 Vo~06sYH55
     K08S11V  C2009 05 09.17571 12 43 39.99 -15 13 19.2          18.3 Vo~06sYH55
     K08S11V  C2009 05 09.17788 12 43 40.08 -15 13 20.1          18.5 Vo~06sYH55
     K08S11V  C2009 05 09.18244 12 43 40.27 -15 13 22.1          18.6 Vo~06sYH55
     K08S11V  C2009 05 14.52667 12 48 23.94 -15 40 46.7          19.0 Vr~071TE12
