     K07C19A  C2007 02 18.19692 09 46 37.02 +02 02 39.6          18.2 Vru0458703
     K07C19A  C2007 02 18.37101 09 46 09.42 +02 05 05.4          18.0 Rru0458734
     K07C19A  C2007 02 18.37247 09 46 09.20 +02 05 06.8          18.0 Rru0458734
     K07C19A  C2007 02 18.37392 09 46 08.96 +02 05 07.8          18.3 Rru0458734
     K07C19A  C2007 02 18.37539 09 46 08.74 +02 05 09.2          17.9 Rru0458734
     K07C19A  C2007 02 18.37686 09 46 08.51 +02 05 10.7          17.9 Rru0458734
     K07C19A  C2007 02 18.84148 09 44 57.41 +02 11 47.9          17.8 Vru0458A17
     K07C19A  C2007 02 18.85196 09 44 55.73 +02 11 57.0          17.6 Vru0458A17
     K07C19A  C2007 02 18.86497 09 44 53.67 +02 12 08.4          17.8 Vru0458A17
     K07C19A  C2007 02 18.87573 09 44 51.93 +02 12 18.4                cu0458246
     K07C19A  C2007 02 18.87668 09 44 51.78 +02 12 19.1                cu0458246
     K07C19A  C2007 02 18.87730 09 44 51.68 +02 12 19.5                cu0458246
     K07C19A  C2007 02 18.87840 09 44 51.51 +02 12 20.6                cu0458246
     K07C19A  C2007 02 18.87902 09 44 51.40 +02 12 21.1                cu0458246
     K07C19A  C2007 02 18.87963 09 44 51.31 +02 12 21.6                cu0458246
     K07C19A 4C2007 02 19.31696 09 43 42.62 +02 18 52.6          17.6 Rou0458F65
     K07C19A 4C2007 02 19.32388 09 43 41.47 +02 18 58.9          17.9 Rou0458F65
     K07C19A 4C2007 02 19.32763 09 43 40.85 +02 19 02.2          17.8 Rou0458F65
     K07C19A  C2007 02 19.83980 09 42 18.68 +02 26 39.4          19.1 Vou0458151
     K07C19A  C2007 02 19.84282 09 42 18.18 +02 26 42.1          19.1 Vou0458151
     K07C19A  C2007 02 19.84585 09 42 17.67 +02 26 45.1          19.0 Vou0458151
     K07C19A  C2007 02 19.89476 09 42 09.60 +02 27 30.3          17.6 Vou0458A57
     K07C19A  C2007 02 19.90309 09 42 08.03 +02 27 36.0          17.9 Vou0458A57
     K07C19A  C2007 02 19.90758 09 42 07.49 +02 27 42.7          17.6 Vou0458A57
     K07C19A  C2007 02 19.91190 09 42 06.78 +02 27 46.1          17.7 Vou0458A57
     K07C19A  C2007 02 19.91784 09 42 05.87 +02 27 51.6          17.4 Rcu0458213
     K07C19A  C2007 02 19.92140 09 42 05.27 +02 27 54.3          17.6 Rcu0458213
     K07C19A  C2007 02 19.92230 09 42 05.13 +02 27 55.5          17.8 Rcu0458213
     K07C19A  C2007 02 19.92497 09 42 04.70 +02 27 57.8          18.0 Rcu0458213
     K07C19A  C2007 02 21.19382 09 38 34.47 +02 48 03.0          18.4 Vou0458291
     K07C19A  C2007 02 21.20769 09 38 32.06 +02 48 16.5          18.4 Vou0458291
     K07C19A  C2007 02 21.21576 09 38 30.66 +02 48 24.4          18.4 Vou0458291
     K07C19A  C2007 02 21.31406 09 38 13.48 +02 50 00.4          18.0 Vru0458G96
     K07C19A  C2007 02 21.31634 09 38 13.09 +02 50 02.7          17.9 Vru0458G96
     K07C19A  C2007 02 21.31856 09 38 12.69 +02 50 04.8          17.9 Vru0458G96
     K07C19A  C2007 02 21.32080 09 38 12.33 +02 50 06.9          17.9 Vru0458G96
     K07C19A  C2007 02 21.83536 09 36 44.60 +02 58 36.2                cu0458246
     K07C19A  C2007 02 21.83590 09 36 44.48 +02 58 36.6                cu0458246
     K07C19A  C2007 02 21.83650 09 36 44.39 +02 58 37.4                cu0458246
     K07C19A  C2007 02 21.83711 09 36 44.28 +02 58 37.7                cu0458246
     K07C19A  C2007 02 21.83773 09 36 44.20 +02 58 38.4                cu0458246
     K07C19A  C2007 02 21.83828 09 36 44.08 +02 58 39.0                cu0458246
     K07C19A  C2007 02 21.83884 09 36 43.99 +02 58 39.7                cu0458246
     K07C19A  C2007 02 22.90421 09 33 36.21 +03 16 58.4          17.8 Rcu1583A53
     K07C19A  C2007 02 22.91847 09 33 33.57 +03 17 14.3          17.8 Rcu1583A53
     K07C19A  C2007 02 22.92392 09 33 32.60 +03 17 19.5          17.6 Rcv1387A24
     K07C19A  C2007 02 22.93315 09 33 30.95 +03 17 28.4          18.3 Rcu1583A53
     K07C19A  C2007 02 22.93416 09 33 30.72 +03 17 30.4          17.6 Rcv1387A24
     K07C19A  C2007 02 22.94448 09 33 28.82 +03 17 41.3          17.6 Rcv1387A24
     K07C19A  C2007 02 22.95520 09 33 26.85 +03 17 52.7          17.6 Rcv1387A24
     K07C19A  C2007 02 22.96921 09 33 24.29 +03 18 07.7          17.9 Rcv1387A24
     K07C19A  C2007 02 22.98447 09 33 21.50 +03 18 23.8          17.3 Rcu0458A24
     K07C19A  C2007 02 22.98548 09 33 21.22 +03 18 25.0          17.5 Rcu0458A24
     K07C19A  C2007 02 22.99829 09 33 18.94 +03 18 38.6          18.1 Rcv1387A24
     K07C19A  C2007 02 23.01061 09 33 16.66 +03 18 51.6          17.9 Rcv1387A24
     K07C19A  C2007 02 23.02266 09 33 14.47 +03 19 04.1          17.5 Rcu0459A24
     K07C19A  C2007 02 23.02367 09 33 14.26 +03 19 05.4          17.2 Rcu0459A24
     K07C19A  C2007 02 23.03341 09 33 12.47 +03 19 15.5          17.6 Rcv1387A24
     K07C19A  C2007 02 23.21427 09 32 40.45 +03 22 30.0          18.1 Vru1583703
     K07C19A  C2007 02 23.22289 09 32 38.94 +03 22 39.2          18.2 Vru1583703
     K07C19A  C2007 02 23.23152 09 32 37.32 +03 22 49.1          18.3 Vru1583703
     K07C19A  C2007 02 23.24013 09 32 35.70 +03 22 58.3          18.2 Vru1583703
     K07C19A  C2007 02 24.13646 09 29 51.28 +03 39 32.5                ru1583808
     K07C19A  C2007 02 24.14514 09 29 49.30 +03 39 44.2                ru1583808
     K07C19A  C2007 02 24.15313 09 29 47.82 +03 39 52.7                ru1583808
     K07C19A  C2007 02 25.13845 09 26 42.18 +03 58 17.6          17.9 Vru1583703
     K07C19A  C2007 02 25.14740 09 26 40.45 +03 58 28.3          18.0 Vru1583703
     K07C19A  C2007 02 25.15638 09 26 38.68 +03 58 38.4          18.1 Vru1583703
     K07C19A  C2007 02 25.16534 09 26 36.92 +03 58 48.7          18.0 Vru1583703
     K07C19A  C2007 02 25.17649 09 26 34.76 +03 59 01.8          18.0 Vru1583G96
     K07C19A  C2007 02 25.18925 09 26 32.24 +03 59 16.8          18.0 Vru1583G96
     K07C19A  C2007 02 25.19356 09 26 31.37 +03 59 21.9          18.1 Rru1583448
     K07C19A  C2007 02 25.19583 09 26 30.88 +03 59 24.7          18.3 Rru1583448
     K07C19A  C2007 02 25.19811 09 26 30.44 +03 59 27.3          17.8 Rru1583448
     K07C19A  C2007 02 25.20071 09 26 29.97 +03 59 30.2          18.0 Vru1583G96
     K07C19A  C2007 02 25.20793 09 26 28.57 +03 59 38.5          18.0 Vru1583G96
     K07C19A  C2007 02 25.27532 09 26 15.38 +04 00 56.9                cu1583670
     K07C19A  C2007 02 25.27831 09 26 14.76 +04 00 59.8                cu1583670
     K07C19A  C2007 02 25.39444 09 25 51.80 +04 03 16.1                cu1583670
     K07C19A  C2007 02 26.80765 09 21 13.99 +04 31 40.3          17.9 Vru1583941
     K07C19A  C2007 02 26.80809 09 21 13.91 +04 31 40.9          17.9 Vru1583941
     K07C19A  C2007 02 26.80852 09 21 13.82 +04 31 41.5          17.9 Vru1583941
     K07C19A  C2007 02 26.81071 09 21 13.38 +04 31 44.2          18.0 Vru1583941
     K07C19A  C2007 02 26.81290 09 21 12.94 +04 31 47.1          18.1 Vru1583941
     K07C19A  C2007 02 26.84416 09 21 06.31 +04 32 25.7          17.9 Rcu1583560
     K07C19A  C2007 02 26.84682 09 21 05.76 +04 32 29.0          17.9 Rcu1583560
     K07C19A  C2007 02 26.84947 09 21 05.21 +04 32 32.3          17.8 Rcu1583560
     K07C19A  C2007 02 27.10914 09 20 12.69 +04 38 14.1                ru1583808
     K07C19A  C2007 02 27.11620 09 20 11.15 +04 38 24.3                ru1583808
     K07C19A  C2007 02 27.12708 09 20 08.67 +04 38 38.3                ru1583808
     K07C19A  C2007 03 04.26520 09 01 29.91 +06 36 08.5          18.0 Rru2378448
     K07C19A  C2007 03 04.26901 09 01 28.98 +06 36 14.2          17.4 Rru2378448
     K07C19A  C2007 03 04.27282 09 01 28.12 +06 36 19.6          17.9 Rru2378448
     K07C19A  C2007 03 04.96579 08 58 45.92 +06 53 40.9          17.5 Rou2378461
     K07C19A  C2007 03 04.96647 08 58 45.72 +06 53 42.0                ou2378461
     K07C19A  C2007 03 04.96887 08 58 45.11 +06 53 45.7                ou2378461
     K07C19A  C2007 03 04.97128 08 58 44.54 +06 53 49.5                ou2378461
     K07C19A  C2007 03 05.05231 08 58 26.29 +06 56 15.0                ru2378808
     K07C19A  C2007 03 05.05903 08 58 24.71 +06 56 24.5                ru2378808
     K07C19A  C2007 03 05.06597 08 58 22.81 +06 56 35.1                ru2378808
     K07C19A  C2007 03 05.07292 08 58 21.32 +06 56 46.7                ru2378808
     K07C19A  C2007 03 08.13940 08 45 51.48 +08 17 51.7          17.4 Vou2378H68
     K07C19A  C2007 03 08.14353 08 45 50.50 +08 17 59.1          17.7 Vou2378H68
     K07C19A  C2007 03 08.15178 08 45 48.53 +08 18 13.7                ou2378H68
     K07C19A  C2007 03 08.23992 08 45 25.82 +08 20 37.3          18.1 Rru2378H45
     K07C19A  C2007 03 08.24090 08 45 25.57 +08 20 39.1          18.3 Rru2378H45
     K07C19A  C2007 03 08.24197 08 45 25.29 +08 20 41.0          18.2 Rru2378H45
     K07C19A  C2007 03 08.24440 08 45 24.67 +08 20 45.5          18.0 Rru2378H45
     K07C19A  C2007 03 08.24762 08 45 23.84 +08 20 50.3          18.2 Rru2378H45
     K07C19A  C2007 03 08.24936 08 45 23.41 +08 20 53.5          18.2 Rru2378H45
     K07C19A  C2007 03 08.25451 08 45 22.06 +08 21 01.9          18.2 Rru2378H45
     K07C19A  C2007 03 10.81499 08 34 19.88 +09 33 48.3          17.5 Rru3160J87
     K07C19A  C2007 03 10.82020 08 34 18.47 +09 33 57.5          17.5 Rru3160J87
     K07C19A  C2007 03 10.82545 08 34 17.04 +09 34 06.8          17.5 Rru3160J87
     K07C19A  C2007 03 10.86968 08 34 04.81 +09 35 23.2          17.2 Rcu3160A53
     K07C19A  C2007 03 10.87590 08 34 03.10 +09 35 34.3          17.1 Rcu3160A53
     K07C19A  C2007 03 10.88504 08 34 00.64 +09 35 53.6          17.3 Rcu3160A53
     K07C19A  C2007 03 10.89053 08 33 59.17 +09 35 59.9          17.4 Rcu3160A53
     K07C19A  C2007 03 10.90647 08 33 54.91 +09 36 26.0          17.7 Vru3160B12
     K07C19A  C2007 03 10.90933 08 33 54.17 +09 36 30.8          17.9 Vru3160B12
     K07C19A  C2007 03 10.91302 08 33 53.15 +09 36 37.6          17.7 Vru3160B12
     K07C19A  C2007 03 10.91360 08 33 52.91 +09 36 40.3          16.4 Rcu3160A24
     K07C19A  C2007 03 10.91462 08 33 52.67 +09 36 42.5          17.1 Rcu3160A24
     K07C19A  C2007 03 10.94212 08 33 45.21 +09 37 30.5          16.9 Rcu3160A24
     K07C19A  C2007 03 10.94315 08 33 44.90 +09 37 32.0          16.9 Rcu3160A24
     K07C19A  C2007 03 10.96915 08 33 37.87 +09 38 17.4          16.8 Rcu3160A24
     K07C19A  C2007 03 10.97016 08 33 37.59 +09 38 19.1          17.0 Rcu3160A24
     K07C19A  C2007 03 11.22255 08 32 30.73 +09 45 47.8          17.6 Vru3160703
     K07C19A  C2007 03 11.23067 08 32 28.50 +09 46 01.6          17.5 Vru3160703
     K07C19A  C2007 03 11.23876 08 32 26.23 +09 46 16.1          17.6 Vru3160703
     K07C19A  C2007 03 11.24684 08 32 24.10 +09 46 30.3          17.7 Vru3160703
     K07C19A  C2007 03 11.79488 08 29 57.76 +10 02 38.2          18.3 Vou3160151
     K07C19A  C2007 03 11.79640 08 29 57.35 +10 02 40.9          18.3 Vou3160151
     K07C19A  C2007 03 11.79792 08 29 56.94 +10 02 43.5          18.2 Vou3160151
     K07C19A  C2007 03 11.80267 08 29 55.62 +10 02 52.1          17.9  ru3160130
     K07C19A  C2007 03 11.80468 08 29 55.05 +10 02 55.8          17.9  ru3160130
     K07C19A  C2007 03 11.80668 08 29 54.51 +10 02 59.3          17.7  ru3160130
     K07C19A  C2007 03 11.80869 08 29 53.96 +10 03 02.9          17.9  ru3160130
     K07C19A  C2007 03 11.84076 08 29 45.09 +10 03 59.8                cu3160246
     K07C19A  C2007 03 11.84253 08 29 44.60 +10 04 02.9                cu3160246
     K07C19A  C2007 03 11.84432 08 29 44.12 +10 04 06.1                cu3160246
     K07C19A  C2007 03 11.84588 08 29 43.69 +10 04 08.9                cu3160246
     K07C19A  C2007 03 11.84670 08 29 43.46 +10 04 10.3                cu3160246
     K07C19A  C2007 03 11.84767 08 29 43.20 +10 04 12.1                cu3160246
     K07C19A  C2007 03 11.84836 08 29 43.01 +10 04 13.3                cu3160246
     K07C19A  C2007 03 11.85234 08 29 41.97 +10 04 20.1          17.6 Vru3160240
     K07C19A  C2007 03 11.85332 08 29 41.68 +10 04 22.0          17.5 Vru3160240
     K07C19A  C2007 03 11.85430 08 29 41.40 +10 04 23.8          17.5 Vru3160240
     K07C19A  C2007 03 11.86018 08 29 39.81 +10 04 34.2          17.5 Vru3160240
     K07C19A  C2007 03 11.86116 08 29 39.53 +10 04 35.9          17.5 Vru3160240
     K07C19A  C2007 03 11.86312 08 29 38.98 +10 04 39.6          17.4 Vru3160240
     K07C19A  C2007 03 11.86410 08 29 38.72 +10 04 41.1          17.4 Vru3160240
     K07C19A  C2007 03 11.89163 08 29 31.05 +10 05 31.0          17.4 Rru3160235
     K07C19A  C2007 03 11.89648 08 29 29.71 +10 05 39.4          17.2 Rru3160235
     K07C19A  C2007 03 11.90132 08 29 28.35 +10 05 47.8          17.0 Rru3160235
     K07C19A  C2007 03 11.94996 08 29 15.05 +10 07 15.3          17.1 Rcu3160A24
     K07C19A  C2007 03 11.95097 08 29 14.75 +10 07 16.9          17.2 Rcu3160A24
     K07C19A  C2007 03 11.97798 08 29 07.35 +10 08 04.7          17.3 Rcu3160A24
     K07C19A  C2007 03 11.97898 08 29 07.07 +10 08 07.3          17.1 Rcu3160A24
     K07C19A  C2007 03 12.00477 08 28 59.96 +10 08 52.4          17.1 Rcu3160A24
     K07C19A  C2007 03 12.00577 08 28 59.72 +10 08 53.5          17.3 Rcu3160A24
