     K07R01F* C2007 09 03.22432 21 56 49.30 -12 30 18.1          19.0 Vrv4556703
     K07R01F  C2007 09 03.23075 21 56 40.52 -12 31 44.5          18.7 Vrv4556703
     K07R01F  C2007 09 03.23719 21 56 31.81 -12 33 10.1          19.1 Vrv4556703
     K07R01F  C2007 09 03.24362 21 56 23.02 -12 34 36.3          18.6 Vrv4556703
     K07R01F  C2007 09 03.27895 21 55 34.71 -12 42 23.0          19.0 Vrv4556703
     K07R01F  C2007 09 03.28615 21 55 24.70 -12 43 59.1          18.7 Vrv4556703
     K07R01F  C2007 09 03.29332 21 55 15.09 -12 45 32.5          18.0 Vrv4556703
     K07R01F  C2007 09 03.30049 21 55 05.12 -12 47 07.5          18.5 Vrv4556703
     K07R01F  C2007 09 03.88122 21 43 25.31 -14 54 20.8                rv4556J95
     K07R01F  C2007 09 03.88632 21 43 18.58 -14 55 26.6                rv4556J95
     K07R01F  C2007 09 03.88823 21 43 16.01 -14 55 51.6                rv4556J95
     K07R01F  C2007 09 03.89019 21 43 13.41 -14 56 17.9          18.6 Rrv4556J95
     K07R01F  C2007 09 04.10966221 38 47.19 -15 42 06.8          18.6 Vov4556H55
     K07R01F  C2007 09 04.11216321 38 43.82 -15 42 39.1          18.8 Vov4556H55
     K07R01F  C2007 09 04.11451021 38 40.65 -15 43 09.3          19.0 Vov4556H55
     K07R01F  C2007 09 04.11863 21 38 37.61 -15 43 54.8                rv4556734
     K07R01F  C2007 09 04.12039 21 38 35.24 -15 44 17.7                rv4556734
     K07R01F  C2007 09 04.12214 21 38 32.98 -15 44 40.1                rv4556734
     K07R01F  C2007 09 04.12389 21 38 30.62 -15 45 02.5                rv4556734
     K07R01F  C2007 09 04.12741 21 38 25.84 -15 45 47.9                rv4556734
     K07R01F  C2007 09 04.12980 21 38 28.35 -15 45 32.3          18.7 Rcv4556651
     K07R01F  C2007 09 04.13083 21 38 26.90 -15 45 45.7          18.6 Rcv4556651
     K07R01F  C2007 09 04.13188 21 38 25.58 -15 45 58.8          18.5 Rcv4556651
     K07R01F  C2007 09 04.24137 21 35 56.32 -16 09 27.7          18.6 Vrv4556G96
     K07R01F  C2007 09 04.24451 21 35 51.97 -16 10 07.3          18.8 Vrv4556G96
     K07R01F  C2007 09 04.24765 21 35 47.61 -16 10 46.9          18.7 Vrv4556G96
     K07R01F  C2007 09 04.25081 21 35 43.29 -16 11 26.4          18.8 Vrv4556G96
     K07R01F  C2007 09 04.26889 21 35 18.27 -16 15 12.7          18.5 Vrv4556703
     K07R01F  C2007 09 04.27738 21 35 06.50 -16 16 58.0          18.3 Vrv4556703
     K07R01F  C2007 09 04.28588 21 34 54.94 -16 18 43.4          18.7 Vrv4556703
     K07R01F  C2007 09 04.29438 21 34 43.24 -16 20 27.3          19.1 Vrv4556703
     K07R01F  C2007 09 05.62520 21 07 38.00 -20 36 07.1          19.1 Rcv4556D21
     K07R01F  C2007 09 05.63104 21 07 30.09 -20 37 12.3          18.6 Rcv4556D21
     K07R01F  C2007 09 05.88808 21 02 28.24 -21 31 03.6                rv4556J95
     K07R01F  C2007 09 05.89093 21 02 24.50 -21 31 34.0          19.4 Rrv4556J95
