     K06P01A [C2006 07 20.43356 21 05 53.56 -18 45 16.2                c~0C8E568
     K06P01A* C2006 08 13.23261 20 26 59.62 -20 12 06.9          19.6 Ror5753644
     K06P01A  C2006 12 25.12263 10 43 07.03 +23 05 30.7          16.9 Rit5543071
     K06P01A  C2006 12 25.39381 10 41 42.57 +23 02 52.0          17.2 Vrt2274703
     K06P01A  C2006 12 25.40251 10 41 39.58 +23 02 47.4          17.3 Vrt2274703
     K06P01A  C2006 12 25.41125 10 41 36.60 +23 02 42.7          17.3 Vrt2274703
     K06P01A 1C2006 12 26.06080910 38 11.52 +22 55 47.1          17.4  rv1849084
     K06P01A 1C2006 12 26.06230610 38 11.06 +22 55 46.4          17.4  rv1849084
     K06P01A  C2006 12 27.06605 10 33 08.97 +22 46 10.5                ct2274246
     K06P01A  C2006 12 27.06772 10 33 08.45 +22 46 09.5                ct2274246
     K06P01A  C2006 12 27.06877 10 33 08.11 +22 46 08.6                ct2274246
     K06P01A  C2006 12 27.06947 10 33 07.90 +22 46 08.0                ct2274246
     K06P01A  C2006 12 27.07019 10 33 07.69 +22 46 08.2                ct2274246
     K06P01A  C2006 12 27.99066 10 28 42.44 +22 37 21.5          17.4 Rrt2274113
     K06P01A  C2006 12 27.99221 10 28 41.96 +22 37 20.7          17.2 Rrt2274113
     K06P01A  C2006 12 27.99374 10 28 41.55 +22 37 20.1          17.1 Rrt2274113
     K06P01A  C2006 12 27.99530 10 28 41.08 +22 37 19.3          17.1 Rrt2274113
     K06P01A  C2006 12 27.99682 10 28 40.64 +22 37 18.6          17.5 Rrt2274113
     K06P01A  C2006 12 28.02543 10 28 32.25 +22 37 06.7                ct2274246
     K06P01A  C2006 12 28.02640 10 28 31.94 +22 37 06.1                ct2274246
     K06P01A  C2006 12 28.02757 10 28 31.60 +22 37 05.5                ct2274246
     K06P01A  C2006 12 28.02902 10 28 31.17 +22 37 04.8                ct2274246
     K06P01A  C2006 12 28.02961 10 28 30.95 +22 37 04.5                ct2274246
     K06P01A  C2006 12 28.03024 10 28 30.77 +22 37 04.3                ct2274246
     K06P01A  C2006 12 28.03096 10 28 30.57 +22 37 03.8                ct2274246
     K06P01A  C2006 12 29.31780 10 22 36.79 +22 25 37.7          17.9  ct2274704
     K06P01A  C2006 12 29.32958 10 22 33.43 +22 25 32.4          17.9  ct2274704
     K06P01A  C2006 12 29.34123 10 22 30.11 +22 25 27.0          18.1  ct2274704
     K06P01A  C2006 12 29.35294 10 22 26.74 +22 25 22.3          18.1  ct2274704
     K06P01A  C2006 12 29.36460 10 22 23.52 +22 25 15.5          18.9  ct2274704
     K06P01A  C2006 12 30.05642 10 19 19.46 +22 19 03.7                ct2274246
     K06P01A  C2006 12 30.05734 10 19 19.18 +22 19 03.1                ct2274246
     K06P01A  C2006 12 30.05818 10 19 18.95 +22 19 02.7                ct2274246
     K06P01A  C2006 12 30.05878 10 19 18.76 +22 19 02.2                ct2274246
     K06P01A  C2006 12 30.05971 10 19 18.52 +22 19 02.0                ct2274246
     K06P01A  C2006 12 30.06135 10 19 18.09 +22 19 01.2                ct2274246
     K06P01A 1C2006 12 30.12129110 19 00.81 +22 18 21.0          17.6  rv1849084
     K06P01A 1C2006 12 30.12278210 19 00.40 +22 18 20.0          17.6  rv1849084
     K06P01A  C2006 12 30.43832 10 17 40.39 +22 16 03.1          17.0 Vdt2274G72
     K06P01A  C2006 12 30.44166 10 17 39.44 +22 16 02.5          17.1 Vdt2274G72
     K06P01A  C2006 12 30.44388 10 17 38.73 +22 16 00.5          17.2 Vdt2274G72
     K06P01A  C2006 12 30.44610 10 17 38.20 +22 15 59.9          17.1 Vdt2274G72
     K06P01A  C2006 12 30.44832 10 17 37.55 +22 15 58.5          17.2 Vdt2274G72
     K06P01A  C2006 12 30.45054 10 17 36.91 +22 15 57.8          17.2 Vdt2274G72
     K06P01A  C2006 12 31.16292 10 14 35.09 +22 09 55.6          17.6 Rrt2274170
     K06P01A  C2006 12 31.16470 10 14 34.60 +22 09 54.6          17.5 Rrt2274170
     K06P01A  C2006 12 31.16495 10 14 34.53 +22 09 54.5          17.3 Rrt2274170
     K06P01A  C2006 12 31.49591 10 13 10.75 +22 07 16.3          17.3 Rct2274H45
     K06P01A  C2006 12 31.49662 10 13 10.56 +22 07 15.9          17.2 Rct2274H45
     K06P01A  C2006 12 31.49751 10 13 10.32 +22 07 15.5          17.2 Rct2274H45
     K06P01A  C2006 12 31.49848 10 13 10.07 +22 07 15.0          17.1 Rct2274H45
     K06P01A  C2006 12 31.49922 10 13 09.87 +22 07 14.5          17.3 Rct2274H45
     K06P01A  C2006 12 31.49993 10 13 09.68 +22 07 14.1          17.3 Rct2274H45
     K06P01A  C2007 01 02.40491 10 05 36.42 +21 52 29.3          17.0 Vdt2274G72
     K06P01A  C2007 01 02.41205 10 05 34.66 +21 52 26.9          16.9 Vdt2274G72
     K06P01A  C2007 01 02.41442 10 05 34.04 +21 52 26.4          16.5 Vdt2274G72
     K06P01A  C2007 01 02.41681 10 05 33.64 +21 52 25.2          17.1 Vdt2274G72
     K06P01A  C2007 01 02.44958 10 05 23.94 +21 52 09.1          17.5 Rrt2274H45
     K06P01A  C2007 01 02.45065 10 05 23.67 +21 52 08.6          17.2 Rrt2274H45
     K06P01A  C2007 01 02.45225 10 05 23.29 +21 52 07.7          17.2 Rrt2274H45
     K06P01A  C2007 01 02.45317 10 05 23.05 +21 52 07.3          17.4 Rrt2274H45
     K06P01A  C2007 01 02.45455 10 05 22.71 +21 52 06.7          17.4 Rrt2274H45
     K06P01A  C2007 01 02.45572 10 05 22.41 +21 52 06.1          17.4 Rrt2274H45
     K06P01A  C2007 01 08.41657 09 44 23.67 +21 13 11.2          18.2 Vot5543691
     K06P01A  C2007 01 08.43514 09 44 19.85 +21 13 03.7          17.9 Vot5543691
     K06P01A  C2007 01 08.45019 09 44 16.58 +21 12 59.4          18.2 Vot5543691
     K06P01A  C2007 01 08.47406 09 44 10.89 +21 12 45.7          17.7 Rrt5543H45
     K06P01A  C2007 01 08.47495 09 44 10.71 +21 12 45.2          17.6 Rrt5543H45
     K06P01A  C2007 01 08.47577 09 44 10.54 +21 12 45.2          17.6 Rrt5543H45
     K06P01A  C2007 01 08.47747 09 44 10.17 +21 12 44.2          17.6 Rrt5543H45
     K06P01A  C2007 01 08.47834 09 44 10.02 +21 12 43.9          17.6 Rrt5543H45
     K06P01A  C2007 01 08.47923 09 44 09.82 +21 12 43.6          17.6 Rrt5543H45
     K06P01A  C2007 01 09.39521 09 41 16.35 +21 07 39.1          17.6 Rrt5543H45
     K06P01A  C2007 01 09.39899 09 41 15.55 +21 07 37.9          17.7 Rrt5543H45
     K06P01A  C2007 01 09.40242 09 41 14.87 +21 07 36.6          17.7 Rrt5543H45
     K06P01A  C2007 01 09.40318 09 41 14.73 +21 07 36.4          17.5 Rrt5543H45
     K06P01A  C2007 01 09.40400 09 41 14.53 +21 07 36.1          17.6 Rrt5543H45
     K06P01A  C2007 01 09.40483 09 41 14.38 +21 07 35.7          17.6 Rrt5543H45
     K06P01A  C2007 01 09.40654 09 41 14.03 +21 07 35.1          17.4 Rrt5543H45
     K06P01A  C2007 01 10.33029 09 38 24.18 +21 02 38.0          17.9  ct5543704
     K06P01A  C2007 01 10.33259 09 38 23.82 +21 02 37.7          17.6 Vrt5543703
     K06P01A  C2007 01 10.34026 09 38 22.30 +21 02 35.7          17.5 Vrt5543703
     K06P01A  C2007 01 10.34286 09 38 21.60 +21 02 34.9          18.0  ct5543704
     K06P01A  C2007 01 10.34799 09 38 20.79 +21 02 33.3          17.6 Vrt5543703
     K06P01A  C2007 01 10.35542 09 38 19.14 +21 02 30.1          18.0  ct5543704
     K06P01A  C2007 01 10.35572 09 38 19.24 +21 02 30.9          17.6 Vrt5543703
     K06P01A  C2007 01 10.36800 09 38 16.64 +21 02 26.1          18.0  ct5543704
     K06P01A  C2007 01 10.38099 09 38 14.00 +21 02 22.7          18.1  ct5543704
     K06P01A  C2007 01 11.38383 09 35 12.08 +20 57 11.0          17.7 Rrt5543H45
     K06P01A  C2007 01 11.38519 09 35 11.86 +20 57 10.7          17.6 Rrt5543H45
     K06P01A  C2007 01 11.38598 09 35 11.69 +20 57 10.4          17.6 Rrt5543H45
     K06P01A  C2007 01 11.96545 09 33 30.21 +20 53 59.2          17.6  ct6379A70
     K06P01A  C2007 01 11.97309 09 33 28.89 +20 53 56.4          17.4  ct6379A70
     K06P01A  C2007 01 11.98357 09 33 26.78 +20 53 54.6          18.0  ct6379A70
     K06P01A  C2007 01 12.91007 09 30 47.91 +20 49 32.4          17.3 Rct6379A24
     K06P01A  C2007 01 12.91108 09 30 47.76 +20 49 32.0          16.8 Rct6379A24
     K06P01A  C2007 01 12.92622 09 30 45.04 +20 49 28.3          17.4 Rcv0584A24
     K06P01A  C2007 01 12.95650 09 30 39.62 +20 49 20.8          16.5 Rct6379A24
     K06P01A  C2007 01 12.95750 09 30 39.42 +20 49 20.6          16.9 Rct6379A24
     K06P01A  C2007 01 14.48286 09 26 22.32 +20 42 25.7          17.3 Vdt6379G72
     K06P01A  C2007 01 14.48470 09 26 22.06 +20 42 27.0          17.5 Vdt6379G72
     K06P01A  C2007 01 14.48840 09 26 21.41 +20 42 25.5          17.3 Vdt6379G72
     K06P01A  C2007 01 14.49395 09 26 20.51 +20 42 24.4          17.2 Vdt6379G72
     K06P01A  C2007 01 14.50007 09 26 19.30 +20 42 23.7          17.1 Vdt6379G72
     K06P01A  C2007 01 14.50284 09 26 18.88 +20 42 22.0          16.5 Vdt6379G72
     K06P01A  C2007 01 14.85808 09 25 24.15 +20 40 34.0          18.0 Vot6379151
     K06P01A  C2007 01 14.85884 09 25 24.06 +20 40 33.8          18.0 Vot6379151
     K06P01A  C2007 01 14.85960 09 25 23.95 +20 40 33.6          18.0 Vot6379151
     K06P01A  C2007 01 14.86040 09 25 23.80 +20 40 33.6          18.1 Vot6379151
     K06P01A  C2007 01 14.86112 09 25 23.68 +20 40 33.3          18.1 Vot6379151
     K06P01A  C2007 01 14.86195 09 25 23.53 +20 40 33.6          18.1 Vot6379151
     K06P01A  C2007 01 14.86220 09 25 23.34 +20 40 31.7          17.6 Rrt6379113
     K06P01A  C2007 01 14.86278 09 25 23.37 +20 40 34.1          18.0 Vot6379151
     K06P01A  C2007 01 14.86531 09 25 22.80 +20 40 30.9          17.7 Rrt6379113
     K06P01A  C2007 01 14.86834 09 25 22.34 +20 40 30.5          17.8 Rrt6379113
     K06P01A  C2007 01 14.87135 09 25 21.79 +20 40 29.8          17.8 Rrt6379113
     K06P01A  C2007 01 14.87440 09 25 21.32 +20 40 28.9          17.6 Rrt6379113
     K06P01A  C2007 01 14.87742 09 25 20.81 +20 40 28.5          17.8 Rrt6379113
     K06P01A  C2007 01 15.42031 09 23 51.95 +20 38 21.1          17.1 Vdt6379G72
     K06P01A  C2007 01 15.42301 09 23 51.55 +20 38 20.7          17.0 Vdt6379G72
     K06P01A  C2007 01 15.42481 09 23 51.19 +20 38 20.4          17.4 Vdt6379G72
     K06P01A  C2007 01 15.42662 09 23 50.91 +20 38 19.9          17.4 Vdt6379G72
     K06P01A  C2007 01 15.42933 09 23 50.44 +20 38 18.8          17.1 Vdt6379G72
     K06P01A  C2007 01 15.43204 09 23 49.98 +20 38 17.3          16.9 Vdt6379G72
     K06P01A  C2007 01 16.05687 09 22 11.25 +20 35 32.0          18.4 Rit7091071
     K06P01A  C2007 01 16.06104 09 22 10.60 +20 35 30.9          17.9 Rit7091071
     K06P01A  C2007 01 16.06451 09 22 10.01 +20 35 30.0          18.0 Rit7091071
     K06P01A  C2007 01 16.33439 09 21 29.34 +20 34 27.3          17.8 Vrt6379703
     K06P01A  C2007 01 16.34091 09 21 28.26 +20 34 25.7          17.8 Vrt6379703
     K06P01A  C2007 01 16.34744 09 21 27.14 +20 34 24.2          17.8 Vrt6379703
     K06P01A  C2007 01 16.35402 09 21 26.02 +20 34 22.4          17.8 Vrt6379703
     K06P01A  C2007 01 16.41417 09 21 15.95 +20 34 06.0          17.3 Rot6379699
     K06P01A  C2007 01 16.42884 09 21 13.51 +20 34 02.2                ot6379699
     K06P01A  C2007 01 16.44350 09 21 11.02 +20 33 58.2                ot6379699
     K06P01A  C2007 01 16.45818 09 21 08.56 +20 33 53.9                ot6379699
     K06P01A  C2007 01 19.92778 09 12 42.66 +20 20 00.8          17.5 Rct7091A24
