     K07Y00Z* C2007 12 17.66571 07 33 05.21 +20 25 59.4          18.4 Rox1902300
     K07Y00Z  C2008 01 09.31144 04 43 44.30 +68 00 41.0          16.1 Rrx3495H45
     K07Y00Z  C2008 01 09.31220 04 43 42.88 +68 00 46.7          16.4 Rrx3495H45
     K07Y00Z  C2008 01 09.31345 04 43 40.57 +68 00 56.3          16.3 Rrx3495H45
     K07Y00Z  C2008 01 09.31439 04 43 38.84 +68 01 03.3          16.3 Rrx3495H45
     K07Y00Z  C2008 01 09.31543 04 43 36.89 +68 01 11.1          16.6 Rrx3495H45
     K07Y00Z  C2008 01 10.08075 04 19 01.51 +69 34 48.1          16.3 Rrx3495H45
     K07Y00Z  C2008 01 10.08143 04 19 00.02 +69 34 53.0          16.3 Rrx3495H45
     K07Y00Z  C2008 01 10.08197 04 18 58.93 +69 34 56.6          16.1 Rrx3495H45
     K07Y00Z  C2008 01 10.08252 04 18 57.71 +69 35 00.5          16.2 Rrx3495H45
     K07Y00Z  C2008 01 10.08318 04 18 56.31 +69 35 04.8          16.2 Rrx3495H45
     K07Y00Z  C2008 01 10.08366 04 18 55.23 +69 35 08.3          16.2 Rrx3495H45
     K07Y00Z  C2008 01 10.08417 04 18 54.15 +69 35 11.8          16.3 Rrx3495H45
     K07Y00Z  C2008 01 11.24363 03 34 50.66 +71 25 01.1          16.9 Rrx3495H45
     K07Y00Z  C2008 01 11.24453 03 34 48.33 +71 25 04.9          16.8 Rrx3495H45
     K07Y00Z  C2008 01 11.24533 03 34 46.42 +71 25 08.2          17.1 Rrx3495H45
     K07Y00Z  C2008 01 11.24622 03 34 44.16 +71 25 12.3          16.9 Rrx3495H45
     K07Y00Z  C2008 01 11.24717 03 34 41.78 +71 25 16.6          17.1 Rrx3495H45
     K07Y00Z  C2008 01 11.24791 03 34 39.93 +71 25 19.5          16.9 Rrx3495H45
     K07Y00Z  C2008 01 14.03231 01 32 51.17 +72 33 31.9          17.8 Riy0832071
     K07Y00Z  C2008 01 14.03343 01 32 48.35 +72 33 30.3          17.8 Riy0832071
     K07Y00Z  C2008 01 14.03453 01 32 46.06 +72 33 29.1          17.8 Riy0832071
     K07Y00Z 2C2008 08 13.58076404 23 14.517+02 07 24.96         22.5 Roz6781568
     K07Y00Z 2C2008 08 13.58553104 23 15.059+02 07 24.90         22.7 Roz6781568
     K07Y00Z HC2008 09 04.49937 05 01 31.69 +01 26 46.9                oz5251291
     K07Y00Z HC2008 09 04.50311 05 01 32.09 +01 26 44.6                oz5251291
     K07Y00Z HC2008 09 04.50683 05 01 32.38 +01 26 44.4                oz5251291
     K07Y00Z 2C2008 09 16.61548505 18 42.042+00 38 31.55         20.9 Roz6781568
     K07Y00Z 2C2008 09 16.61764405 18 42.197+00 38 30.94         21.0 Roz6781568
     K07Y00Z 2C2008 09 16.61972005 18 42.345+00 38 30.35         21.0 Roz6781568
     K07Y00Z  C2008 11 19.39824 05 02 16.29 -04 18 40.6          19.1 Vr~01NQ703
     K07Y00Z  C2008 11 19.40428 05 02 15.32 -04 18 39.4          18.8 Vr~01NQ703
     K07Y00Z  C2008 11 19.41037 05 02 14.24 -04 18 37.8          18.9 Vr~01NQ703
     K07Y00Z  C2008 11 19.41639 05 02 13.20 -04 18 36.6          18.8 Vr~01NQ703
     K07Y00Z  C2008 12 11.12732 03 45 24.36 +00 23 32.8          18.9 Vo~02MmH55
     K07Y00Z  C2008 12 11.13288 03 45 23.03 +00 23 39.6          19.3 Vo~02MmH55
     K07Y00Z  C2008 12 11.13557 03 45 22.39 +00 23 43.2          19.4 Vo~02MmH55
     K07Y00Z  C2008 12 28.14051 02 48 57.64 +07 48 13.7          19.1  c~02ec704
     K07Y00Z  C2008 12 28.15334 02 48 55.50 +07 48 35.6          19.3  c~02ec704
     K07Y00Z  C2008 12 28.16614 02 48 53.46 +07 48 58.2          19.6  c~02ec704
     K07Y00Z  C2008 12 28.17888 02 48 51.36 +07 49 18.7          19.5  c~02ec704
     K07Y00Z  C2008 12 28.19164 02 48 49.26 +07 49 40.6          19.0  c~02ec704
     K07Y00Z  C2008 12 29.13748 02 46 24.88 +08 16 18.2          19.5 Vr~02ec703
     K07Y00Z  C2008 12 29.14473 02 46 23.73 +08 16 29.1          19.6 Vr~02ec703
     K07Y00Z  C2008 12 29.15206 02 46 22.58 +08 16 40.8          19.5 Vr~02ec703
     K07Y00Z  C2008 12 29.15925 02 46 21.50 +08 16 54.8          20.0 Vr~02ec703
     K07Y00Z  C2009 01 02.20091 02 37 01.48 +10 10 34.9          19.9 Vr~02ecG96
     K07Y00Z  C2009 01 02.21000 02 37 00.30 +10 10 49.9          20.2 Vr~02ecG96
     K07Y00Z  C2009 01 02.21910 02 36 59.07 +10 11 05.2          20.1 Vr~02ecG96
     K07Y00Z  C2009 01 02.22830 02 36 57.88 +10 11 20.4          20.3 Vr~02ecG96
     K07Y00Z  S2010 01 14.06769 01 51 38.84 +04 50 08.9                L~0I0QC51
     K07Y00Z  s2010 01 14.06769 1 + 6464.7278 + 2430.1469 +  177.3467   ~0I0QC51
     K07Y00Z  S2010 01 14.20012 01 51 43.42 +04 53 28.5                L~0I0QC51
     K07Y00Z  s2010 01 14.20012 1 + 6460.2495 + 2435.7110 +  243.7975   ~0I0QC51
     K07Y00Z  S2010 01 14.46473 01 51 52.85 +05 00 07.5                L~0I0QC51
     K07Y00Z  s2010 01 14.46473 1 + 6449.0534 + 2469.2603 +  212.0558   ~0I0QC51
     K07Y00Z  S2010 01 14.53095 01 51 55.34 +05 01 46.4                L~0I0QC51
     K07Y00Z  s2010 01 14.53095 1 + 6446.7347 + 2472.0665 +  244.5924   ~0I0QC51
     K07Y00Z  S2010 01 14.59717 01 51 57.62 +05 03 26.3                L~0I0QC51
     K07Y00Z  s2010 01 14.59717 1 + 6444.2229 + 2474.8655 +  277.2079   ~0I0QC51
     K07Y00Z  S2010 01 14.72947 01 52 02.43 +05 06 46.2                L~0I0QC51
     K07Y00Z  s2010 01 14.72947 1 + 6438.3711 + 2491.8517 +  260.9781   ~0I0QC51
     K07Y00Z  S2010 01 14.92799 01 52 09.92 +05 11 44.1                L~0I0QC51
     K07Y00Z  s2010 01 14.92799 1 + 6430.1536 + 2511.2558 +  279.2101   ~0I0QC51
     K07Y00Z  S2010 01 15.06030 01 52 14.81 +05 15 02.6                L~0I0QC51
     K07Y00Z  s2010 01 15.06030 1 + 6423.8551 + 2528.4403 +  261.7562   ~0I0QC51
     K07Y00Z  S2010 01 15.19273 01 52 19.81 +05 18 21.5                L~0I0QC51
     K07Y00Z  s2010 01 15.19273 1 + 6418.5239 + 2533.6275 +  328.1652   ~0I0QC51
     K07Y00Z |C2011 09 09.20030 03 07 42.18 -63 11 50.0          19.7 Vo~0Y85807
     K07Y00Z |C2011 09 09.20535 03 07 39.87 -63 11 52.8          19.6 Vo~0Y85807
     K07Y00Z |C2011 09 09.21040 03 07 37.57 -63 11 56.6          19.8 Vo~0Y85807
     K07Y00Z |C2012 09 27.01190 18 36 24.89 -60 47 08.2          19.8 Vu~0j6B807
     K07Y00Z |C2012 09 27.02082 18 36 29.65 -60 47 00.0          20.3 Vu~0j6B807
     K07Y00Z ^C2012 12 17.09714 23 32 37.71 -21 36 28.4          21.3 Ro~0qSp695
     K07Y00Z ^C2012 12 17.10046 23 32 38.09 -21 36 23.4          21.3 Ro~0qSp695
     K07Y00Z ^C2012 12 17.10373 23 32 38.44 -21 36 18.0          21.5 Ro~0qSp695
