     K07Y00Z* C2007 12 17.66571 07 33 05.21 +20 25 59.4          18.4 Rox1902300
     K07Y00Z  C2007 12 20.98284 07 28 49.19 +24 18 05.0                ox1902246
     K07Y00Z  C2007 12 20.98389 07 28 49.08 +24 18 09.5                ox1902246
     K07Y00Z  C2007 12 21.13314 07 28 32.92 +24 29 57.2                rx1902204
     K07Y00Z  C2007 12 21.13524 07 28 32.68 +24 30 07.0                rx1902204
     K07Y00Z  C2007 12 21.13734 07 28 32.46 +24 30 17.0          16.8 Rrx1902204
     K07Y00Z  C2007 12 21.84338 07 27 24.44 +25 27 41.0          16.8 Vrx1902A78
     K07Y00Z  C2007 12 21.84775 07 27 23.96 +25 28 02.9          16.8 Vrx1902A78
     K07Y00Z  C2007 12 21.85203 07 27 23.51 +25 28 24.5          16.8 Vrx1902A78
     K07Y00Z  C2007 12 21.85637 07 27 22.98 +25 28 46.7          16.7 Vrx1902A78
     K07Y00Z  C2007 12 21.91977 07 27 15.50 +25 34 08.3          16.6 Vrx1902B28
     K07Y00Z  C2007 12 21.92583 07 27 14.78 +25 34 39.1          16.7 Vrx1902B28
     K07Y00Z  C2007 12 21.93229 07 27 14.02 +25 35 11.9          16.7 Vrx1902B28
     K07Y00Z  C2007 12 24.36385 07 22 07.19 +29 17 50.0          16.9 Rrx1902H45
     K07Y00Z  C2007 12 24.36642 07 22 06.77 +29 18 05.4          16.8 Rrx1902H45
     K07Y00Z  C2007 12 24.36760 07 22 06.55 +29 18 12.5          16.9 Rrx1902H45
     K07Y00Z  C2007 12 24.36917 07 22 06.32 +29 18 21.6          16.9 Rrx1902H45
     K07Y00Z  C2007 12 24.37061 07 22 06.10 +29 18 30.1          17.0 Rrx1902H45
     K07Y00Z  C2007 12 24.37163 07 22 05.91 +29 18 35.9          16.9 Rrx1902H45
     K07Y00Z  C2007 12 24.37296 07 22 05.69 +29 18 44.1          16.9 Rrx1902H45
     K07Y00Z  C2007 12 24.37458 07 22 05.43 +29 18 53.7          16.5 Rrx1902H45
     K07Y00Z  C2007 12 26.94192 07 14 48.20 +33 57 28.4          16.2 Rcx1902B49
     K07Y00Z  C2007 12 26.94702 07 14 47.07 +33 58 05.0          16.0 Rcx1902B49
     K07Y00Z  C2007 12 27.38516 07 13 13.35 +34 50 41.9          16.6 Rrx1902448
     K07Y00Z  C2007 12 27.38908 07 13 12.45 +34 51 10.2          16.9 Rrx1902448
     K07Y00Z  C2007 12 27.39301 07 13 11.49 +34 51 38.6          16.5 Rrx1902448
     K07Y00Z  C2007 12 27.94592 07 11 11.87 +35 59 45.1          17.5 Vcx1902A48
     K07Y00Z  C2007 12 27.94719 07 11 11.55 +35 59 54.9          17.7 Vcx1902A48
     K07Y00Z  C2007 12 27.94845 07 11 11.25 +36 00 04.4          17.5 Vcx1902A48
     K07Y00Z  C2007 12 27.94972 07 11 10.93 +36 00 14.1          17.6 Vcx1902A48
     K07Y00Z  C2007 12 28.02331 07 10 53.37 +36 09 35.3          17.2 Rcx1902J34
     K07Y00Z  C2007 12 28.04786 07 10 47.13 +36 12 42.1          17.2 Rcx1902J34
     K07Y00Z  C2007 12 28.06944 07 10 41.62 +36 15 25.4          17.0 Rcx1902J34
     K07Y00Z  C2007 12 28.97902 07 06 57.76 +38 13 51.1          16.1 Rrx1902176
     K07Y00Z  C2007 12 28.97964 07 06 57.58 +38 13 56.2          16.1 Rrx1902176
     K07Y00Z  C2007 12 28.98027 07 06 57.36 +38 14 01.3          16.0 Rrx1902176
     K07Y00Z  C2007 12 28.98090 07 06 57.18 +38 14 06.3          16.1 Rrx1902176
     K07Y00Z  C2007 12 28.98601 07 06 55.74 +38 14 47.6          16.1 Rrx1902176
     K07Y00Z  C2007 12 29.34072 07 05 17.64 +39 02 47.7          16.4 Rrx2677H45
     K07Y00Z  C2007 12 29.34141 07 05 17.45 +39 02 53.4          16.4 Rrx2677H45
     K07Y00Z  C2007 12 29.34300 07 05 16.96 +39 03 06.1          16.5 Rrx2677H45
     K07Y00Z  C2007 12 29.34391 07 05 16.68 +39 03 13.8          16.2 Rrx2677H45
     K07Y00Z  C2007 12 29.34483 07 05 16.41 +39 03 21.1          16.2 Rrx2677H45
     K07Y00Z  C2007 12 29.34558 07 05 16.19 +39 03 27.3          16.4 Rrx2677H45
     K07Y00Z  C2007 12 29.34624 07 05 15.97 +39 03 32.6          16.3 Rrx2677H45
     K07Y00Z  C2007 12 29.90889 07 02 37.56 +40 21 24.1          16.0 Rrx2677130
     K07Y00Z  C2007 12 29.90989 07 02 37.24 +40 21 32.7          16.0 Rrx2677130
     K07Y00Z  C2007 12 29.91089 07 02 36.92 +40 21 41.2          16.0 Rrx2677130
     K07Y00Z  C2007 12 29.91140 07 02 36.75 +40 21 45.5          16.1 Rrx2677130
     K07Y00Z  C2007 12 30.07613 07 01 42.99 +40 45 06.9          16.2 Vrx2677B09
     K07Y00Z  C2007 12 30.08067 07 01 41.48 +40 45 45.1          16.1 Vrx2677B09
     K07Y00Z  C2007 12 30.08442 07 01 40.26 +40 46 16.7          16.2 Vrx2677B09
     K07Y00Z  C2007 12 30.41238 06 59 57.04 +41 33 32.8          16.6 Vrx2677703
     K07Y00Z  C2007 12 30.41751 06 59 54.28 +41 34 06.8          16.4 Rrx2677H45
     K07Y00Z  C2007 12 30.41866 06 59 53.87 +41 34 16.7          16.2 Rrx2677H45
     K07Y00Z  C2007 12 30.41953 06 59 53.60 +41 34 24.2          16.4 Rrx2677H45
     K07Y00Z  C2007 12 30.41982 06 59 54.45 +41 34 36.5          16.5 Vrx2677703
     K07Y00Z  C2007 12 30.42054 06 59 53.25 +41 34 32.9          16.4 Rrx2677H45
     K07Y00Z  C2007 12 30.42115 06 59 53.04 +41 34 38.1          16.6 Rrx2677H45
     K07Y00Z  C2007 12 30.42223 06 59 52.66 +41 34 47.0          16.3 Rrx2677H45
     K07Y00Z  C2007 12 30.42291 06 59 52.45 +41 34 53.0          16.3 Rrx2677H45
     K07Y00Z  C2007 12 30.43734 06 59 48.40 +41 37 06.8          16.5 Vrx2677703
     K07Y00Z  C2007 12 30.47387 06 59 35.80 +41 42 18.4          16.2 Vrx2677703
     K07Y00Z  C2007 12 30.47476 06 59 35.52 +41 42 26.1          16.3 Vrx2677703
     K07Y00Z  C2007 12 30.47564 06 59 35.19 +41 42 33.9          16.2 Vrx2677703
     K07Y00Z  C2007 12 30.47651 06 59 34.90 +41 42 41.4          16.2 Vrx2677703
     K07Y00Z  C2007 12 30.56667 06 59 11.16 +41 55 57.6          16.3 R x2677355
     K07Y00Z  C2007 12 30.57245 06 59 09.11 +41 56 48.7                 x2677355
     K07Y00Z  C2007 12 30.57593 06 59 07.83 +41 57 18.9                 x2677355
     K07Y00Z  C2007 12 30.57940 06 59 06.64 +41 57 49.7          16.2 R x2677355
