G3818K03R07X* C2003 09 06.26545 22 54 08.97 +25 11 23.6          18.2 Roi4170699
G3818K03R07X  C2003 09 13.39664 22 37 52.99 +24 23 25.2                oi4596699
G3818K03R07X  C2003 09 13.40164 22 37 52.12 +24 23 20.0                oi4596699
G3818K03R07X  C2003 09 15.31207 22 33 21.32 +24 02 33.2          18.3  ci4596644
G3818K03R07X  C2003 09 15.33510 22 33 17.89 +24 02 16.8          18.3  ci4596644
G3818K03R07X  C2003 09 15.36477 22 33 13.51 +24 01 53.7          17.4  ci4596644
G3818K03R07X  C2003 09 15.79229 22 32 13.82 +23 56 40.3          18.6 Vri4596151
G3818K03R07X  C2003 09 15.79367 22 32 13.62 +23 56 39.6          18.7 Vri4596151
G3818K03R07X  C2003 09 15.79519 22 32 13.38 +23 56 38.3          18.8 Vri4596151
G3818K03R07X  C2003 09 15.79701 22 32 13.11 +23 56 37.3          18.8 Vri4596151
G3818K03R07X  C2003 09 15.79857 22 32 12.87 +23 56 36.4          18.7 Vri4596151
G3818K03R07X  C2003 09 15.79984 22 32 12.67 +23 56 35.6          18.5 Vri4596151
G3818K03R07X  C2003 09 15.80046 22 32 12.57 +23 56 35.2          18.6 Vri4596151
G3818K03R07X  C2003 09 15.80080 22 32 12.52 +23 56 34.9          18.4 Vri4596151
G3818K03R07X  C2003 09 15.85005 22 32 05.21 +23 55 59.1                ci4596246
G3818K03R07X  C2003 09 15.85156 22 32 04.99 +23 55 57.8                ci4596246
G3818K03R07X  C2003 09 15.85245 22 32 04.81 +23 55 57.9                ci4596246
G3818K03R07X  C2003 09 15.85390 22 32 04.65 +23 55 56.5                ci4596246
G3818K03R07X  C2003 09 15.85493 22 32 04.50 +23 55 55.3                ci4596246
G3818K03R07X  C2003 09 15.85647 22 32 04.28 +23 55 54.5                ci4596246
G3818K03R07X  C2003 09 16.83590 22 29 44.71 +23 43 23.9          18.1 Rci4596113
G3818K03R07X  C2003 09 16.83735 22 29 44.49 +23 43 22.7          18.3 Rci4596113
G3818K03R07X  C2003 09 16.83880 22 29 44.28 +23 43 21.5          18.3 Rci4596113
G3818K03R07X  C2003 09 16.84024 22 29 44.06 +23 43 20.2          18.4 Rci4596113
G3818K03R07X  C2003 09 16.84169 22 29 43.86 +23 43 19.3          18.4 Rci4596113
G3818K03R07X  C2003 09 16.89919 22 29 35.56 +23 42 36.5          18.1 Rri4596176
G3818K03R07X  C2003 09 16.90046 22 29 35.36 +23 42 35.7          17.9 Rri4596176
G3818K03R07X  C2003 09 16.90138 22 29 35.22 +23 42 35.1          18.1 Rri4596176
G3818K03R07X  C2003 09 16.90231 22 29 35.07 +23 42 34.5          18.1 Rri4596176
G3818K03R07X  C2003 09 16.90323 22 29 34.93 +23 42 34.0          18.0 Rri4596176
G3818K03R07X  C2003 09 16.95973 22 29 26.37 +23 41 46.2                di4596118
G3818K03R07X  C2003 09 16.96089 22 29 26.16 +23 41 45.5                di4596118
G3818K03R07X  C2003 09 16.96275 22 29 25.87 +23 41 43.9                di4596118
G3818K03R07X  C2003 09 16.96576 22 29 25.46 +23 41 41.0          18.3 Rdi4596118
G3818K03R07X  C2003 09 17.80262 22 27 27.26 +23 30 12.9          18.2 Rci4596132
G3818K03R07X  C2003 09 17.81128 22 27 26.01 +23 30 05.3          18.5 Rci4596132
G3818K03R07X  C2003 09 17.81993 22 27 24.74 +23 29 58.5          18.0 Rci4596132
G3818K03R07X  C2003 09 18.24266 22 26 24.23 +23 23 59.0                ci6262670
G3818K03R07X  C2003 09 18.31546 22 26 13.34 +23 22 55.9                ci6262670
G3818K03R07X  C2003 09 18.83190 22 25 00.94 +23 15 13.9          18.3 Rri4596170
G3818K03R07X  C2003 09 18.83325 22 25 00.74 +23 15 12.7          18.4 Rri4596170
G3818K03R07X  C2003 09 18.83880 22 24 59.97 +23 15 08.1          18.4 Rri4596170
G3818K03R07X  C2003 09 18.84045 22 24 59.51 +23 15 05.9          18.1 Rci6972204
G3818K03R07X  C2003 09 18.84154 22 24 59.57 +23 15 05.5          18.4 Rri4596170
G3818K03R07X  C2003 09 18.84234 22 24 59.31 +23 15 04.6                ci6972204
G3818K03R07X  C2003 09 18.85487 22 24 57.51 +23 14 53.2          18.4 Rci4596132
G3818K03R07X  C2003 09 18.86353 22 24 56.19 +23 14 45.2          18.5 Rci4596132
