     K04L00B* C2004 06 07.22136 14 43 45.08 -16 10 27.1          17.5 Rok8720699
     K04L00B  C2004 06 11.89141 14 40 44.50 +08 29 36.0          18.8 R k9067176
     K04L00B  C2004 06 11.89198 14 40 44.48 +08 29 44.6          19.0 R k9067176
     K04L00B  C2004 06 12.05438 14 40 38.67 +09 09 35.8                rk9067J95
     K04L00B  C2004 06 12.05995 14 40 38.42 +09 10 57.0          18.7 Rrk9067J95
     K04L00B  C2004 06 12.16090 14 40 39.73 +09 35 55.2          19.2 Rrk9067448
     K04L00B  C2004 06 12.16714 14 40 39.41 +09 37 25.6          19.0 Rrk9067448
     K04L00B  C2004 06 12.17050 14 40 39.62 +09 38 16.3          18.6 Rck9067926
     K04L00B  C2004 06 12.17109 14 40 39.59 +09 38 24.0          18.8 Rck9067926
     K04L00B  C2004 06 12.17162 14 40 39.56 +09 38 32.3          18.5 Rck9067926
     K04L00B  C2004 06 12.17279 14 40 39.17 +09 38 47.7          19.4 Rrk9067448
     K04L00B  C2004 06 12.20103 14 40 37.83 +09 45 36.0          18.8 Rrk9067715
     K04L00B  C2004 06 12.20439 14 40 37.70 +09 46 24.4          18.7 Rrk9067715
     K04L00B  C2004 06 12.20775 14 40 37.54 +09 47 13.0          19.3 Rrk9067715
     K04L00B  C2004 06 12.91438 14 40 24.76 +12 30 12.7          19.3 Vrk9067941
     K04L00B  C2004 06 12.91492 14 40 24.75 +12 30 20.3          19.4 Vrk9067941
     K04L00B  C2004 06 12.91519 14 40 24.74 +12 30 23.6          19.1 Vrk9067941
     K04L00B  C2004 06 12.91545 14 40 24.72 +12 30 27.1          19.3 Vrk9067941
     K04L00B  C2004 06 12.91599 14 40 24.68 +12 30 34.2          19.2 Vrk9067941
     K04L00B  C2004 06 12.94085 14 40 24.08 +12 35 52.3          18.8 Rrk9067J95
     K04L00B  C2004 06 12.94652 14 40 23.86 +12 37 07.4          18.5 Rrk9067J95
     K04L00B  C2004 06 12.95174 14 40 23.67 +12 38 15.8          18.7 Rrk9067J95
     K04L00B  C2004 06 13.19519 14 40 20.77 +13 31 32.5          19.0 Rrk9067448
     K04L00B  C2004 06 13.20149 14 40 20.52 +13 32 53.2          18.9 Rrk9067448
     K04L00B  C2004 06 13.20775 14 40 20.23 +13 34 13.6          18.7 Rrk9067448
     K04L00B  C2004 06 13.21537 14 40 20.26 +13 35 52.6          18.5 Rck9067926
     K04L00B  C2004 06 13.21594 14 40 20.04 +13 35 59.9          18.6 Rck9067926
     K04L00B  C2004 06 13.21647 14 40 20.23 +13 36 07.1          18.6 Rck9067926
     K04L00B  C2004 06 14.16208 14 40 09.99 +16 47 14.3          19.1 Rck9067926
     K04L00B  C2004 06 14.16274 14 40 09.95 +16 47 21.7          19.4 Rck9067926
     K04L00B  C2004 06 14.16343 14 40 09.89 +16 47 30.3          18.8 Rck9067926
     K04L00B  C2004 06 15.01936 14 40 00.31 +19 22 25.9          19.9 Rrk9067J95
     K04L00B  C2004 06 15.17466 14 40 01.66 +19 49 23.7          19.8 Rck9067926
     K04L00B  C2004 06 15.17535 14 40 01.74 +19 49 29.9          19.4 Rck9067926
     K04L00B  C2004 06 15.17603 14 40 01.67 +19 49 37.5          19.1 Rck9067926
     K04L00B  C2004 06 16.22302 14 39 56.91 +22 36 15.0          19.3 Rck9067926
     K04L00B  C2004 06 16.22383 14 39 56.93 +22 36 22.3          19.1 Rck9067926
     K04L00B  C2004 06 16.22462 14 39 56.90 +22 36 30.2          19.1 Rck9067926
     K04L00B  C2004 06 17.18201 14 39 57.84 +24 51 59.2          20.0 Rrk9067448
     K04L00B  C2004 06 17.19849 14 39 57.52 +24 54 11.3          20.5 Rrk9067448
     K04L00B  C2004 06 17.20622 14 39 57.39 +24 55 14.0          20.1 Rrk9067448
     K04L00B FC2004 12 09.76585 23 05 28.44 +13 12 00.3                cm1171246
     K04L00B FC2004 12 09.76628 23 05 28.83 +13 11 53.5                cm1171246
     K04L00B FC2004 12 09.77075 23 05 32.14 +13 10 41.2                cm1171246
