     K09O00F  C2009 07 21.90586 16 55 38.79 -03 49 50.6          17.8 Rc~07mOJ08
     K09O00F  C2009 07 22.92091 16 51 52.41 -04 29 32.2                r~07mOJ95
     K09O00F  C2009 07 22.92388 16 51 51.68 -04 29 39.8                r~07mOJ95
     K09O00F  C2009 07 22.92683 16 51 50.94 -04 29 47.2          18.5 Rr~07mOJ95
     K09O00F  C2009 07 23.16049 16 50 55.99 -04 39 22.3          18.2 Vo~07mOH55
     K09O00F  C2009 07 23.16446 16 50 54.94 -04 39 32.9          18.7 Vo~07mOH55
     K09O00F  C2009 07 23.16572 16 50 54.61 -04 39 36.1          19.1 Vo~07mOH55
     K09O00F  C2009 07 23.89786 16 47 56.18 -05 12 01.3          17.5 Cc~07mOJ05
     K09O00F  C2009 07 23.90255 16 47 53.79 -05 12 17.2                v~07mOB28
     K09O00F  C2009 07 23.90736 16 47 52.57 -05 12 29.9                v~07mOB28
     K09O00F  C2009 07 23.90919 16 47 53.01 -05 12 32.3          17.9 Cc~07mOJ05
     K09O00F  C2009 07 23.91309 16 47 50.94 -05 12 46.5                v~07mOB28
     K09O00F  C2009 07 24.13587 16 46 53.30 -05 21 32.2          18.4 Cr~07mOI19
     K09O00F  C2009 07 24.14557 16 46 50.57 -05 21 58.9          18.5 Cr~07mOI19
     K09O00F  C2009 07 24.14886 16 46 49.67 -05 22 08.4          18.5 Cr~07mOI19
     K09O00F  C2009 07 24.22756 16 46 30.20 -05 27 22.7          18.2 Ro~07mOH01
     K09O00F  C2009 07 24.22987 16 46 28.63 -05 27 29.7          18.5 Rr~07mOH45
     K09O00F  C2009 07 24.23168 16 46 29.01 -05 27 34.5          18.3 Ro~07mOH01
     K09O00F  C2009 07 24.23235 16 46 27.93 -05 27 36.5          18.4 Rr~07mOH45
     K09O00F  C2009 07 24.23359 16 46 27.57 -05 27 40.1          18.5 Rr~07mOH45
     K09O00F  C2009 07 24.23470 16 46 27.25 -05 27 43.0          18.6 Rr~07mOH45
     K09O00F  C2009 07 24.23545 16 46 27.04 -05 27 45.5          18.6 Rr~07mOH45
     K09O00F  C2009 07 24.23663 16 46 27.59 -05 27 48.6          18.3 Ro~07mOH01
     K09O00F  C2009 07 24.23706 16 46 26.61 -05 27 49.8          18.6 Rr~07mOH45
     K09O00F  C2009 07 24.24021 16 46 26.56 -05 27 58.9          18.3 Ro~07mOH01
     K09O00F  C2009 07 24.24407 16 46 25.47 -05 28 09.8          18.3 Ro~07mOH01
     K09O00F  C2009 07 24.51920 16 45 13.02 -05 40 02.5          18.0 Vo~07mOE16
     K09O00F  C2009 07 24.53248 16 45 09.10 -05 40 41.6          18.2 Vo~07mOE16
     K09O00F  C2009 07 24.54480 16 45 05.49 -05 41 17.7          18.1 Vo~07mOE16
     K09O00F  C2009 07 24.83213 16 43 49.98 -05 57 36.5          18.2 Vr~07slA78
     K09O00F  C2009 07 24.83446 16 43 49.24 -05 57 42.6          18.3 Vr~07slA78
     K09O00F  C2009 07 24.83660 16 43 48.61 -05 57 49.1          18.2 Vr~07slA78
     K09O00F  C2009 07 24.90109 16 43 30.11 -06 01 15.6                r~07slJ95
     K09O00F  C2009 07 24.91039 16 43 27.11 -06 01 33.8          17.8 Rr~07slJ53
     K09O00F  C2009 07 24.91323 16 43 26.23 -06 01 42.9          17.6 Rr~07slJ53
     K09O00F  C2009 07 24.91446 16 43 26.11 -06 01 57.0                r~07slJ95
     K09O00F  C2009 07 24.91608 16 43 25.28 -06 01 51.2          17.8 Rr~07slJ53
     K09O00F  C2009 07 24.92705 16 43 22.34 -06 02 36.0          18.3 Rr~07slJ95
     K09O00F  C2009 07 25.86009 16 38 50.73 -06 53 55.1          18.6 Vo~07sl151
     K09O00F  C2009 07 25.86154 16 38 50.23 -06 54 00.2          18.5 Vo~07sl151
     K09O00F  C2009 07 25.86300 16 38 49.73 -06 54 05.2          18.4 Vo~07sl151
     K09O00F  C2009 07 25.86445 16 38 49.26 -06 54 10.4          18.6 Vo~07sl151
     K09O00F  C2009 07 25.86591 16 38 48.78 -06 54 15.8          18.5 Vo~07sl151
     K09O00F  C2009 07 25.86736 16 38 48.29 -06 54 20.7          18.5 Vo~07sl151
     K09O00F  C2009 07 25.86882 16 38 47.81 -06 54 25.7          18.6 Vo~07sl151
     K09O00F  C2009 07 25.89301 16 38 39.57 -06 55 47.7          18.4 Vc~07slA48
     K09O00F  C2009 07 25.89630 16 38 38.52 -06 55 58.7          18.5 Vc~07slA48
     K09O00F  C2009 07 25.89643 16 38 39.44 -06 56 06.0                r~07slJ95
     K09O00F  C2009 07 25.89959 16 38 37.44 -06 56 10.6          18.4 Vc~07slA48
     K09O00F  C2009 07 25.90054 16 38 38.09 -06 56 20.4                r~07slJ95
