     K12Q08C  C2012 08 26.65689 23 32 33.36 -29 11 51.0          16.3 Vr~0iH6E12
     K12Q08C KC2012 08 27.96996 23 33 49.71 -30 17 07.9                t~0iVr204
     K12Q08C KC2012 08 27.97346 23 33 49.88 -30 17 19.0                t~0iVr204
     K12Q08C KC2012 08 27.97698 23 33 50.05 -30 17 30.1          15.8 Rt~0iVr204
     K12Q08C 0C2012 09 06.69076623 54 20.53 -46 08 06.2          14.6 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69130423 54 20.67 -46 08 11.9          14.6 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69182923 54 20.80 -46 08 17.3          14.6 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69240123 54 20.95 -46 08 23.6          14.6 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69296423 54 21.09 -46 08 29.8          14.6 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69348923 54 21.22 -46 08 35.4          14.8 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69406023 54 21.38 -46 08 41.5          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69463623 54 21.52 -46 08 47.8          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69516723 54 21.66 -46 08 53.5          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69568723 54 21.78 -46 08 59.0          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69622323 54 21.93 -46 09 04.7          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69675423 54 22.06 -46 09 10.6          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69727923 54 22.20 -46 09 16.2          14.8 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69780523 54 22.33 -46 09 21.8          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69833523 54 22.46 -46 09 27.6          14.7 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69886823 54 22.60 -46 09 33.1          14.8 Rt~0iVrE10
     K12Q08C 0C2012 09 06.69938723 54 22.73 -46 09 38.9          14.7 Rt~0iVsE10
     K12Q08C 0C2012 09 06.69992223 54 22.87 -46 09 44.6          14.7 Rt~0iVsE10
     K12Q08C 0C2012 09 08.65637 00 07 31.77 -53 13 35.1          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65680 00 07 31.98 -53 13 41.7          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65729 00 07 32.21 -53 13 49.2          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65779 00 07 32.47 -53 13 56.9          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65827 00 07 32.72 -53 14 04.2          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65872 00 07 32.95 -53 14 11.1          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65916 00 07 33.16 -53 14 17.9          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.65963 00 07 33.41 -53 14 25.1          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66013 00 07 33.65 -53 14 32.7          14.2 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66100 00 07 34.08 -53 14 45.9          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66148 00 07 34.33 -53 14 53.4          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66197 00 07 34.56 -53 15 00.6                t~0ia9E10
     K12Q08C 0C2012 09 08.66242 00 07 34.80 -53 15 07.8          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66284 00 07 35.00 -53 15 14.2          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66332 00 07 35.25 -53 15 21.5          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66382 00 07 35.49 -53 15 29.1          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66427 00 07 35.73 -53 15 36.1          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66469 00 07 35.93 -53 15 42.6          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66518 00 07 36.18 -53 15 50.1          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66567 00 07 36.45 -53 15 57.6          14.6 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66616 00 07 36.68 -53 16 05.1          14.5 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66657 00 07 36.90 -53 16 11.4          14.3 Rt~0ia9E10
     K12Q08C 0C2012 09 08.66705 00 07 37.12 -53 16 18.7          14.4 Rt~0ia9E10
     K12Q08C 0C2012 09 09.40639900 15 52.31 -56 38 47.1          14.5 RL~0ia9E10
     K12Q08C 0C2012 09 09.40733900 15 53.01 -56 39 04.0          13.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.40824400 15 53.70 -56 39 20.4          13.7 RL~0ia9E10
     K12Q08C 0C2012 09 09.40911600 15 54.37 -56 39 36.0          13.2 RL~0ia9E10
     K12Q08C 0C2012 09 09.40998200 15 55.02 -56 39 51.8          13.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.41091700 15 55.71 -56 40 08.7          13.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.41181800 15 56.40 -56 40 25.1          13.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.41269800 15 57.06 -56 40 40.9          13.7 RL~0ia9E10
     K12Q08C 0C2012 09 09.41359500 15 57.74 -56 40 57.5          13.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.41450000 15 58.43 -56 41 13.4          13.9 RL~0ia9E10
     K12Q08C 0C2012 09 09.41538700 15 59.10 -56 41 29.5          13.8 RL~0ia9E10
     K12Q08C 0C2012 09 09.41627200 15 59.76 -56 41 45.6          13.9 RL~0ia9E10
     K12Q08C 0C2012 09 09.54540500 17 36.97 -57 20 58.8          14.5 RL~0ia9E10
     K12Q08C 0C2012 09 09.54631000 17 37.66 -57 21 15.4          14.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.54720200 17 38.33 -57 21 31.7          14.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.54813600 17 39.04 -57 21 48.8          14.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.54903200 17 39.71 -57 22 05.2          14.5 RL~0ia9E10
     K12Q08C 0C2012 09 09.54997200 17 40.42 -57 22 22.4          14.4 RL~0ia9E10
     K12Q08C 0C2012 09 09.55086300 17 41.10 -57 22 38.8          14.5 RL~0ia9E10
     K12Q08C 0C2012 09 09.55173500 17 41.75 -57 22 54.7          14.4 RL~0ia9E10
     K12Q08C 0C2012 09 09.55266000 17 42.45 -57 23 11.6          14.4 RL~0ia9E10
     K12Q08C 0C2012 09 09.55356600 17 43.14 -57 23 28.2          14.6 RL~0ia9E10
     K12Q08C 0C2012 09 09.55445100 17 43.81 -57 23 44.5          14.4 RL~0ia9E10
     K12Q08C 0C2012 09 09.55530800 17 44.46 -57 24 00.2          14.4 RL~0ia9E10
     K12Q08C 0C2012 09 09.65954100 19 04.89 -57 55 52.7          14.1 RL~0ia9E10
     K12Q08C 0C2012 09 09.66042700 19 05.57 -57 56 08.9          14.1 RL~0ia9E10
     K12Q08C 0C2012 09 09.66134000 19 06.30 -57 56 25.6          14.1 RL~0ia9E10
     K12Q08C 0C2012 09 09.66225500 19 07.02 -57 56 42.5          14.0 RL~0ia9E10
