X2446K08A04F KC2002 06 01.33892 16 11 38.23 -07 35 53.8          20.8 Vr~0CfY644
X2446K08A04F KC2002 06 01.34999 16 11 36.88 -07 35 53.5                r~0CfY644
X2446K08A04F [C2007 07 28.34900 16 33 01.60 -20 28 04.3                c~0C8N568
X2446K08A04F  C2008 01 15.32219811 18 02.25 +22 35 54.0          16.5 Vox4373H55
X2446K08A04F  C2008 01 15.32431411 18 01.15 +22 36 10.2          16.6 Vox4373H55
X2446K08A04F  C2008 01 15.33980 11 17 53.66 +22 38 16.5          15.5 Rrx4373H45
X2446K08A04F  C2008 01 15.34080 11 17 53.15 +22 38 23.8          15.5 Rrx4373H45
X2446K08A04F  C2008 01 15.34138 11 17 52.87 +22 38 28.6          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34214 11 17 52.48 +22 38 34.3          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34332 11 17 51.86 +22 38 43.4          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34398 11 17 51.50 +22 38 48.4          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34462 11 17 51.17 +22 38 53.4          15.7 Rrx4373H45
X2446K08A04F  C2008 01 15.34526 11 17 50.84 +22 38 58.3          15.7 Rrx4373H45
X2446K08A04F  C2008 01 15.34583 11 17 50.54 +22 39 02.7          15.6 Rrx4373H45
X2446K08A04F  C2008 01 15.34643 11 17 50.23 +22 39 07.3          15.7 Rrx4373H45
X2446K08A04F  C2008 01 15.34708 11 17 49.89 +22 39 12.3          15.5 Rrx4373H45
X2446K08A04F  C2008 01 15.34764 11 17 49.59 +22 39 16.6          15.5 Rrx4373H45
X2446K08A04F tC2008 01 16.32581 11 10 12.86 +24 35 49.8          16.1 Vox4373291
X2446K08A04F tC2008 01 16.32984 11 10 10.89 +24 36 17.3          16.2 Vox4373291
X2446K08A04F tC2008 01 16.33396 11 10 08.96 +24 36 45.8          16.2 Vox4373291
X2446K08A04F  C2008 01 16.35168111 09 57.90 +24 38 40.0          16.6 Vox5543H55
X2446K08A04F  C2008 01 16.35461011 09 56.47 +24 38 59.7          16.5 Vox5543H55
X2446K08A04F  C2008 01 16.35793911 09 54.85 +24 39 22.2          16.6 Vox5543H55
X2446K08A04F  C2008 01 16.35979011 09 53.94 +24 39 34.6          16.6 Vox5543H55
X2446K08A04F  C2008 01 16.65485 11 07 44.49 +25 11 57.0          16.0 Vrx4373379
X2446K08A04F  C2008 01 16.66608 11 07 39.15 +25 13 10.3          15.8 Vrx4373379
X2446K08A04F  C2008 01 16.66735 11 07 38.50 +25 13 19.5          15.5 Vrx4373379
X2446K08A04F  C2008 01 16.66862 11 07 37.91 +25 13 27.5          15.8 Vrx4373379
X2446K08A04F  C2008 01 17.02457 11 05 02.36 +25 50 40.1          15.8 Rcx4373B49
X2446K08A04F  C2008 01 17.02932 11 05 00.13 +25 51 10.1          15.8 Rcx4373B49
X2446K08A04F  C2008 01 18.37112 10 55 43.54 +27 58 45.8          16.0 Rrx5082448
X2446K08A04F  C2008 01 18.37279 10 55 42.83 +27 58 54.6          16.1 Rrx5082448
X2446K08A04F  C2008 01 18.37446 10 55 42.12 +27 59 03.4          16.0 Rrx5082448
X2446K08A04F  C2008 01 18.37612 10 55 41.39 +27 59 12.3          16.0 Rrx5082448
X2446K08A04F  C2008 01 18.37779 10 55 40.67 +27 59 21.2          16.1 Rrx5082448
X2446K08A04F  C2008 01 18.56552 10 54 20.77 +28 15 23.0          16.0 Vrx4373G96
X2446K08A04F  C2008 01 18.56585 10 54 20.66 +28 15 24.7          16.0 Vrx4373G96
X2446K08A04F  C2008 01 18.56613 10 54 20.52 +28 15 26.0          16.0 Vrx4373G96
X2446K08A04F  C2008 01 18.56641 10 54 20.44 +28 15 28.2          16.0 Vrx4373G96
X2446K08A04F  C2008 01 19.08125 10 51 07.49 +28 58 00.7                rx5082B19
X2446K08A04F  C2008 01 19.08908 10 51 05.03 +28 58 37.0                rx5082B19
X2446K08A04F  C2008 01 19.20758 10 50 23.34 +29 07 44.2          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.20814 10 50 23.11 +29 07 47.3          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.20870 10 50 22.89 +29 07 50.0          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.20927 10 50 22.69 +29 07 52.6          16.2 Rrx5082H51
X2446K08A04F  C2008 01 19.20983 10 50 22.47 +29 07 55.4          16.3 Rrx5082H51
X2446K08A04F  C2008 01 19.21038 10 50 22.25 +29 07 58.1          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.21095 10 50 22.03 +29 08 00.8          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.21152 10 50 21.82 +29 08 03.6          16.3 Rrx5082H51
X2446K08A04F  C2008 01 19.21207 10 50 21.58 +29 08 06.5          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.21263 10 50 21.36 +29 08 09.3          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.21319 10 50 21.15 +29 08 11.7          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.21375 10 50 20.91 +29 08 14.6          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.21432 10 50 20.70 +29 08 17.3          16.3 Rrx5082H51
X2446K08A04F  C2008 01 19.21487 10 50 20.49 +29 08 20.2          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.21543 10 50 20.25 +29 08 22.9          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.21600 10 50 20.02 +29 08 25.6          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.21656 10 50 19.83 +29 08 28.4          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.21712 10 50 19.60 +29 08 31.1          16.1 Rrx5082H51
X2446K08A04F  C2008 01 19.21769 10 50 19.39 +29 08 33.7          16.0 Rrx5082H51
X2446K08A04F  C2008 01 19.21824 10 50 19.18 +29 08 36.5          16.3 Rrx5082H51
X2446K08A04F  C2008 01 19.91325 10 46 04.22 +30 01 05.0          15.8 Rox5082B04
X2446K08A04F  C2008 01 19.91571 10 46 03.29 +30 01 16.0          15.8 Rox5082B04
X2446K08A04F  C2008 01 19.91858 10 46 02.22 +30 01 28.8          15.8 Rox5082B04
X2446K08A04F  C2008 01 19.92314 10 46 00.55 +30 01 49.5          15.8 Rox5082B04
X2446K08A04F  C2008 01 19.92864 10 45 58.49 +30 02 14.8          15.9 Rox5082B04
X2446K08A04F  C2008 01 19.93721 10 45 55.29 +30 02 53.0          15.8 Rox5082B04
X2446K08A04F  C2008 01 19.94285 10 45 53.15 +30 03 17.9          16.0 Rox5082B04
X2446K08A04F  C2008 01 19.94709 10 45 51.61 +30 03 37.3          15.9 Rox5082B04
X2446K08A04F  C2008 01 20.03269 10 45 21.45 +30 10 12.4          16.3 Rrx5082J51
X2446K08A04F  C2008 01 20.03812 10 45 19.36 +30 10 36.5          16.3 Rrx5082J51
X2446K08A04F  C2008 01 20.04356 10 45 17.29 +30 11 00.8          16.1 Rrx5082J51
X2446K08A04F  C2008 01 20.18931 10 44 25.90 +30 20 52.0          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.18975 10 44 25.76 +30 20 53.8          16.0 Rrx5082H51
X2446K08A04F  C2008 01 20.19019 10 44 25.60 +30 20 55.9          16.3 Rrx5082H51
X2446K08A04F  C2008 01 20.19064 10 44 25.42 +30 20 57.9          16.3 Rrx5082H51
X2446K08A04F  C2008 01 20.19108 10 44 25.25 +30 20 59.8          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19152 10 44 25.09 +30 21 01.8          15.9 Rrx5082H51
X2446K08A04F  C2008 01 20.19196 10 44 24.92 +30 21 03.6          16.3 Rrx5082H51
X2446K08A04F  C2008 01 20.19241 10 44 24.77 +30 21 05.6          16.0 Rrx5082H51
X2446K08A04F  C2008 01 20.19285 10 44 24.60 +30 21 07.5          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.19329 10 44 24.44 +30 21 09.5          16.3 Rrx5082H51
X2446K08A04F  C2008 01 20.19374 10 44 24.28 +30 21 11.5          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19418 10 44 24.10 +30 21 13.4          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19463 10 44 23.98 +30 21 15.5          16.4 Rrx5082H51
X2446K08A04F  C2008 01 20.19507 10 44 23.79 +30 21 17.1          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.19552 10 44 23.62 +30 21 19.1          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19596 10 44 23.47 +30 21 21.0          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19640 10 44 23.30 +30 21 23.1          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.19685 10 44 23.12 +30 21 24.8          16.0 Rrx5082H51
X2446K08A04F  C2008 01 20.19729 10 44 22.98 +30 21 26.9          16.3 Rrx5082H51
X2446K08A04F  C2008 01 20.19774 10 44 22.82 +30 21 28.8          16.4 Rrx5082H51
X2446K08A04F  C2008 01 20.19818 10 44 22.64 +30 21 30.9          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.19863 10 44 22.49 +30 21 32.9          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19907 10 44 22.30 +30 21 34.9          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19953 10 44 22.13 +30 21 36.9          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.19997 10 44 21.98 +30 21 38.8          16.4 Rrx5082H51
X2446K08A04F  C2008 01 20.20041 10 44 21.83 +30 21 40.8          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.20084 10 44 21.67 +30 21 42.4          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.20130 10 44 21.51 +30 21 44.6          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.20175 10 44 21.34 +30 21 46.5          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.20219 10 44 21.19 +30 21 48.4          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.38000 10 43 16.84 +30 34 34.5          16.1 Vdx5082G72
X2446K08A04F  C2008 01 20.38331 10 43 15.56 +30 34 48.4          16.3 Vdx5082G72
X2446K08A04F  C2008 01 20.38995 10 43 13.01 +30 35 16.2          16.2 Vdx5082G72
X2446K08A04F  C2008 01 20.39328 10 43 11.78 +30 35 30.1          16.4 Vdx5082G72
X2446K08A04F  C2008 01 20.40167 10 43 08.61 +30 36 05.3          16.3 Vdx5082G72
X2446K08A04F  C2008 01 20.40648 10 43 06.74 +30 36 25.2          16.1 Vdx5082G72
X2446K08A04F  C2008 01 20.41924 10 42 59.41 +30 37 03.2          16.2 Rrx5082H51
X2446K08A04F  C2008 01 20.41968 10 42 59.24 +30 37 05.0          16.4 Rrx5082H51
X2446K08A04F  C2008 01 20.42013 10 42 59.07 +30 37 07.0          16.0 Rrx5082H51
X2446K08A04F  C2008 01 20.42058 10 42 58.91 +30 37 08.9          16.1 Rrx5082H51
X2446K08A04F  C2008 01 20.42102 10 42 58.73 +30 37 10.7          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.42147 10 42 58.58 +30 37 12.5          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.42192 10 42 58.41 +30 37 14.4          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.42236 10 42 58.23 +30 37 16.2          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.42281 10 42 58.05 +30 37 17.8          16.2 Rrx5083H51
X2446K08A04F  C2008 01 20.42325 10 42 57.88 +30 37 19.8          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.42370 10 42 57.72 +30 37 21.5          16.2 Rrx5083H51
X2446K08A04F  C2008 01 20.42414 10 42 57.55 +30 37 23.2          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.42459 10 42 57.41 +30 37 25.1          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.42505 10 42 57.21 +30 37 26.6          16.2 Rrx5083H51
X2446K08A04F  C2008 01 20.42550 10 42 57.06 +30 37 28.6          16.2 Rrx5083H51
X2446K08A04F  C2008 01 20.42594 10 42 56.89 +30 37 30.5          16.2 Rrx5083H51
X2446K08A04F  C2008 01 20.42639 10 42 56.71 +30 37 32.3          16.1 Rrx5083H51
X2446K08A04F  C2008 01 20.42684 10 42 56.55 +30 37 34.1          16.0 Rrx5083H51
X2446K08A04F  C2008 01 20.42729 10 42 56.38 +30 37 35.9          16.1 Rrx5083H51
