f7949K07T23B 7C2007 10 03.48787 04 03 37.04 -01 06 17.3          20.0 ro~0Wj3705
f7949K07T23B 7C2007 10 03.48870 04 03 36.96 -01 06 16.4                o~0Wj3705
f7949K07T23B 7C2007 10 03.49119 04 03 36.72 -01 06 13.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48646 03 54 21.57 +00 38 10.2          19.0 ro~0Wj3705
f7949K07T23B 7C2007 10 08.48729 03 54 21.47 +00 38 11.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48977 03 54 21.13 +00 38 14.7                o~0Wj3705
f7949K07T23B 7C2007 10 09.46484 03 52 14.61 +01 00 29.0          19.2 ro~0Wj3705
f7949K07T23B  C2007 10 20.35451 03 21 32.83 +05 52 30.9          19.1 Vrw3549G96
f7949K07T23B  C2007 10 20.35949 03 21 31.78 +05 52 40.0          18.5 Vrw3549G96
f7949K07T23B  C2007 10 20.36448 03 21 30.74 +05 52 49.2          18.4 Vrw3549G96
f7949K07T23B  C2007 10 20.36943 03 21 29.70 +05 52 58.2          18.4 Vrw3549G96
f7949K07T23B  C2007 10 23.23094 03 11 18.78 +07 22 03.1                ow2599291
f7949K07T23B  C2007 10 23.23563 03 11 17.73 +07 22 11.9                ow2599291
f7949K07T23B  C2007 10 23.24230 03 11 16.21 +07 22 24.8                ow2599291
f7949K07T23B  C2007 10 23.32061 03 10 58.36 +07 24 54.6          18.8 Rrw3549448
f7949K07T23B  C2007 10 23.32842 03 10 56.60 +07 25 09.6          18.7 Rrw3549448
f7949K07T23B  C2007 10 23.33625 03 10 54.79 +07 25 24.5          18.6 Rrw3549448
f7949K07T23B  C2007 10 23.75047 03 09 21.87 +07 38 56.2          18.6 Rcw3549D21
f7949K07T23B  C2007 10 23.75295 03 09 21.30 +07 39 02.0          18.6 Rcw3549D21
f7949K07T23B  C2007 10 24.29734 03 07 18.48 +07 56 15.3          18.2 Vrw3549G96
f7949K07T23B  C2007 10 24.30119 03 07 17.58 +07 56 23.1          18.3 Vrw3549G96
f7949K07T23B  C2007 10 24.30507 03 07 16.68 +07 56 30.6          18.3 Vrw3549G96
f7949K07T23B  C2007 10 24.30895 03 07 15.78 +07 56 38.1          18.1 Vrw3549G96
f7949K07T23B  C2007 10 31.81519 02 36 39.09 +12 06 00.0          18.7 Vow3549151
f7949K07T23B  C2007 10 31.81822 02 36 38.23 +12 06 06.3          18.5 Vow3549151
f7949K07T23B  C2007 10 31.82125 02 36 37.37 +12 06 12.8          18.3 Vow3549151
f7949K07T23B  C2007 10 31.95361 02 36 02.91 +12 10 38.8          17.9 Rcw4989A24
f7949K07T23B  C2007 10 31.98147 02 35 55.47 +12 11 36.5          18.0 Rcw4989A24
f7949K07T23B  C2007 10 31.99009 02 35 53.25 +12 11 53.4          18.0 Rcw4989A24
f7949K07T23B  C2007 10 31.99330 02 35 52.44 +12 11 59.1          17.9 Rcw4989A24
f7949K07T23B  C2007 11 01.00513 02 35 49.24 +12 12 23.0          17.7 Rcw4989A24
f7949K07T23B  C2007 11 01.00834 02 35 48.42 +12 12 29.5          17.7 Rcw4989A24
f7949K07T23B  C2007 11 01.01696 02 35 46.14 +12 12 47.1          18.2 Rcw4989A24
f7949K07T23B  C2007 11 01.24709 02 34 47.31 +12 20 32.4          18.2 Vrw3549G96
f7949K07T23B  C2007 11 01.25271 02 34 45.84 +12 20 43.7          18.0 Vrw3549G96
f7949K07T23B  C2007 11 01.25824 02 34 44.36 +12 20 54.8          17.9 Vrw3549G96
f7949K07T23B  C2007 11 01.26377 02 34 42.92 +12 21 06.0          17.8 Vrw3549G96
f7949K07T23B  C2007 11 01.84037 02 32 13.80 +12 40 18.5          18.4 Vow3549151
f7949K07T23B  C2007 11 01.84142 02 32 13.53 +12 40 20.5          18.5 Vow3549151
f7949K07T23B  C2007 11 01.84248 02 32 13.27 +12 40 22.6          18.4 Vow3549151
f7949K07T23B  C2007 11 01.84353 02 32 12.95 +12 40 25.1          18.6 Vow3549151
f7949K07T23B  C2007 11 01.84459 02 32 12.69 +12 40 27.7          18.9 Vow3549151
f7949K07T23B  C2007 11 01.84564 02 32 12.39 +12 40 29.5          18.9 Vow3549151
f7949K07T23B  C2007 11 01.84670 02 32 12.06 +12 40 31.3          18.4 Vow3549151
f7949K07T23B  C2007 11 03.25318 02 26 05.31 +13 27 19.4          19.1 Vrw4989703
f7949K07T23B  C2007 11 03.25494 02 26 04.77 +13 27 23.4          19.1 Vrw4989703
f7949K07T23B  C2007 11 03.25671 02 26 04.30 +13 27 26.8          19.4 Vrw4989703
f7949K07T23B  C2007 11 03.25841 02 26 03.84 +13 27 31.1          19.0 Vrw4989703
f7949K07T23B  C2007 11 03.30256 02 25 52.03 +13 28 58.5          18.1 Vrw4989703
f7949K07T23B  C2007 11 03.30345 02 25 51.78 +13 29 00.4          18.3 Vrw4989703
f7949K07T23B  C2007 11 03.30434 02 25 51.56 +13 29 02.0          18.1 Vrw4989703
f7949K07T23B  C2007 11 03.30523 02 25 51.31 +13 29 03.5          18.0 Vrw4989703
f7949K07T23B  C2007 11 04.17115 02 22 05.30 +13 57 32.8          18.5 Vrw4989G96
f7949K07T23B  C2007 11 04.17370 02 22 04.41 +13 57 37.3          18.0 Rrw4989H45
f7949K07T23B  C2007 11 04.17522 02 22 03.99 +13 57 40.4          18.0 Rrw4989H45
f7949K07T23B  C2007 11 04.17546 02 22 04.15 +13 57 41.3          18.4 Vrw4989G96
f7949K07T23B  C2007 11 04.17646 02 22 03.59 +13 57 44.3          18.0 Rrw4989H45
f7949K07T23B  C2007 11 04.17750 02 22 03.38 +13 57 45.2          18.2 Rrw4989H45
f7949K07T23B  C2007 11 04.17861 02 22 03.07 +13 57 47.4          18.3 Rrw4989H45
f7949K07T23B  C2007 11 04.17961 02 22 02.77 +13 57 49.4          18.0 Rrw4989H45
f7949K07T23B  C2007 11 04.18095 02 22 02.71 +13 57 52.2          18.3 Vrw4990G96
f7949K07T23B  C2007 11 04.18531 02 22 01.56 +13 58 00.7          18.1 Vrw4990G96
f7949K07T23B  C2007 11 04.26247 02 21 40.89 +14 00 33.1          18.9 Vrw4990G96
f7949K07T23B  C2007 11 04.26409 02 21 40.46 +14 00 36.6          19.0 Vrw4990G96
f7949K07T23B  C2007 11 04.26737 02 21 39.56 +14 00 42.6          18.8 Vrw4990G96
f7949K07T23B  C2007 11 04.26824 02 21 39.31 +14 00 44.7                ow4990291
f7949K07T23B  C2007 11 04.26899 02 21 39.13 +14 00 46.0          18.9 Vrw4990G96
f7949K07T23B  C2007 11 04.27219 02 21 38.24 +14 00 52.5                ow4990291
f7949K07T23B  C2007 11 04.27233 02 21 38.23 +14 00 52.5          18.8 Vrw4990G96
f7949K07T23B  C2007 11 04.27396 02 21 37.80 +14 00 55.9          18.8 Vrw4990G96
f7949K07T23B  C2007 11 04.27629 02 21 37.16 +14 01 00.5                ow4990291
f7949K07T23B  C2007 11 04.27725 02 21 36.90 +14 01 02.1          18.7 Vrw4990G96
f7949K07T23B  C2007 11 04.28345 02 21 35.24 +14 01 14.5          18.5 Vrw4990G96
f7949K07T23B  C2007 11 04.78912 02 19 23.33 +14 17 40.0          17.9 Vrw4990A78
f7949K07T23B  C2007 11 04.79444 02 19 21.90 +14 17 51.2          18.3 Vrw4990A78
f7949K07T23B  C2007 11 04.80009 02 19 20.39 +14 18 01.8          18.0 Vrw4990A78
f7949K07T23B  C2007 11 04.80430 02 19 19.29 +14 18 10.1          18.4 Vrw4990A78
f7949K07T23B  C2007 11 05.13196 02 17 53.30 +14 28 52.5          18.0 Rrw4990H45
f7949K07T23B  C2007 11 05.13308 02 17 52.98 +14 28 54.4          18.0 Rrw4990H45
f7949K07T23B  C2007 11 05.13418 02 17 52.73 +14 28 56.6          18.3 Rrw4990H45
f7949K07T23B  C2007 11 05.13545 02 17 52.38 +14 28 58.9          18.6 Rrw4990H45
f7949K07T23B  C2007 11 05.13830 02 17 51.59 +14 29 04.9          18.6 Rrw4990H45
f7949K07T23B  C2007 11 05.13942 02 17 51.28 +14 29 06.9          18.2 Rrw4990H45
f7949K07T23B  C2007 11 06.24933 02 13 00.09 +15 04 52.9          19.1  cw4990704
f7949K07T23B  C2007 11 06.26141 02 12 56.84 +15 05 15.3          19.4  cw4990704
f7949K07T23B  C2007 11 06.27354 02 12 53.62 +15 05 39.1          19.1  cw4990704
f7949K07T23B  C2007 11 06.29761 02 12 47.21 +15 06 25.4          19.6  cw4990704
f7949K07T23B  C2007 11 07.31803 02 08 20.41 +15 38 44.9          18.3 Rrw4990H45
f7949K07T23B  C2007 11 07.32062 02 08 19.67 +15 38 49.3          18.3 Rrw4990H45
f7949K07T23B  C2007 11 07.32210 02 08 19.30 +15 38 52.1          18.6 Rrw4990H45
f7949K07T23B  C2007 11 07.32318 02 08 19.02 +15 38 54.2          18.3 Rrw4990H45
f7949K07T23B  C2007 11 07.32425 02 08 18.74 +15 38 56.0          18.5 Rrw4990H45
f7949K07T23B  C2007 11 07.32535 02 08 18.45 +15 38 58.2          18.3 Rrw4990H45
f7949K07T23B  C2007 11 10.25646 01 55 43.58 +17 08 40.6          18.8 Rrw6939H45
f7949K07T23B  C2007 11 10.25863 01 55 43.06 +17 08 44.3          18.7 Rrw6939H45
f7949K07T23B  C2007 11 10.25997 01 55 42.67 +17 08 47.0          18.7 Rrw6939H45
f7949K07T23B  C2007 11 10.26129 01 55 42.38 +17 08 49.1          18.8 Rrw6939H45
f7949K07T23B  C2007 11 10.26262 01 55 42.00 +17 08 51.4          18.6 Rrw6939H45
f7949K07T23B  C2007 11 10.26387 01 55 41.71 +17 08 53.5          18.3 Rrw6940H45
f7949K07T23B  C2007 11 11.86847 01 48 58.98 +17 55 41.2          17.9 Rcw9047A24
f7949K07T23B  C2007 11 11.90489 01 48 49.69 +17 56 44.3          19.1 Rrw6940130
f7949K07T23B  C2007 11 11.90740 01 48 49.04 +17 56 48.6          19.2 Rrw6940130
f7949K07T23B  C2007 11 11.91012 01 48 48.37 +17 56 53.2          19.1 Rrw6940130
f7949K07T23B  C2007 11 11.91293 01 48 47.70 +17 56 56.7          18.8 Rrw6940130
f7949K07T23B  C2007 11 11.92413 01 48 44.71 +17 57 17.2          18.3 Rcw9047A24
f7949K07T23B  C2007 11 11.94254 01 48 40.06 +17 57 48.7          17.8 Rcw9047A24
f7949K07T23B  C2007 11 11.94353 01 48 39.86 +17 57 50.2          18.0 Rcw9047A24
f7949K07T23B  C2007 11 14.23775 01 39 21.10 +19 01 35.8          19.3 Rrw6940H45
f7949K07T23B  C2007 11 14.23953 01 39 20.66 +19 01 39.1          19.2 Rrw6940H45
f7949K07T23B  C2007 11 14.24114 01 39 20.22 +19 01 41.8          19.2 Rrw6940H45
f7949K07T23B  C2007 11 14.24254 01 39 19.87 +19 01 43.9          19.3 Rrw6940H45
f7949K07T23B  C2007 11 14.24388 01 39 19.54 +19 01 46.2          19.2 Rrw6940H45
f7949K07T23B  C2007 11 14.24533 01 39 19.22 +19 01 48.7          19.2 Rrw6940H45
f7949K07T23B  C2007 11 15.91661 01 32 47.99 +19 45 48.3          17.9 Rcw9047A24
