     K07Y01G* C2007 12 16.45543 08 22 57.54 +28 23 51.2          20.6 Vrx1903G96
     K07Y01G  C2014 05 21.54009 19 28 56.923-40 31 36.08         19.8 iL~14PZF51
     K07Y01G  C2014 05 21.55010 19 28 57.221-40 31 35.98         19.8 iL~14PZF51
     K07Y01G  C2014 05 21.56014 19 28 57.508-40 31 36.29         19.9 iL~14PZF51
     K07Y01G  C2014 06 07.52932 19 31 24.264-40 11 00.77         19.3 wL~15KiF51
     K07Y01G  C2014 06 07.53932 19 31 23.990-40 10 58.98         19.3 wL~15KiF51
     K07Y01G  C2014 06 07.54928 19 31 23.734-40 10 57.35         19.2 wL~15KiF51
     K07Y01G  C2014 06 07.55925 19 31 23.464-40 10 55.56         19.2 wL~15KiF51
     K07Y01G  C2014 06 21.46093 19 21 02.218-38 59 14.79         18.8 iL~15dvF51
     K07Y01G  C2014 06 21.47245 19 21 01.334-38 59 09.49         18.8 iL~15dvF51
     K07Y01G  C2014 06 21.48396 19 21 00.469-38 59 03.92         18.7 iL~15dvF51
     K07Y01G  C2014 06 21.49549 19 20 59.588-38 58 58.43         18.6 iL~15dvF51
     K07Y01G  C2014 07 04.18743 19 03 00.37 -36 34 04.6          18.6 Rr~16DkY00
     K07Y01G  C2014 07 04.19645 19 02 59.49 -36 33 56.8          19.0 Rr~16DkY00
     K07Y01G  C2014 07 04.21076 19 02 58.01 -36 33 42.8          18.9 Rr~16DkY00
     K07Y01G  C2014 11 20.20957 21 24 40.967+04 15 05.61         20.5 wL~1CKCF51
     K07Y01G  C2014 11 20.22183 21 24 43.027+04 15 15.24         20.4 wL~1CKCF51
     K07Y01G  C2014 11 20.23407 21 24 45.089+04 15 25.08         20.2 wL~1CKCF51
     K07Y01G  C2014 11 20.24626 21 24 47.126+04 15 34.66         20.2 wL~1CKCF51
