     K09DB1O* C2009 02 22.33494 12 20 19.70 +07 51 01.9                o~05KN691
     K09DB1O  C2009 03 17.29064 12 17 37.73 +18 21 56.8          14.6 Rr~05KOH45
     K09DB1O  C2009 03 17.39250012 16 55.72 +18 45 17.9          14.7 Vo~05KOH55
     K09DB1O  C2009 03 17.39697312 16 54.07 +18 46 22.3          14.8 Vo~05KOH55
     K09DB1O  C2009 03 17.39891912 16 53.37 +18 46 50.3          14.7 Vo~05KOH55
     K09DB1O tC2009 03 17.41608 12 16 55.61 +18 52 52.1          14.6 Vo~05KO291
     K09DB1O tC2009 03 17.42000 12 16 53.98 +18 53 50.7          14.6 Vo~05KO291
     K09DB1O tC2009 03 17.42393 12 16 52.36 +18 54 48.4          14.6 Vo~05KO291
     K09DB1O  C2009 03 17.65680 12 16 12.94 +19 59 45.0          14.1 Vr~05KO900
     K09DB1O  C2009 03 17.65941 12 16 11.66 +20 00 32.0          14.1 Vr~05KO900
     K09DB1O  C2009 03 17.85787 12 15 44.46 +21 01 23.6          14.4 Cw~05KO970
     K09DB1O  C2009 03 17.87400 12 15 36.88 +21 07 29.3          14.6 Co~05KOB84
     K09DB1O  C2009 03 17.87442 12 15 36.70 +21 07 38.7          14.7 Co~05KOB84
     K09DB1O  C2009 03 17.87484 12 15 36.51 +21 07 48.1          14.5 Co~05KOB84
     K09DB1O  C2009 03 17.87784 12 15 36.17 +21 08 46.5          14.2 Cw~05KO970
     K09DB1O  C2009 03 17.88147 12 15 32.47 +21 10 47.5          14.0 Vr~05KOA17
     K09DB1O  C2009 03 17.89697 12 15 27.67 +21 15 56.8          14.3 Cw~05KO970
     K09DB1O  C2009 03 17.90362 12 15 24.63 +21 18 27.1          14.0 Cw~05KO970
     K09DB1O  C2009 03 17.91030 12 15 20.25 +21 21 05.9          14.5 Co~05KOB84
     K09DB1O  C2009 03 17.91060 12 15 20.10 +21 21 13.0          14.6 Co~05KOB84
     K09DB1O  C2009 03 17.91091 12 15 19.96 +21 21 19.9          14.6 Co~05KOB84
     K09DB1O  C2009 03 17.91122 12 15 19.82 +21 21 26.8          14.8 Co~05KOB84
     K09DB1O  C2009 03 17.91422 12 15 18.35 +21 22 35.6          14.4 Co~05KOB84
     K09DB1O  C2009 03 17.91453 12 15 18.21 +21 22 42.5          14.5 Co~05KOB84
     K09DB1O  C2009 03 17.92406 12 15 14.86 +21 26 14.1          14.1 Cw~05KO970
     K09DB1O  C2009 03 17.92499 12 15 11.08 +21 27 12.9          13.9 Vr~05KOA17
     K09DB1O  C2009 03 17.93466 12 15 07.70 +21 31 22.6          13.6 Vr~05KOA13
     K09DB1O  C2009 03 17.93749 12 15 06.19 +21 32 28.1          13.8 Vr~05KOA13
     K09DB1O  C2009 03 17.93848 12 15 05.65 +21 32 51.0          13.5 Vr~05KOA13
     K09DB1O  C2009 03 17.93947 12 15 05.12 +21 33 14.0          13.7 Vr~05KOA13
     K09DB1O  C2009 03 17.93976 12 15 04.01 +21 33 27.9          13.6 Rr~05Z9143
     K09DB1O  C2009 03 17.94047 12 15 04.56 +21 33 37.1          13.6 Vr~05KOA13
     K09DB1O  C2009 03 17.94164 12 15 03.94 +21 34 04.4          13.6 Vr~05KOA13
     K09DB1O  C2009 03 17.94269 12 15 03.37 +21 34 28.6          13.5 Vr~05KOA13
     K09DB1O  C2009 03 17.94379 12 15 01.80 +21 35 01.4          13.8 Rr~05Z9143
     K09DB1O  C2009 03 17.94785 12 14 59.57 +21 36 35.7          13.8 Rr~05Z9143
     K09DB1O  C2009 03 17.94840 12 15 02.60 +21 35 37.6          14.4 Cw~05KO970
     K09DB1O  C2009 03 17.95249 12 14 56.99 +21 38 23.5          13.7 Rr~05Z9143
     K09DB1O  C2009 03 17.95638 12 14 54.81 +21 39 54.4          13.7 Rr~05Z9143
     K09DB1O  C2009 03 17.95658 12 14 58.32 +21 38 48.9          14.2 Cw~05KO970
     K09DB1O  C2009 03 17.95922 12 14 53.21 +21 41 00.7          13.8 Rr~05Z9143
     K09DB1O  C2009 03 17.96473 12 14 50.10 +21 43 09.7          13.7 Rr~05Z9143
     K09DB1O  C2009 03 17.98233 12 14 39.91 +21 49 28.3          13.9 Vr~05KOA17
     K09DB1O  C2009 03 17.99627 12 14 31.94 +21 54 50.4          14.6 Vo~05KOA74
     K09DB1O  C2009 03 18.00086 12 14 29.30 +21 56 40.0          14.7 Vo~05KOA74
     K09DB1O  C2009 03 18.01232 12 14 22.66 +22 01 14.7          14.5 Vo~05KOA74
     K09DB1O  C2009 03 18.01309 12 14 22.21 +22 01 33.2          14.7 Vo~05KOA74
     K09DB1O  C2009 03 18.01538 12 14 20.88 +22 02 28.3          14.7 Vo~05KOA74
     K09DB1O  C2009 03 18.01615 12 14 20.43 +22 02 46.8          14.6 Vo~05KOA74
     K09DB1O  C2009 03 18.08294 12 13 41.69 +22 30 00.0          14.8 Vo~05KO510
     K09DB1O  C2009 03 18.08693 12 13 39.35 +22 31 40.4          14.8 Vo~05KO510
     K09DB1O  C2009 03 18.08932 12 13 37.95 +22 32 40.4          14.6 Vo~05KO510
     K09DB1O  C2009 03 18.19521 12 13 37.83 +23 23 53.3          13.9 Rr~05KOH45
     K09DB1O  C2009 03 18.19587 12 13 37.37 +23 24 12.6          13.8 Rr~05KOH45
     K09DB1O  C2009 03 18.19634 12 13 37.05 +23 24 26.0          14.3 Rr~05KOH45
     K09DB1O  C2009 03 18.19736 12 13 36.35 +23 24 56.2          13.7 Rr~05KOH45
     K09DB1O  C2009 03 18.19781 12 13 36.04 +23 25 09.4          13.9 Rr~05KOH45
     K09DB1O  C2009 03 18.19871 12 13 35.41 +23 25 35.9          14.0 Rr~05KOH45
     K09DB1O  C2009 03 18.19948 12 13 34.88 +23 25 58.8          13.9 Rr~05KOH45
     K09DB1O  C2009 03 18.20038 12 13 34.26 +23 26 24.9          14.2 Rr~05KOH45
     K09DB1O  C2009 03 18.20121 12 13 33.68 +23 26 49.5          13.9 Rr~05KOH45
     K09DB1O  C2009 03 18.20208 12 13 33.08 +23 27 15.0          14.1 Rr~05KOH45
     K09DB1O  C2009 03 18.78051 12 08 00.80 +29 35 15.4          13.3 Vr~05KOA17
     K09DB1O  C2009 03 18.78252 12 07 58.88 +29 37 05.3          13.2 Vr~05KOA17
     K09DB1O  C2009 03 18.78836 12 07 53.27 +29 42 25.8          13.2 Vr~05KOA17
     K09DB1O  C2009 03 18.79326 12 07 48.42 +29 46 56.7          13.3 Vr~05KOA17
     K09DB1O  C2009 03 18.84316 12 06 56.39 +30 33 08.4          13.2 Cw~05KO970
     K09DB1O  C2009 03 18.86041 12 06 32.60 +30 52 56.5          12.6 Vc~05KO595
     K09DB1O  C2009 03 18.86182 12 06 30.79 +30 54 20.8          12.8 Vc~05KO595
     K09DB1O  C2009 03 18.86326 12 06 28.94 +30 55 47.2          12.5 Vc~05KO595
     K09DB1O  C2009 03 18.87376 12 06 16.65 +31 04 26.8                c~05Z9127
     K09DB1O  C2009 03 18.87545 12 06 14.47 +31 06 09.7                c~05Z9127
     K09DB1O  C2009 03 18.87663 12 06 12.83 +31 07 21.8                c~05Z9127
