     K06W03Z* C2006 11 21.32045 04 41 46.10 +12 17 18.2          19.8 Vrs9004G96
     K06W03Z  C2006 12 12.27582 03 52 46.63 +06 37 03.6          20.1 Vrt2487G96
     K06W03Z FC2006 12 14.90475 03 44 36.29 +05 46 38.5                ct2487246
     K06W03Z FC2006 12 14.90978 03 44 35.30 +05 46 31.9                ct2487246
     K06W03Z FC2006 12 14.91060 03 44 35.21 +05 46 29.9                ct2487246
     K06W03Z  C2006 12 15.83008 03 41 39.72 +05 28 41.2          19.7 Rrt2487113
     K06W03Z  C2006 12 15.83171 03 41 39.38 +05 28 39.3          19.7 Rrt2487113
     K06W03Z  C2006 12 15.83332 03 41 39.06 +05 28 37.6          19.9 Rrt2487113
     K06W03Z  C2006 12 15.90164 03 41 25.41 +05 27 18.3                ct2487246
     K06W03Z  C2006 12 15.90238 03 41 25.28 +05 27 17.8                ct2487246
     K06W03Z  C2006 12 15.90466 03 41 24.80 +05 27 15.5                ct2487246
     K06W03Z  C2006 12 23.81274 03 15 05.35 +02 53 06.5                ct2487246
     K06W03Z  C2006 12 23.81484 03 15 04.85 +02 53 04.0                ct2487246
     K06W03Z  C2006 12 23.81549 03 15 04.74 +02 53 02.9                ct2487246
     K06W03Z  C2006 12 23.81641 03 15 04.61 +02 53 02.0                ct2487246
     K06W03Z  C2006 12 24.85081 03 11 32.41 +02 33 05.1                ct2487246
     K06W03Z  C2006 12 24.85159 03 11 32.27 +02 33 04.6                ct2487246
     K06W03Z  C2006 12 24.85260 03 11 32.08 +02 33 02.0                ct2487246
     K06W03Z  C2006 12 24.85346 03 11 31.90 +02 33 01.4                ct2487246
     K06W03Z  C2006 12 24.85424 03 11 31.74 +02 33 01.6                ct2487246
     K06W03Z  C2006 12 24.85499 03 11 31.53 +02 33 00.0                ct2487246
     K06W03Z  C2006 12 24.85579 03 11 31.41 +02 32 58.7                ct2487246
     K06W03Z  C2006 12 27.88454 03 01 08.81 +01 35 16.2                ct2487246
     K06W03Z  C2006 12 27.88542 03 01 08.56 +01 35 14.9                ct2487246
     K06W03Z  C2006 12 27.88641 03 01 08.37 +01 35 14.3                ct2487246
     K06W03Z  C2006 12 27.88722 03 01 08.16 +01 35 13.6                ct2487246
     K06W03Z  C2006 12 27.88795 03 01 07.99 +01 35 12.7                ct2487246
     K06W03Z  C2007 01 10.08830 02 15 55.21 -02 21 48.3          20.4 Rrt5575448
     K06W03Z  C2007 01 10.10574 02 15 51.37 -02 22 06.1          20.3 Rrt5575448
     K06W03Z  C2007 01 10.12334 02 15 47.50 -02 22 24.1          20.6 Rrt5575448
     K06W03Z HC2007 06 12.40094 21 46 07.81 -05 49 06.0                ov0724291
     K06W03Z  C2007 06 12.40814 21 46 07.54 -05 49 07.0                ov0724291
     K06W03Z HC2007 06 12.41342 21 46 07.34 -05 49 08.0                ov0724291
     K06W03Z "C2015 11 07.25646201 27 43.08 +04 59 27.9          22.4 Rt~1eNG705
     K06W03Z "C2015 11 07.25746401 27 42.99 +04 59 27.0          21.9 Rt~1eNG705
     K06W03Z "C2015 11 07.25846801 27 42.90 +04 59 27.0          22.3 Rt~1eNG705
