     K07D40Y* C2007 02 21.39017 11 17 10.03 +03 52 40.0          21.6 Vru0524G96
     K07D40Y  C2016 02 27.30179 10 49 37.30 +07 03 38.2          21.6 Vq~1n0OG96
     K07D40Y  C2016 02 27.30698 10 49 36.69 +07 03 44.6          20.9 Vq~1n0OG96
     K07D40Y  C2016 02 27.33448510 49 33.32 +07 04 15.9          21.2 Vt~1n0OH01
     K07D40Y  C2016 02 27.33770210 49 32.94 +07 04 19.7          21.0 Vt~1n0OH01
     K07D40Y  C2016 02 27.34420010 49 32.16 +07 04 27.5          21.4 Vt~1n0OH01
     K07D40Y  C2016 02 27.35555110 49 30.83 +07 04 41.1          20.7 Vt~1n0OH01
     K07D40Y  C2016 02 28.21214410 47 53.47 +07 22 03.2          21.0 Vt~1n0OH01
     K07D40Y  C2016 02 28.21530810 47 53.09 +07 22 07.2          21.0 Vt~1n0OH01
     K07D40Y  C2016 02 28.22341310 47 52.11 +07 22 17.2          20.9 Vt~1n0OH01
     K07D40Y HC2016 02 28.23225 10 47 51.09 +07 22 29.4          20.2 Vo~1n0O691
     K07D40Y  C2016 02 28.23393010 47 50.82 +07 22 30.3          21.1 Vt~1n0OH01
     K07D40Y HC2016 02 28.23687 10 47 50.53 +07 22 35.0          20.6 Vo~1n0O691
     K07D40Y HC2016 02 28.24148 10 47 49.98 +07 22 41.2          20.9 Vo~1n0O691
     K07D40Y  C2016 02 28.24818 10 47 49.18 +07 22 48.4          21.1 Vq~1n0OG96
     K07D40Y  C2016 02 28.25185 10 47 48.71 +07 22 53.0          20.9 Vq~1n0OG96
     K07D40Y  C2016 02 28.25556 10 47 48.25 +07 22 57.7          20.9 Vq~1n0OG96
     K07D40Y  C2016 02 28.25927 10 47 47.79 +07 23 02.5          20.7 Vq~1n0OG96
     K07D40Y  C2016 02 28.38957 10 47 31.78 +07 25 44.4          20.6 Ro~1n0O926
     K07D40Y  C2016 02 28.40067 10 47 30.41 +07 25 58.1          20.5 Ro~1n0O926
     K07D40Y  C2016 02 28.41175 10 47 29.04 +07 26 11.5          20.5 Ro~1n0O926
     K07D40Y  C2016 03 04.38885 10 36 47.66 +09 18 27.5          20.6 Vq~1n0OG96
     K07D40Y  C2016 03 04.39342 10 36 47.02 +09 18 34.0          21.8 Vq~1n0OG96
     K07D40Y  C2016 03 04.39799 10 36 46.35 +09 18 41.1          20.5 Vq~1n0OG96
     K07D40Y  C2016 03 04.40258 10 36 45.65 +09 18 47.0          21.5 Vq~1n0OG96
     K07D40Y  C2016 03 10.31089 10 21 40.904+11 54 27.28         21.1 wL~1nuRF51
     K07D40Y  C2016 03 10.32106 10 21 39.128+11 54 44.68         21.0 wL~1nuRF51
     K07D40Y  C2016 03 10.33119 10 21 37.379+11 55 01.87         21.0 wL~1nuRF51
     K07D40Y  C2016 03 10.34135 10 21 35.613+11 55 19.18         21.0 wL~1nuRF51
