     K09C03C* C2009 02 04.62941 12 20 36.45 -27 54 13.2          19.0 Vr~03NqE12
     K09C03C  C2009 05 10.39271020 47 33.25 +07 31 42.4          20.0 Vo~06saH55
     K09C03C  C2009 05 11.41514 20 48 53.54 +07 51 41.6          19.3 Rr~06sa448
     K09C03C  C2009 05 11.43734 20 48 55.13 +07 52 07.6          19.3 Rr~06sa448
     K09C03C  C2009 05 11.45981 20 48 56.68 +07 52 33.8          19.4 Rr~06sa448
     K09C03C  C2009 05 17.32310 20 55 28.89 +09 37 24.5          20.2 Vo~071eH55
     K09C03C  C2009 05 17.32774 20 55 29.11 +09 37 29.5          20.1 Vo~071eH55
     K09C03C  C2009 05 17.33277 20 55 29.35 +09 37 35.2                o~071eH55
     K09C03C  C2009 05 20.36036320 58 07.13 +10 25 33.6          20.1 Vo~071eH55
     K09C03C  C2009 05 20.36974420 58 07.52 +10 25 42.0          19.9 Vo~071eH55
     K09C03C  C2009 05 20.37404020 58 07.67 +10 25 46.0          19.9 Vo~071eH55
     K09C03C  C2009 06 06.33153 21 03 34.03 +13 35 07.9          20.9 Vo~07T0H55
     K09C03C  C2009 06 06.33577 21 03 34.02 +13 35 09.9          20.7 Vo~07T0H55
     K09C03C  C2009 06 06.34079 21 03 34.01 +13 35 13.0          20.3 Vo~07T0H55
     K09C03C  C2009 06 29.99563120 46 53.89 +13 43 46.6          21.0 Vo~07cE198
     K09C03C  C2009 06 30.00212320 46 53.42 +13 43 44.0          21.1 Vo~07cE198
     K09C03C  C2009 06 30.00320620 46 53.35 +13 43 43.4          21.1 Vo~07cE198
     K09C03C  C2009 06 30.00969920 46 52.88 +13 43 40.9          21.0 Vo~07cE198
     K09C03C  C2009 07 07.20728 20 37 51.98 +12 39 34.1                o~07fDH55
     K09C03C  C2009 07 07.21495 20 37 51.29 +12 39 29.0          20.4 Vo~07fDH55
     K09C03C  C2009 07 07.22210 20 37 50.65 +12 39 24.0          20.4 Vo~07fDH55
     K09C03C  C2009 07 28.20537 20 10 54.54 +07 12 27.4          20.3 Vo~07saH55
     K09C03C  C2009 07 28.21735 20 10 53.75 +07 12 15.2          20.6 Vo~07saH55
     K09C03C  C2009 07 28.21967 20 10 53.57 +07 12 12.9          20.5 Vo~07saH55
     K09C03C  C2009 08 03.16507 20 04 53.68 +05 19 29.1          20.3 Vo~07saH55
     K09C03C  C2009 08 03.20036 20 04 51.66 +05 18 48.4          20.4 Vo~07saH55
     K09C03C  C2009 08 03.20189 20 04 51.56 +05 18 46.8          20.5 Vo~07saH55
     K09C03C  C2009 08 03.20394 20 04 51.43 +05 18 44.1          20.3 Vo~07saH55
     K09C03C  C2009 08 12.13067 19 58 11.87 +02 30 07.6          20.9 Vo~08CSH55
     K09C03C  C2009 08 12.13657 19 58 11.67 +02 30 01.5          21.1 Vo~08CSH55
     K09C03C  C2009 08 12.14584 19 58 11.31 +02 29 51.8          20.4 Vo~08CSH55
     K09C03C  C2009 08 12.14937 19 58 11.19 +02 29 48.0          20.4 Vo~08CSH55
     K09C03C KC2011 12 24.26716405 31 33.11 +04 10 03.0          22.2 Vo~0beBH21
     K09C03C KC2011 12 24.27978205 31 31.96 +04 10 00.5          21.8 Vo~0beBH21
     K09C03C KC2011 12 24.29182105 31 30.90 +04 09 58.0                o~0beBH21
     K09C03C KC2011 12 25.23224905 30 09.50 +04 07 05.5                o~0beBH21
     K09C03C KC2011 12 25.24465305 30 08.40 +04 07 03.4          22.1 Vo~0beBH21
