     K06R00Z  C2006 09 09.31135 22 24 28.58 +18 28 46.1          17.9 Rrr8702H45
     K06R00Z  C2006 09 09.31694 22 24 28.25 +18 28 49.8          18.1 Rrr8702H45
     K06R00Z  C2006 09 09.31789 22 24 28.23 +18 28 50.1          17.9 Rrr8702H45
     K06R00Z  C2006 09 09.80201 22 24 09.78 +18 34 33.0          18.6 Vrr8702240
     K06R00Z  C2006 09 09.80453 22 24 09.64 +18 34 34.8          18.5 Vrr8702240
     K06R00Z  C2006 09 09.81209 22 24 09.25 +18 34 40.3          18.2 Vrr8702240
     K06R00Z  C2006 09 09.81377 22 24 09.16 +18 34 41.8          18.3 Vrr8702240
     K06R00Z  C2006 09 09.82369 22 24 08.47 +18 34 49.1          18.3 Rrr8702113
     K06R00Z  C2006 09 09.83080 22 24 08.09 +18 34 54.1          18.0 Rrr8702113
     K06R00Z  C2006 09 09.83153 22 24 08.40 +18 34 52.7          18.0 Vor8702J68
     K06R00Z  C2006 09 09.83795 22 24 07.73 +18 34 59.1          18.2 Rrr8702113
     K06R00Z  C2006 09 09.83844 22 24 07.69 +18 35 01.5          18.5 Vor8702A44
     K06R00Z  C2006 09 09.84242 22 24 07.61 +18 35 03.3          18.2 Vrr8702A17
     K06R00Z  C2006 09 09.84993 22 24 07.37 +18 35 06.7          18.0 Vor8702J68
     K06R00Z  C2006 09 09.85139 22 24 06.98 +18 35 11.5          18.5 Vor8702A44
     K06R00Z  C2006 09 09.85900 22 24 06.54 +18 35 17.0                cr8702046
     K06R00Z  C2006 09 09.86207 22 24 06.38 +18 35 19.2                cr8702046
     K06R00Z  C2006 09 09.86275 22 24 06.33 +18 35 19.8                cr8702046
     K06R00Z  C2006 09 09.86346 22 24 06.30 +18 35 20.2                cr8702046
     K06R00Z  C2006 09 09.86421 22 24 06.27 +18 35 20.9                cr8702046
     K06R00Z  C2006 09 09.86575 22 24 06.22 +18 35 22.2          18.7 Vor8702A44
     K06R00Z  C2006 09 09.86875 22 24 06.43 +18 35 21.0          17.5 Vor8702J68
     K06R00Z  C2006 09 09.87317 22 24 05.93 +18 35 26.1          18.4 Vrr8702A17
     K06R00Z  C2006 09 09.90705 22 24 04.11 +18 35 53.0          16.3 Vrr8702A17
     K06R00Z  C2006 09 09.92846 22 24 03.20 +18 36 05.9                rr8702J95
     K06R00Z  C2006 09 09.94131 22 24 02.47 +18 36 15.7                rr8702J95
     K06R00Z  C2006 09 09.95455 22 24 01.74 +18 36 25.5          18.3 Rrr8702J95
     K06R00Z  C2006 09 09.98649 22 23 59.60 +18 36 51.9                rr8702204
     K06R00Z  C2006 09 10.00636 22 23 58.48 +18 37 06.0          18.2 Rrr8702204
     K06R00Z  C2006 09 10.81696 22 23 23.75 +18 47 03.1          18.3 Vcr8702595
     K06R00Z  C2006 09 10.84507 22 23 22.15 +18 47 24.9          18.3 Vcr8702595
     K06R00Z  C2006 09 10.84985 22 23 21.78 +18 47 25.3          17.7 Ror8702639
     K06R00Z  C2006 09 10.85439 22 23 21.49 +18 47 28.8          17.6 Ror8702639
     K06R00Z  C2006 09 10.85698 22 23 21.46 +18 47 34.1          18.3 Vcr8702595
     K06R00Z  C2006 09 10.85828 22 23 21.29 +18 47 31.8          17.7 Ror8702639
     K06R00Z  C2006 09 10.86372 22 23 20.95 +18 47 36.0          17.5 Ror8702639
     K06R00Z  C2006 09 10.86917 22 23 20.69 +18 47 42.0          18.5 Vor8702A44
     K06R00Z  C2006 09 10.87873 22 23 20.15 +18 47 49.2          18.4 Vor8702A44
     K06R00Z  C2006 09 10.88914 22 23 19.54 +18 47 57.0          18.3 Vor8702A44
     K06R00Z  C2006 09 10.90793 22 23 18.45 +18 48 13.4          17.7 Rcr8702106
     K06R00Z  C2006 09 10.93337 22 23 16.94 +18 48 31.3          17.4 Rcr8702106
     K06R00Z  C2006 09 10.98046 22 23 14.75 +18 49 03.2          17.8 Vor8702J68
     K06R00Z  C2006 09 11.00192 22 23 13.47 +18 49 18.7          18.1 Vor8702J68
     K06R00Z 1C2006 09 11.01318 22 23 12.23 +18 49 20.4          17.9  rt5545084
     K06R00Z 1C2006 09 11.01607 22 23 12.06 +18 49 22.5          18.0  rt5545084
     K06R00Z  C2006 09 11.04640 22 23 10.87 +18 49 51.6          18.0 Vor8702J68
     K06R00Z  C2006 09 11.37234 22 22 54.87 +18 54 06.6          18.0 Vrr8702703
     K06R00Z  C2006 09 11.38317 22 22 54.22 +18 54 15.1          17.9 Vrr8702703
     K06R00Z  C2006 09 11.38858 22 22 53.94 +18 54 18.9          18.0 Vrr8702703
     K06R00Z  C2006 09 11.81270 22 22 36.69 +18 59 27.5          17.9 Vrr8702A17
     K06R00Z  C2006 09 11.82350 22 22 36.06 +18 59 36.4          18.0 Vrr8702A17
     K06R00Z  C2006 09 11.83266 22 22 35.53 +18 59 43.5          18.1 Vrr8702A17
     K06R00Z  C2006 09 11.83432 22 22 35.28 +18 59 44.1          18.2 Rrr8702113
     K06R00Z  C2006 09 11.83729 22 22 35.14 +18 59 46.1          18.4 Rrr8702113
     K06R00Z  C2006 09 11.84022 22 22 34.92 +18 59 49.6          18.2 Rrr8702113
     K06R00Z  C2006 09 11.84098 22 22 35.04 +18 59 50.1          18.1 Vrr8702A17
     K06R00Z 1C2006 09 11.84373 22 22 34.08 +18 59 47.8          18.5  rt5545084
     K06R00Z  C2006 09 11.84867 22 22 34.43 +18 59 57.7          18.6 Vor8702A44
     K06R00Z  C2006 09 11.84885 22 22 34.58 +18 59 56.4          18.0 Vrr8702A17
     K06R00Z  C2006 09 11.85839 22 22 33.85 +19 00 04.7                cr8702246
     K06R00Z  C2006 09 11.85936 22 22 33.76 +19 00 05.3                cr8702246
     K06R00Z  C2006 09 11.86047 22 22 33.71 +19 00 07.1          18.5 Vor8702A44
     K06R00Z  C2006 09 11.86074 22 22 33.72 +19 00 06.8                cr8702246
     K06R00Z  C2006 09 11.86252 22 22 33.58 +19 00 08.1                cr8702246
     K06R00Z  C2006 09 11.86569 22 22 33.40 +19 00 10.8                cr8702246
     K06R00Z  C2006 09 11.86809 22 22 33.32 +19 00 09.9          17.6 Ror9471A32
     K06R00Z  C2006 09 11.87002 22 22 33.25 +19 00 16.2          18.1 Rcs1205560
     K06R00Z  C2006 09 11.87076 22 22 33.09 +19 00 15.0          18.4 Vor8702A44
     K06R00Z  C2006 09 11.87375 22 22 33.06 +19 00 18.8          18.1 Rcs1205560
     K06R00Z  C2006 09 11.87749 22 22 32.80 +19 00 22.4          18.3 Rcs1205560
     K06R00Z  C2006 09 11.88063 22 22 32.53 +19 00 18.8          17.5 Ror9471A32
     K06R00Z  C2006 09 11.89308 22 22 31.79 +19 00 28.7          17.5 Ror9471A32
     K06R00Z  C2006 09 11.93443 22 22 29.20 +19 01 05.5          18.3 Vcr8702595
     K06R00Z  C2006 09 11.96778 22 22 27.13 +19 01 30.3          18.1 Vcr8702595
     K06R00Z 2C2006 09 12.29626 22 22 10.77 +19 05 51.4          17.6 Ror8702H06
     K06R00Z 2C2006 09 12.31112 22 22 09.85 +19 06 02.3          17.5 Ror8702H06
     K06R00Z 2C2006 09 12.32571 22 22 08.89 +19 06 12.5          17.9 Ror8702H06
     K06R00Z  C2006 09 12.80579 22 21 47.44 +19 12 10.4          17.7 Vrr8702A17
     K06R00Z  C2006 09 12.81647 22 21 46.78 +19 12 19.2          17.8 Vrr8702A17
     K06R00Z  C2006 09 12.81755 22 21 46.56 +19 12 19.7          17.8 Rrr8702113
     K06R00Z  C2006 09 12.81889 22 21 46.52 +19 12 21.0          17.3 Rrr8702113
     K06R00Z  C2006 09 12.82024 22 21 46.41 +19 12 22.1          17.9 Rrr8702113
     K06R00Z  C2006 09 12.82157 22 21 46.32 +19 12 23.2          17.7 Rrr8702113
     K06R00Z 1C2006 09 12.82487 22 21 45.49 +19 12 21.4          18.3  rt5545084
     K06R00Z  C2006 09 12.82622 22 21 46.01 +19 12 24.8          17.4 Ror9471A32
     K06R00Z 1C2006 09 12.82776 22 21 45.26 +19 12 23.6          18.1  rt5545084
     K06R00Z  C2006 09 12.82887 22 21 46.02 +19 12 29.3          17.6 Vrr8702A17
     K06R00Z  C2006 09 12.84113 22 21 45.10 +19 12 36.4          17.9 Ror9471A32
     K06R00Z  C2006 09 13.06392 22 21 34.84 +19 15 37.4          18.3 Rrr8702734
     K06R00Z  C2006 09 13.06700 22 21 34.64 +19 15 40.2          17.8 Rrr8702734
     K06R00Z  C2006 09 13.06854 22 21 34.54 +19 15 41.3          17.9 Rrr8702734
     K06R00Z  C2006 09 13.07008 22 21 34.47 +19 15 42.5          18.0 Rrr8702734
     K06R00Z  C2006 09 13.07238 22 21 34.32 +19 15 44.6          18.0 Rrr8702734
     K06R00Z  C2006 09 13.14007 22 21 29.09 +19 16 40.4          17.9 Rrr8702932
     K06R00Z  C2006 09 13.14673 22 21 28.65 +19 16 45.6          17.9 Rrr8702932
     K06R00Z  C2006 09 13.15429 22 21 28.15 +19 16 51.6          17.8 Rrr8702932
