     K09R00N* C2009 09 11.00009 00 43 00.85 -11 25 46.6          17.9 Vr~08yVJ75
     K09R00N  C2009 12 05.35960 06 36 59.62 +17 49 12.5          18.3 Vo~0C9yH21
     K09R00N  C2009 12 05.36261 06 36 59.75 +17 49 16.4          18.5 Vo~0C9yH21
     K09R00N  C2009 12 06.04860 06 37 38.55 +18 04 23.2          18.0 Cw~0C9y160
     K09R00N  C2009 12 06.05148 06 37 38.59 +18 04 27.2          18.2 Cw~0C9y160
     K09R00N  C2009 12 06.05406 06 37 38.68 +18 04 30.1          18.1 Cw~0C9y160
     K09R00N  C2009 12 06.31770406 37 52.81 +18 10 18.4          18.4 Vo~0C9yH21
     K09R00N  C2009 12 06.32144506 37 52.95 +18 10 23.5          18.4 Vo~0C9yH21
     K09R00N  C2009 12 06.32350106 37 53.02 +18 10 25.9          17.9 Vo~0C9yH21
     K09R00N  C2009 12 06.32648806 37 53.14 +18 10 30.3          18.0 Vo~0C9yH21
     K09R00N  C2009 12 06.32868806 37 53.23 +18 10 33.3          17.8 Vo~0C9yH21
     K09R00N  C2009 12 10.36388 06 40 42.87 +19 33 40.6          18.1 Ru~0C9yH45
     K09R00N  C2009 12 10.36490 06 40 42.90 +19 33 41.7          18.0 Ru~0C9yH45
     K09R00N  C2009 12 10.36689 06 40 42.92 +19 33 43.9          18.0 Ru~0C9yH45
     K09R00N  C2009 12 10.36841 06 40 42.95 +19 33 45.6          18.0 Ru~0C9yH45
     K09R00N  C2009 12 10.37059 06 40 42.98 +19 33 48.3          18.1 Ru~0C9yH45
     K09R00N  C2009 12 10.37196 06 40 43.02 +19 33 50.0          18.1 Ru~0C9yH45
     K09R00N  C2009 12 14.85346 06 42 31.79 +20 55 29.3          18.4 Rr~0CK6C00
     K09R00N  C2009 12 14.87051 06 42 32.01 +20 55 47.3          18.1 Rr~0CK6C00
     K09R00N  C2009 12 15.85691 06 42 46.33 +21 12 21.5          18.1 Rr~0CK6C00
     K09R00N  C2009 12 15.86434 06 42 46.34 +21 12 28.8          18.1 Rr~0CK6C00
     K09R00N  C2009 12 15.87412 06 42 46.42 +21 12 38.8          18.0 Rr~0CK6C00
     K09R00N  C2009 12 16.06481 06 42 46.71 +21 15 53.0          18.1  o~0GWfC20
     K09R00N HC2009 12 16.21847 06 42 51.56 +21 18 31.1          18.5 Vo~0CK6691
     K09R00N HC2009 12 16.23618 06 42 51.64 +21 18 48.9                o~0CK6691
     K09R00N HC2009 12 16.25389 06 42 51.64 +21 19 07.4          18.4 Vo~0CK6691
     K09R00N  C2009 12 17.24546 06 43 02.03 +21 35 04.7          17.6  c~0CK6704
     K09R00N  C2009 12 17.25772 06 43 01.97 +21 35 16.6          17.6  c~0CK6704
     K09R00N  C2009 12 17.27001 06 43 02.00 +21 35 29.1          18.1  c~0CK6704
     K09R00N  C2009 12 17.28231 06 43 01.87 +21 35 39.8          18.3  c~0CK6704
     K09R00N  C2009 12 20.19816 06 43 19.97 +22 19 39.2                o~0Cfv691
     K09R00N  C2009 12 20.21591 06 43 19.85 +22 19 55.4                o~0Cfv691
     K09R00N  C2009 12 20.23367 06 43 19.76 +22 20 11.5                o~0Cfv691
     K09R00N  C2009 12 25.22463 06 43 16.22 +23 25 45.3                o~0Cfv691
     K09R00N  C2009 12 25.24233 06 43 15.98 +23 25 58.6                o~0Cfv691
     K09R00N  C2009 12 25.26002 06 43 15.73 +23 26 11.6                o~0Cfv691
     K09R00N HC2009 12 26.20613 06 43 12.75 +23 37 15.2          18.5 Vo~0CtL691
     K09R00N HC2009 12 26.22384 06 43 12.47 +23 37 28.0          18.8 Vo~0CtL691
     K09R00N HC2009 12 26.24155 06 43 12.23 +23 37 40.7          18.8 Vo~0CtL691
     K09R00N  C2010 01 03.26156506 42 33.29 +24 55 49.9          18.9 Vo~0CtLH21
     K09R00N  C2010 01 03.26762606 42 33.17 +24 55 53.4          18.6 Vo~0CtLH21
     K09R00N  C2010 01 03.27008906 42 33.15 +24 55 53.8          18.8 Vo~0CtLH21
     K09R00N  C2010 01 12.27784 06 42 29.39 +25 54 39.0          19.6  c~0D5R704
     K09R00N  C2010 01 12.29035 06 42 29.35 +25 54 43.3          19.6  c~0D5R704
     K09R00N  C2010 01 12.30284 06 42 29.34 +25 54 46.4          19.5  c~0D5R704
     K09R00N .C2014 10 03.23705 08 57 09.36 +16 58 55.2          21.1 Rt~1AYs950
     K09R00N .C2014 10 03.23863 08 57 09.65 +16 58 54.4          21.5 Rt~1AYs950
     K09R00N .C2014 10 03.24022 08 57 09.89 +16 58 53.6          21.1 Rt~1AYs950
     K09R00N .C2014 10 03.24181 08 57 10.15 +16 58 52.5          21.3 Rt~1AYs950
