     K09R00N* C2009 09 11.00009 00 43 00.85 -11 25 46.6          17.9 Vr~08yVJ75
     K09R00N  C2009 09 27.34230 01 30 10.34 -12 32 00.5          17.4 Rr~09d8H45
     K09R00N  C2009 09 27.34369 01 30 10.65 -12 32 00.7          17.4 Rr~09d8H45
     K09R00N  C2009 09 27.34498 01 30 10.90 -12 32 00.8          17.3 Rr~09d8H45
     K09R00N  C2009 09 27.35436 01 30 12.85 -12 32 00.9          17.5 Rr~09d8H45
     K09R00N  C2009 09 27.35569 01 30 13.12 -12 32 01.1          17.6 Rr~09d8H45
     K09R00N  C2009 09 27.35688 01 30 13.38 -12 32 01.1          17.4 Rr~09d8H45
     K09R00N  C2009 10 02.18750 01 49 33.94 -12 27 40.9                r~09z2808
     K09R00N  C2009 10 02.19444 01 49 35.30 -12 27 40.8                r~09z2808
     K09R00N  C2009 10 02.20162 01 49 37.13 -12 27 39.2                r~09z2808
     K09R00N  C2009 10 05.26522202 03 30.21 -12 15 39.0          17.6 Vo~09qEH55
     K09R00N  C2009 10 05.26747802 03 30.81 -12 15 38.2          17.7 Vo~09qEH55
     K09R00N  C2009 10 05.26973602 03 31.42 -12 15 37.5          17.8 Vo~09qEH55
     K09R00N  C2009 10 05.27193302 03 32.00 -12 15 36.8          17.5 Vo~09qEH55
     K09R00N  C2009 10 09.34316 02 24 01.98 -11 41 50.8          17.4  c~09z2704
     K09R00N  C2009 10 09.35633 02 24 05.94 -11 41 42.3          17.3  c~09z2704
     K09R00N  C2009 10 09.36949 02 24 09.90 -11 41 33.6          17.6  c~09z2704
     K09R00N  C2009 10 09.38267 02 24 13.88 -11 41 24.4          17.6  c~09z2704
     K09R00N  C2009 10 09.39592 02 24 17.87 -11 41 17.0          19.0  c~09z2704
     K09R00N  C2009 10 10.66885 02 31 12.35 -11 26 09.5          17.3 Vr~09z2379
     K09R00N  C2009 10 10.67071 02 31 12.88 -11 26 08.0          16.9 Vr~09z2379
     K09R00N  C2009 10 10.67720 02 31 14.92 -11 26 02.8          17.2 Vr~09z2379
     K09R00N  C2009 10 10.67905 02 31 15.46 -11 26 01.7          17.3 Vr~09z2379
     K09R00N  C2009 10 10.68552 02 31 17.48 -11 25 56.8          17.2 Vr~09z2379
     K09R00N  C2009 10 10.68737 02 31 18.08 -11 25 55.3          17.3 Vr~09z2379
     K09R00N  C2009 10 10.68922 02 31 18.64 -11 25 53.7          17.4 Vr~09z2379
     K09R00N  C2009 10 10.69387 02 31 20.07 -11 25 50.0          17.1 Vr~09z2379
     K09R00N  C2009 10 10.69572 02 31 20.65 -11 25 48.9          17.0 Vr~09z2379
     K09R00N  C2009 10 10.69757 02 31 21.26 -11 25 47.3          17.2 Vr~09z2379
     K09R00N  C2009 10 10.70589 02 31 23.80 -11 25 40.7          17.3 Vr~09z2379
     K09R00N  C2009 10 10.71052 02 31 25.29 -11 25 37.2          17.0 Vr~09z2379
     K09R00N  C2009 10 10.71237 02 31 25.83 -11 25 35.6          16.9 Vr~09z2379
     K09R00N  C2009 10 11.30518 02 34 43.71 -11 17 46.4          17.6 Vo~09z2H55
     K09R00N  C2009 10 11.30737 02 34 44.42 -11 17 44.5          17.6 Vo~09z2H55
     K09R00N  C2009 10 11.30961 02 34 45.12 -11 17 42.7          17.6 Vo~09z2H55
     K09R00N  C2009 10 11.31186 02 34 45.83 -11 17 40.8          17.5 Vo~09z2H55
     K09R00N  C2009 10 11.31367 02 34 46.40 -11 17 39.4          17.6 Vo~09z2H55
     K09R00N  C2009 10 11.31599 02 34 47.15 -11 17 37.5          17.5 Vo~09z2H55
     K09R00N  C2009 10 13.67534 02 48 18.76 -10 40 51.6          16.7 Rm~0BiV355
     K09R00N  C2009 10 13.67678 02 48 19.28 -10 40 50.5                m~0BiV355
     K09R00N  C2009 10 13.67894 02 48 20.02 -10 40 48.6                m~0BiV355
     K09R00N  C2009 10 13.68037 02 48 20.43 -10 40 47.1                m~0BiV355
     K09R00N  C2009 10 15.70010 03 00 25.48 -10 02 14.6          17.4 Vr~09z2379
     K09R00N  C2009 10 15.70846 03 00 28.37 -10 02 04.1                r~09z2379
     K09R00N  C2009 10 15.71031 03 00 28.99 -10 02 02.1                r~09z2379
     K09R00N  C2009 10 15.71677 03 00 31.23 -10 01 53.9                r~09z2379
     K09R00N  C2009 10 15.71862 03 00 31.85 -10 01 51.8                r~09z2379
     K09R00N  C2009 10 15.72882 03 00 35.37 -10 01 38.6                r~09z2379
     K09R00N  C2009 10 18.26203 03 16 21.29 -09 03 37.8          17.0 Ru~0AGdH45
     K09R00N  C2009 10 18.26282 03 16 21.59 -09 03 36.7          17.0 Ru~0AGdH45
     K09R00N  C2009 10 18.26352 03 16 21.83 -09 03 35.6          16.9 Ru~0AGdH45
     K09R00N  C2009 10 18.26435 03 16 22.11 -09 03 34.4          17.2 Ru~0AGdH45
     K09R00N  C2009 10 18.26601 03 16 22.72 -09 03 31.9          16.9 Ru~0AGdH45
     K09R00N  C2009 10 18.26740 03 16 23.22 -09 03 29.9          17.0 Ru~0AGdH45
     K09R00N  C2009 10 18.38484 03 17 04.95 -09 00 35.8          17.5 Vo~0AGdH55
     K09R00N  C2009 10 18.38608 03 17 05.41 -09 00 33.7          17.5 Vo~0AGdH55
     K09R00N  C2009 10 18.38765 03 17 05.97 -09 00 31.5          17.5 Vo~0AGdH55
     K09R00N  C2009 10 18.38858 03 17 06.31 -09 00 30.1          17.6 Vo~0AGdH55
     K09R00N  C2009 10 18.38983 03 17 06.75 -09 00 28.1          17.5 Vo~0AGdH55
     K09R00N  C2009 10 18.39108 03 17 07.21 -09 00 26.1          17.4 Vo~0AGdH55
     K09R00N  C2009 10 18.69779 03 19 04.89 -08 52 34.7          17.1 Vr~0AGd379
     K09R00N  C2009 10 18.69964 03 19 05.59 -08 52 32.0          17.3 Vr~0AGd379
     K09R00N  C2009 10 18.71262 03 19 10.26 -08 52 11.6          17.0 Vr~0AGd379
     K09R00N  C2009 10 18.71632 03 19 11.57 -08 52 05.5          17.1 Vr~0AGd379
     K09R00N  C2009 10 18.72928 03 19 16.19 -08 51 45.6          16.9 Vr~0AGd379
     K09R00N  C2009 10 19.30960 03 22 58.77 -08 36 34.1          17.3 Vo~0AGdH55
     K09R00N  C2009 10 19.31073 03 22 59.19 -08 36 32.2          17.5 Vo~0AGdH55
     K09R00N  C2009 10 19.31241 03 22 59.80 -08 36 29.6          17.3 Vo~0AGdH55
     K09R00N  C2009 10 19.31431 03 23 00.48 -08 36 26.6          17.4 Vo~0AGdH55
     K09R00N  C2009 10 19.31620 03 23 01.16 -08 36 23.6          17.6 Vo~0AGdH55
     K09R00N  C2009 10 19.31790 03 23 01.79 -08 36 21.0          17.2 Vo~0AGdH55
     K09R00N  C2009 10 19.67303 03 25 18.33 -08 26 40.7          17.1 Vr~0AGd379
     K09R00N  C2009 10 19.67488 03 25 18.97 -08 26 37.6          17.1 Vr~0AGd379
     K09R00N  C2009 10 19.67674 03 25 19.63 -08 26 34.6          16.7 Vr~0AGd379
     K09R00N  C2009 10 19.68137 03 25 21.34 -08 26 27.2          17.0 Vr~0AGd379
     K09R00N  C2009 10 20.28796 03 29 15.60 -08 09 33.1          17.2 Ru~0AGdH45
     K09R00N  C2009 10 20.28932 03 29 16.07 -08 09 30.3          17.2 Ru~0AGdH45
     K09R00N  C2009 10 20.29063 03 29 16.56 -08 09 28.4          17.3 Ru~0AGdH45
     K09R00N  C2009 10 20.29181 03 29 16.99 -08 09 26.5          17.4 Ru~0AGdH45
     K09R00N  C2009 10 20.29297 03 29 17.41 -08 09 24.6          17.2 Ru~0AGdH45
     K09R00N  C2009 10 20.29388 03 29 17.75 -08 09 23.0          17.4 Ru~0AGdH45
     K09R00N  C2009 10 20.67488 03 31 44.41 -07 58 27.5          16.8 Vr~0AGd379
     K09R00N  C2009 10 20.68137 03 31 46.79 -07 58 16.7          16.8 Vr~0AGd379
     K09R00N  C2009 10 20.68322 03 31 47.47 -07 58 12.9          17.0 Vr~0AGd379
     K09R00N  C2009 10 20.69154 03 31 50.46 -07 57 58.6          17.4 Vr~0AGd379
     K09R00N  C2009 10 20.69339 03 31 51.12 -07 57 55.3          16.8 Vr~0AGd379
     K09R00N  C2009 10 20.69803 03 31 52.86 -07 57 47.4          17.4 Vr~0AGd379
     K09R00N  C2009 10 20.69988 03 31 53.54 -07 57 44.3          16.9 Vr~0AGd379
     K09R00N  C2009 10 20.70635 03 31 55.86 -07 57 33.0          16.5 Vr~0AGd379
     K09R00N  C2009 10 21.72627 03 38 31.07 -07 27 08.2          17.3 Vr~0AGd379
     K09R00N  C2009 10 21.73274 03 38 33.44 -07 26 55.9          17.1 Vr~0AGd379
     K09R00N  C2009 10 21.74294 03 38 37.19 -07 26 37.3          17.3 Vr~0AGd379
     K09R00N  C2009 10 21.75126 03 38 40.25 -07 26 21.7          17.5 Vr~0AGd379
     K09R00N  C2009 10 25.03601 04 00 02.85 -05 38 07.6          16.6 Rw~0AblB74
     K09R00N  C2009 10 25.03874 04 00 03.86 -05 38 01.6          16.5 Rw~0AblB74
     K09R00N  C2009 10 25.04104 04 00 04.70 -05 37 56.6          16.6 Rw~0AblB74
     K09R00N  C2009 10 25.08493 04 00 20.23 -05 36 25.8          16.5 Cw~0Abl160
     K09R00N  C2009 10 25.08840 04 00 21.51 -05 36 18.9          16.9 Cw~0Abl160
     K09R00N  C2009 10 25.09067 04 00 22.31 -05 36 13.8          16.7 Cw~0Abl160
     K09R00N  C2009 10 25.23211 04 01 20.10 -05 31 09.9          17.1 Vo~0AblH55
     K09R00N  C2009 10 25.23360 04 01 20.65 -05 31 06.9          17.3 Vo~0AblH55
     K09R00N  C2009 10 25.23491 04 01 21.13 -05 31 04.1          16.8 Vo~0AblH55
     K09R00N  C2009 10 25.23632 04 01 21.66 -05 31 01.1          16.9 Vo~0AblH55
     K09R00N  C2009 10 25.23762 04 01 22.13 -05 30 58.3          17.5 Vo~0AblH55
     K09R00N  C2009 10 26.01448 04 06 23.38 -05 03 06.3          16.9 Vr~0AblJ75
     K09R00N  C2009 10 26.01546 04 06 23.76 -05 03 04.0          16.7 Vr~0AblJ75
     K09R00N  C2009 10 26.01642 04 06 24.11 -05 03 01.8          16.7 Vr~0AblJ75
     K09R00N  C2009 10 26.01742 04 06 24.47 -05 02 59.9          16.8 Vr~0AblJ75
     K09R00N  C2009 10 26.05506 04 06 37.49 -05 01 44.3          16.5 Rr~0Auz130
     K09R00N  C2009 10 26.05606 04 06 37.82 -05 01 42.0          16.7 Rr~0Auz130
     K09R00N  C2009 10 26.05757 04 06 38.39 -05 01 38.6          16.6 Rr~0Auz130
     K09R00N  C2009 10 26.05958 04 06 39.13 -05 01 34.5          16.6 Rr~0Auz130
     K09R00N  C2009 10 26.14836 04 07 12.28 -04 58 14.1          16.5 Vr~0AblJ75
     K09R00N  C2009 10 26.16017 04 07 16.63 -04 57 48.0          16.6 Vr~0AblJ75
     K09R00N  C2009 10 26.17199 04 07 20.98 -04 57 22.2          16.4 Vr~0AblJ75
     K09R00N  C2009 10 27.35954 04 15 00.93 -04 13 15.2          16.8 Vr~0Abl703
     K09R00N  C2009 10 27.36730 04 15 03.74 -04 12 57.5          16.7 Vr~0Abl703
     K09R00N  C2009 10 27.37512 04 15 06.55 -04 12 39.9          16.8 Vr~0Abl703
     K09R00N  C2009 10 27.38290 04 15 09.36 -04 12 22.4          16.8 Vr~0Abl703
     K09R00N  C2009 10 27.77222 04 17 36.48 -03 57 39.7          16.9 Vr~0Abl379
     K09R00N  C2009 10 27.77720 04 17 38.28 -03 57 28.6          16.6 Vr~0Abl379
     K09R00N  C2009 10 29.75612 04 30 05.73 -02 40 38.2          16.9 Vr~0Abl379
     K09R00N  C2009 10 29.76446 04 30 08.52 -02 40 18.4          16.9 Vr~0Abl379
     K09R00N 1C2009 10 30.04314 04 31 53.13 -02 29 35.0          16.8  r~0GD4084
     K09R00N 1C2009 10 30.04430 04 31 53.50 -02 29 32.5          16.7  r~0GD4084
     K09R00N  C2009 11 01.30761 04 45 38.19 -00 58 15.0          17.4 Vo~0AuzH55
     K09R00N  C2009 11 01.31036 04 45 39.12 -00 58 08.4          17.5 Vo~0AuzH55
     K09R00N  C2009 11 01.31189 04 45 39.63 -00 58 04.7          17.5 Vo~0AuzH55
     K09R00N  C2009 11 01.31343 04 45 40.14 -00 58 00.8          17.4 Vo~0AuzH55
     K09R00N  C2009 11 01.31494 04 45 40.65 -00 57 57.2          17.5 Vo~0AuzH55
     K09R00N  C2009 11 01.31675 04 45 41.25 -00 57 52.8          17.4 Vo~0AuzH55
     K09R00N  C2009 11 02.26355 04 51 16.58 -00 19 13.6          17.2 Ru~0AuzH45
     K09R00N  C2009 11 02.26451 04 51 16.91 -00 19 11.2          17.5 Ru~0AuzH45
     K09R00N  C2009 11 02.26539 04 51 17.19 -00 19 09.0          17.4 Ru~0AuzH45
     K09R00N  C2009 11 02.26644 04 51 17.54 -00 19 06.6          17.3 Ru~0AuzH45
     K09R00N  C2009 11 02.26738 04 51 17.87 -00 19 04.2          17.1 Ru~0AuzH45
     K09R00N  C2009 11 02.26834 04 51 18.17 -00 19 01.9          17.2 Ru~0AuzH45
     K09R00N  C2009 11 06.30737 05 13 36.13 +02 25 49.1          17.2 Vo~0B0UH21
     K09R00N  C2009 11 06.30971 05 13 36.81 +02 25 54.8          17.0 Vo~0B0UH21
     K09R00N  C2009 11 06.31186 05 13 37.44 +02 26 00.1          17.2 Vo~0B0UH21
     K09R00N  C2009 11 06.31401 05 13 38.06 +02 26 05.3          17.2 Vo~0B0UH21
     K09R00N  C2009 11 06.31615 05 13 38.68 +02 26 10.5          17.2 Vo~0B0UH21
     K09R00N  C2009 11 08.68112 05 25 30.84 +04 01 08.4          18.0 Vr~0B0V379
     K09R00N  C2009 11 08.69779 05 25 35.28 +04 01 48.6                r~0B0V379
     K09R00N  C2009 11 08.70613 05 25 37.43 +04 02 08.5                r~0B0V379
     K09R00N  C2009 11 11.31315 05 37 35.29 +05 43 46.8          17.0 Ru~0B0VH45
     K09R00N  C2009 11 11.31440 05 37 35.60 +05 43 49.8          17.2 Ru~0B0VH45
     K09R00N  C2009 11 11.31544 05 37 35.84 +05 43 52.3          17.2 Ru~0B0VH45
     K09R00N  C2009 11 11.31640 05 37 36.08 +05 43 54.5          17.1 Ru~0B0VH45
     K09R00N  C2009 11 11.31766 05 37 36.39 +05 43 57.4          17.1 Ru~0B0VH45
     K09R00N  C2009 11 11.31856 05 37 36.59 +05 43 59.3          17.2 Ru~0B0VH45
     K09R00N  C2009 11 12.39585505 42 10.00 +06 24 49.0          17.5 Vo~0BHyH21
     K09R00N  C2009 11 12.39738505 42 10.36 +06 24 52.4          17.5 Vo~0BHyH21
     K09R00N  C2009 11 12.39837105 42 10.58 +06 24 54.5          17.6 Vo~0BHyH21
     K09R00N  C2009 11 12.39935305 42 10.81 +06 24 56.8          17.6 Vo~0BHyH21
     K09R00N  C2009 11 14.73777 05 51 26.41 +07 51 15.0          17.0 Rm~0BHy355
     K09R00N  C2009 11 14.73848 05 51 26.56 +07 51 17.0          16.9 Rm~0BHy355
     K09R00N  C2009 11 14.73993 05 51 26.87 +07 51 20.4          16.9 Rm~0BHy355
     K09R00N  C2009 11 14.74065 05 51 27.01 +07 51 21.7          16.9 Rm~0BHy355
     K09R00N  C2009 11 14.74137 05 51 27.15 +07 51 23.5          17.0 Rm~0BHy355
     K09R00N  C2009 11 14.75637 05 51 30.30 +07 51 56.4          16.9 Vr~0BHy379
     K09R00N  C2009 11 14.76655 05 51 32.36 +07 52 18.5          17.5 Vr~0BHy379
     K09R00N  C2009 11 14.77487 05 51 34.08 +07 52 36.0          16.9 Vr~0BHy379
     K09R00N  C2009 11 14.78135 05 51 35.43 +07 52 49.5          16.4 Vr~0BHy379
     K09R00N  C2009 11 14.78321 05 51 35.79 +07 52 53.9          16.2 Vr~0BHy379
     K09R00N  C2009 11 14.78969 05 51 37.11 +07 53 07.7          16.4 Vr~0BHy379
     K09R00N  C2009 11 14.79154 05 51 37.51 +07 53 11.8          16.2 Vr~0BHy379
     K09R00N  C2009 11 18.35639 06 03 55.27 +09 57 26.0          17.0 Rr~0BHy683
     K09R00N  C2009 11 18.36986 06 03 57.51 +09 57 56.4          17.3 Rr~0BHy683
     K09R00N  C2009 11 18.38356 06 03 59.69 +09 58 23.9          18.8 Rr~0BHy683
     K09R00N  C2009 11 19.68762 06 07 56.76 +10 41 31.0          17.6 Vr~0BHy379
     K09R00N  C2009 11 19.68947 06 07 57.06 +10 41 34.7                r~0BHy379
     K09R00N  C2009 11 19.70613 06 07 59.71 +10 42 07.2                r~0BHy379
     K09R00N  C2009 11 19.72094 06 08 01.98 +10 42 36.9                r~0BHy379
     K09R00N  C2009 11 20.96923 06 11 35.70 +11 22 41.4          17.3 Cu~0BiVJ28
     K09R00N  C2009 11 20.97280 06 11 36.23 +11 22 48.4          17.5 Cu~0BiVJ28
     K09R00N  C2009 11 20.97661 06 11 36.79 +11 22 55.9          16.8 Cu~0BiVJ28
     K09R00N  C2009 11 22.36147 06 15 12.96 +12 06 18.5          17.2 Vr~0BiV703
     K09R00N  C2009 11 22.36703 06 15 13.68 +12 06 29.2          17.1 Vr~0BiV703
     K09R00N  C2009 11 22.37255 06 15 14.40 +12 06 39.0          17.0 Vr~0BiV703
     K09R00N  C2009 11 22.37808 06 15 15.19 +12 06 50.9          16.6 Vr~0BiV703
     K09R00N  C2009 11 22.38361 06 15 15.94 +12 06 59.2          16.5 Vr~0BiV703
     K09R00N  C2009 11 25.69387 06 22 47.65 +13 44 52.3          17.6 Vr~0BiV379
     K09R00N  C2009 11 25.69572 06 22 47.84 +13 44 55.6          17.5 Vr~0BiV379
     K09R00N  C2009 11 25.69757 06 22 48.00 +13 44 58.4          17.0 Vr~0BiV379
     K09R00N  C2009 11 25.70404 06 22 48.71 +13 45 09.7          16.9 Vr~0BiV379
     K09R00N  C2009 11 25.71052 06 22 49.39 +13 45 20.8          17.5 Vr~0BiV379
     K09R00N  C2009 11 25.71237 06 22 49.58 +13 45 23.8          17.3 Vr~0BiV379
     K09R00N  C2009 11 25.71422 06 22 49.79 +13 45 27.2          17.3 Vr~0BiV379
     K09R00N  C2009 11 26.38762 06 24 10.00 +14 04 25.4          17.5 Ru~0BiVH45
     K09R00N  C2009 11 26.38948 06 24 10.18 +14 04 28.3          17.5 Ru~0BiVH45
     K09R00N  C2009 11 26.39060 06 24 10.31 +14 04 30.0          17.7 Ru~0BiVH45
