i0904K06V00A* C2006 11 01.19457 02 28 56.38 +22 48 18.1          20.5 Vrs5835G96
i0904K06V00A  C2015 07 29.80770 23 39 22.68 +04 56 11.8          19.7 Rq~1V1rD29
i0904K06V00A  C2015 07 29.82455 23 39 23.31 +04 56 25.8          19.3 Rq~1V1rD29
i0904K06V00A  C2015 08 09.36572 23 43 57.82 +07 07 01.2          18.8 rR~1VxUG45
i0904K06V00A  C2015 08 09.37196 23 43 57.86 +07 07 05.5          18.6 rR~1VxUG45
i0904K06V00A  C2015 08 09.37202 23 43 57.84 +07 07 05.0          19.3 rR~1VxUG45
i0904K06V00A  C2015 08 09.37809 23 43 57.86 +07 07 09.0          19.3 rR~1VxUG45
i0904K06V00A  C2015 08 09.38227 23 43 57.88 +07 07 11.6          19.3 rR~1VxUG45
i0904K06V00A  C2015 08 13.36674 23 44 15.06 +07 44 53.2          19.2 rR~1VxUG45
i0904K06V00A  C2015 08 13.37079 23 44 15.01 +07 44 55.5          18.9 rR~1VxUG45
i0904K06V00A  C2015 08 13.37895 23 44 14.96 +07 44 59.7          19.4 rR~1VxUG45
i0904K06V00A  C2015 08 13.38487 23 44 14.90 +07 45 02.9          19.2 rR~1VxUG45
i0904K06V00A  C2015 08 14.38514 23 44 11.87 +07 53 24.5          19.2 rR~1VxUG45
i0904K06V00A  C2015 08 14.39016 23 44 11.83 +07 53 26.9          19.3 rR~1VxUG45
i0904K06V00A  C2015 08 14.39022 23 44 11.83 +07 53 26.6          19.4 rR~1VxUG45
i0904K06V00A  C2015 08 14.39524 23 44 11.77 +07 53 29.3          19.4 rR~1VxUG45
i0904K06V00A  C2015 08 14.39531 23 44 11.76 +07 53 29.4          19.1 rR~1VxUG45
i0904K06V00A  C2015 08 14.40040 23 44 11.70 +07 53 31.7          19.3 rR~1VxUG45
i0904K06V00A  C2015 08 14.40545 23 44 11.65 +07 53 34.3          19.4 rR~1VxUG45
i0904K06V00A  C2015 08 14.40552 23 44 11.64 +07 53 34.3          19.5 rR~1VxUG45
i0904K06V00A  C2015 08 15.38630 23 44 06.02 +08 01 19.1          19.2 rR~1WVaG45
