     K07R02F* C2007 09 05.41331 00 57 28.58 -08 26 47.9          18.8 Vrv4558703
     K07R02F  C2007 09 15.35723 01 33 20.85 -10 04 19.5          17.0 Rrv6315448
     K07R02F  C2007 09 17.32888 01 50 10.38 -10 45 57.0          16.8 Rrv6315H51
     K07R02F  C2007 09 17.33058 01 50 11.38 -10 45 59.9          16.7 Rrv6315H51
     K07R02F  C2007 09 17.33219 01 50 12.35 -10 46 02.0          16.7 Rrv6315H51
     K07R02F  C2007 09 17.34023 01 50 17.24 -10 46 14.3          16.5 Rrv6315H51
     K07R02F  C2007 09 17.34190 01 50 18.26 -10 46 16.8          17.0 Rrv6315H51
     K07R02F  C2007 09 17.34350 01 50 19.26 -10 46 19.5          17.1 Rrv6315H51
     K07R02F  C2007 09 17.40759 01 50 58.47 -10 47 45.7          16.9 Rrv6315H45
     K07R02F  C2007 09 17.40852 01 50 59.04 -10 47 46.9          16.7 Rrv6315H45
     K07R02F  C2007 09 17.41007 01 51 00.00 -10 47 49.3          16.7 Rrv6315H45
     K07R02F  C2007 09 17.41109 01 51 00.60 -10 47 50.8          16.8 Rrv6315H45
     K07R02F  C2007 09 17.41240 01 51 01.41 -10 47 52.6          16.7 Rrv6315H45
     K07R02F  C2007 09 17.41440 01 51 02.66 -10 47 55.8          16.8 Rrv6315H45
     K07R02F  C2007 09 19.37282 02 18 41.25 -11 47 10.2          16.3 Rrv6315448
     K07R02F  C2007 09 19.37455 02 18 43.08 -11 47 14.1          16.4 Rrv6315448
     K07R02F  C2007 09 19.37630 02 18 44.93 -11 47 17.8          16.3 Rrv6315448
     K07R02F  C2007 09 25.17714907 27 16.86 -10 05 52.3                rv7771J95
     K07R02F  C2007 09 25.17827607 27 22.33 -10 05 38.9                rv7771J95
     K07R02F  C2007 09 25.17911307 27 26.33 -10 05 28.1                rv7771J95
     K07R02F  C2007 09 25.17994807 27 30.42 -10 05 18.9          17.3 Rrv7771J95
