     K07V12D  C2007 11 15.40806 05 40 23.69 -14 27 09.6          16.8 Rrw7064H45
     K07V12D  C2007 11 15.40916 05 40 23.79 -14 27 06.2          16.9 Rrw7064H45
     K07V12D  C2007 11 15.41033 05 40 23.91 -14 27 03.9          16.9 Rrw7064H45
     K07V12D  C2007 11 16.03869 05 41 48.23 -14 00 59.8          16.6 Row7064B04
     K07V12D  C2007 11 16.12210 05 41 57.37 -13 57 13.5          16.1 Row7064B04
     K07V12D  C2007 11 16.17116 05 42 02.97 -13 54 56.5          16.3 Row7064B04
     K07V12D  C2007 11 16.28901 05 42 24.08 -13 49 19.0          16.5 Rrw7064H45
     K07V12D  C2007 11 16.28984 05 42 24.16 -13 49 16.6          16.5 Rrw7064H45
     K07V12D  C2007 11 16.29024 05 42 24.21 -13 49 15.4          16.3 Rrw7064H45
     K07V12D  C2007 11 16.29595 05 42 24.84 -13 48 59.4          16.3 Rrw7064H45
     K07V12D  C2007 11 16.29688 05 42 24.94 -13 48 56.7          16.5 Rrw7064H45
     K07V12D  C2007 11 16.29895 05 42 25.18 -13 48 51.0          16.3 Rrw7064H45
     K07V12D  C2007 11 16.29970 05 42 25.26 -13 48 48.9          16.3 Rrw7064H45
     K07V12D  C2007 11 16.70441 05 43 25.38 -13 26 59.7          16.4 Rcw7064D21
     K07V12D  C2007 11 16.70693 05 43 25.67 -13 26 52.1          16.3 Rcw7064D21
     K07V12D  C2007 11 16.70946 05 43 25.97 -13 26 44.4          16.3 Rcw7064D21
     K07V12D  C2007 11 17.08596 05 44 22.56 -13 08 15.8          15.9 Row9161204
     K07V12D  C2007 11 17.09896 05 44 24.28 -13 07 31.2                ow9161204
     K07V12D  C2007 11 17.15656 05 44 39.42 -13 02 18.6                cw9161I09
     K07V12D  C2007 11 17.15939 05 44 39.79 -13 02 08.9                cw9161I09
     K07V12D  C2007 11 17.16222 05 44 40.21 -13 01 59.6                cw9161I09
     K07V12D  C2007 11 17.16506 05 44 40.57 -13 01 50.1                cw9161I09
     K07V12D  C2007 11 17.16790 05 44 40.92 -13 01 40.5                cw9161I09
     K07V12D  C2007 11 17.17073 05 44 41.34 -13 01 30.8                cw9161I09
     K07V12D  C2007 11 17.17357 05 44 41.74 -13 01 21.0                cw9161I09
     K07V12D  C2007 11 17.17640 05 44 42.12 -13 01 11.5                cw9161I09
     K07V12D  C2007 11 17.17924 05 44 42.49 -13 01 01.7                cw9161I09
     K07V12D  C2007 11 17.18207 05 44 42.88 -13 00 52.0                cw9161I09
