     K08S82H* C2008 09 26.21299 21 58 45.98 +05 04 54.4          20.6 Vrz8163G96
     K08S82H  C2009 01 09.21998 06 09 14.59 +10 42 27.9          18.6 Vo~034HH55
     K08S82H  C2009 01 09.22193 06 09 15.35 +10 42 26.2          18.6 Vo~034HH55
     K08S82H  C2009 01 15.88376 06 44 48.70 +09 26 11.3          18.5 Vc~03Ji560
     K08S82H  C2009 01 15.88445 06 44 48.86 +09 26 11.0          18.6 Vc~03Ji560
     K08S82H  C2009 01 15.88606 06 44 49.23 +09 26 09.9          18.5 Vc~03Ji560
     K08S82H  C2009 01 15.89290 06 44 50.86 +09 26 06.6          18.4 Rc~03JiA53
     K08S82H  C2009 01 15.90349 06 44 53.34 +09 26 01.7          18.7 Rc~03JiA53
     K08S82H  C2009 01 15.92589 06 44 58.50 +09 25 50.9          18.6 Rc~03JiA53
     K08S82H  C2009 01 15.94066 06 45 01.98 +09 25 43.7          18.3 Rc~03JiA53
     K08S82H  C2009 01 18.26906 06 53 58.50 +09 09 40.2          18.6  c~03Ji704
     K08S82H  C2009 01 18.28168 06 54 00.98 +09 09 36.0          19.2  c~03Ji704
     K08S82H  C2009 01 18.30691 06 54 05.90 +09 09 26.0          19.2  c~03Ji704
     K08S82H  C2009 01 18.31952 06 54 08.40 +09 09 22.3          19.1  c~03Ji704
     K08S82H  C2009 01 22.12369707 06 15.72 +08 51 37.7          19.2 Vo~03JiH55
     K08S82H  C2009 01 22.12613707 06 16.14 +08 51 37.1          18.8 Vo~03JiH55
     K08S82H  C2009 01 22.12798907 06 16.44 +08 51 36.7          19.3 Vo~03JiH55
     K08S82H  C2009 01 23.12777507 09 02.64 +08 48 28.3          19.7 Vo~03JiH55
     K08S82H  C2009 01 23.13155407 09 03.30 +08 48 28.2          19.1 Vo~03JiH55
     K08S82H  C2009 01 23.13469407 09 03.78 +08 48 28.1          19.1 Vo~03JiH55
     K08S82H  C2009 02 17.18655 07 53 56.51 +09 05 00.7          21.4 Vo~04aRH55
     K08S82H  C2009 02 17.19216 07 53 56.96 +09 05 01.1                o~04aRH55
     K08S82H  C2009 02 17.19809 07 53 57.40 +09 05 01.6                o~04aRH55
