Z4876K06B55G* C2006 01 26.39286 10 43 25.46 +09 38 01.7          21.6 Vrq1944G96
Z4876K06B55G  C2006 11 17.55901 03 24 14.43 -53 47 17.1          17.6 Vrs7030E12
Z4876K06B55G  C2006 11 17.56844 03 24 12.74 -53 46 01.7          17.7 Vrs7030E12
Z4876K06B55G  C2006 11 17.57788 03 24 10.98 -53 44 46.1          17.5 Vrs7030E12
Z4876K06B55G  C2006 11 17.58738 03 24 09.21 -53 43 29.7          17.4 Vrs7030E12
Z4876K06B55G  C2006 11 22.52738 03 14 32.60 -43 44 49.1          17.7 Vrs8729E12
Z4876K06B55G  C2006 11 22.53890 03 14 31.48 -43 43 34.0          17.7 Vrs8729E12
Z4876K06B55G  C2006 11 22.54792 03 14 30.62 -43 42 35.1          17.6 Vrs8729E12
Z4876K06B55G  C2006 11 22.55684 03 14 29.72 -43 41 36.3          17.9 Vrs8729E12
Z4876K06B55G  C2006 12 15.90349 03 06 35.21 -15 57 02.8          19.1 Rrt2267113
Z4876K06B55G  C2006 12 15.90502 03 06 35.22 -15 56 58.6          19.1 Rrt2267113
Z4876K06B55G  C2006 12 15.90654 03 06 35.26 -15 56 54.3          19.0 Rrt2267113
Z4876K06B55G  C2008 01 18.41842 12 44 49.71 +01 31 53.9                ox4276291
Z4876K06B55G  C2008 01 18.42210 12 44 49.84 +01 31 54.3                ox4276291
Z4876K06B55G  C2008 01 18.42580 12 44 50.11 +01 31 55.4                ox4276291
Z4876K06B55G  C2008 02 26.08451 13 05 50.11 +08 16 56.7          19.5 Rox9457461
Z4876K06B55G  C2008 02 26.09493 13 05 50.05 +08 17 11.1                ox9457461
Z4876K06B55G  C2008 03 04.31942 13 03 49.53 +11 18 08.4          18.8 Vry0766703
Z4876K06B55G  C2008 03 04.32656 13 03 49.24 +11 18 20.1          19.5 Vry0766703
Z4876K06B55G  C2008 03 04.33372 13 03 48.96 +11 18 32.2          19.6 Vry0766703
Z4876K06B55G  C2008 03 04.34089 13 03 48.78 +11 18 44.8          19.4 Vry0766703
Z4876K06B55G  C2008 03 13.32346 12 56 53.23 +16 10 48.1          19.1 Vry3566703
Z4876K06B55G  C2008 03 13.33211 12 56 52.65 +16 11 07.6          19.1 Vry3567703
Z4876K06B55G  C2008 03 13.34077 12 56 52.08 +16 11 26.0          19.0 Vry3567703
Z4876K06B55G  C2008 03 13.34941 12 56 51.32 +16 11 45.5          18.8 Vry3567703
Z4876K06B55G  C2008 03 14.41102 12 55 39.14 +16 51 24.2          18.9 Vry2150703
Z4876K06B55G  C2008 03 14.41928 12 55 38.53 +16 51 43.2          18.8 Vry2150703
Z4876K06B55G  C2008 03 14.42756 12 55 37.88 +16 52 02.1          18.8 Vry2150703
Z4876K06B55G  C2008 03 14.43579 12 55 37.27 +16 52 20.8          18.8 Vry2150703
Z4876K06B55G  C2008 03 25.31331 12 37 53.19 +24 36 48.7          18.5 Rry4047H45
Z4876K06B55G  C2008 03 25.31462 12 37 52.93 +24 36 51.9          18.4 Rry4047H45
Z4876K06B55G  C2008 03 25.31637 12 37 52.75 +24 36 56.7          18.6 Rry4047H45
Z4876K06B55G  C2008 03 25.31837 12 37 52.46 +24 37 02.5          18.6 Rry4047H45
