     K07C26S  C2007 02 15.60311 09 58 35.44 +33 04 38.4          15.8 Vrt9569379
     K07C26S  C2007 02 15.85377 10 04 48.58 +35 02 39.9                cu5572127
     K07C26S  C2007 02 15.85741 10 04 53.92 +35 04 24.1                cu5572127
     K07C26S  C2007 02 15.85903 10 04 56.27 +35 05 10.4                cu5572127
     K07C26S  C2007 02 15.86074 10 04 58.83 +35 05 59.4                cu5572127
     K07C26S  C2007 02 15.89072 10 05 43.11 +35 20 38.1          16.1  ot9569160
     K07C26S  C2007 02 15.89184 10 05 44.71 +35 21 09.0          16.1  ot9569160
     K07C26S  C2007 02 15.89296 10 05 46.58 +35 21 44.4          16.0  ot9569160
     K07C26S  C2007 02 15.89389 10 05 48.00 +35 22 11.9          16.1  ot9569160
     K07C26S  C2007 02 15.89933 10 05 55.78 +35 24 43.5          16.0  ot9569160
     K07C26S  C2007 02 15.90083 10 05 57.99 +35 25 28.7          16.0  ot9569160
     K07C26S  C2007 02 15.92207 10 06 29.14 +35 35 20.0          15.5 Vrt9569240
     K07C26S  C2007 02 15.92239 10 06 29.66 +35 35 29.5          15.6 Vrt9569240
     K07C26S  C2007 02 15.92255 10 06 29.87 +35 35 33.7          15.6 Vrt9569240
     K07C26S  C2007 02 15.92271 10 06 30.13 +35 35 38.7          15.6 Vrt9569240
     K07C26S  C2007 02 15.92302 10 06 30.59 +35 35 47.1          15.7 Vrt9569240
     K07C26S  C2007 02 15.92334 10 06 31.03 +35 35 56.0          15.7 Vrt9569240
     K07C26S  C2007 02 15.92382 10 06 31.73 +35 36 09.7          15.6 Vrt9569240
     K07C26S  C2007 02 15.92429 10 06 32.44 +35 36 23.8          15.5 Vrt9569240
     K07C26S  C2007 02 15.92451 10 06 32.70 +35 36 40.2          15.9 V t9569A48
     K07C26S  C2007 02 15.92461 10 06 32.91 +35 36 32.7          15.5 Vrt9569240
     K07C26S  C2007 02 15.92493 10 06 33.38 +35 36 41.0          15.6 Vrt9569240
     K07C26S  C2007 02 15.92556 10 06 34.29 +35 37 00.0          15.5 Vrt9569240
     K07C26S  C2007 02 15.92558 10 06 34.33 +35 37 10.9                 t9569A48
     K07C26S  C2007 02 15.92588 10 06 34.76 +35 37 09.0          15.6 Vrt9569240
     K07C26S  C2007 02 15.92619 10 06 35.24 +35 37 18.0          15.5 Vrt9569240
     K07C26S  C2007 02 15.92651 10 06 35.69 +35 37 26.4          15.5 Vrt9569240
     K07C26S  C2007 02 15.92666 10 06 35.89 +35 37 41.2          16.0 V t9569A48
     K07C26S  C2007 02 15.92715 10 06 36.62 +35 37 44.7          15.5 Vrt9569240
     K07C26S  C2007 02 15.92730 10 06 36.85 +35 37 49.1          15.5 Vrt9569240
     K07C26S  C2007 02 15.92746 10 06 37.10 +35 37 53.9          15.5 Vrt9569240
     K07C26S  C2007 02 15.92773 10 06 37.47 +35 38 12.0          15.4 V t9569A48
     K07C26S  C2007 02 16.01537 10 08 46.86 +36 19 31.0          15.9 Vct9569595
     K07C26S  C2007 02 16.01864 10 08 51.73 +36 21 03.0          15.9 Vct9569595
     K07C26S  C2007 02 16.02193 10 08 56.70 +36 22 35.5          16.0 Vct9569595
     K07C26S  C2007 02 16.92023 10 34 32.41 +43 11 07.5          15.8 Vru0462A81
     K07C26S  C2007 02 16.92279 10 34 37.03 +43 12 14.6          15.8 Vru0462A81
     K07C26S  C2007 02 16.92957 10 34 49.18 +43 15 12.8          16.1 Vru0462A81
     K07C26S  C2007 02 16.93197 10 34 53.46 +43 16 16.2          15.7 Vru0462A81
     K07C26S  C2007 02 16.94610 10 35 18.83 +43 22 16.1          16.3 V u0462A48
     K07C26S  C2007 02 16.94664 10 35 19.79 +43 22 30.2          16.5 V u0462A48
     K07C26S  C2007 02 16.94730 10 35 20.99 +43 22 48.0                 u0462A48
     K07C26S  C2007 02 16.94791 10 35 22.09 +43 23 03.5          16.3 V u0462A48
     K07C26S  C2007 02 16.96714 10 35 56.76 +43 31 26.4          16.3 Vcu0462B23
     K07C26S  C2007 02 16.96799 10 35 58.30 +43 31 48.5          16.7 Vcu0462B23
     K07C26S  C2007 02 16.96885 10 35 59.84 +43 32 10.9          16.3 Vcu0462B23
     K07C26S  C2007 02 16.96970 10 36 01.40 +43 32 33.2          16.3 Vcu0462B23
     K07C26S  C2007 02 16.97055 10 36 02.92 +43 32 55.2          16.4 Vcu0462B23
     K07C26S  C2007 02 17.03555 10 38 00.74 +44 00 52.5          15.8 Rcu0462A53
     K07C26S  C2007 02 17.03876 10 38 06.63 +44 02 14.2          16.2 Rcu0462A53
     K07C26S  C2007 02 17.03991 10 38 08.76 +44 02 43.9          16.5 Rcu0462A53
     K07C26S  C2007 02 17.04334 10 38 15.11 +44 04 10.2          16.1 Rcu0462A53
     K07C26S  C2007 02 17.04548 10 38 18.92 +44 05 05.5          16.2 Rcu0462A53
     K07C26S  C2007 02 17.37073 10 48 49.99 +46 21 17.2          16.3 Rru0462H45
     K07C26S  C2007 02 17.37204 10 48 52.55 +46 21 48.8          16.1 Rru0462H45
     K07C26S  C2007 02 17.37291 10 48 54.21 +46 22 09.9          16.3 Rru0462H45
     K07C26S  C2007 02 17.37328 10 48 54.91 +46 22 19.0          16.3 Rru0462H45
     K07C26S  C2007 02 17.37418 10 48 56.69 +46 22 40.7          16.2 Rru0462H45
     K07C26S  C2007 02 17.37448 10 48 57.27 +46 22 47.8          16.0 Rru0462H45
     K07C26S  C2007 02 17.37497 10 48 58.23 +46 22 59.8          16.3 Rru0462H45
     K07C26S  C2007 02 17.37557 10 48 59.37 +46 23 14.1          16.2 Rru0462H45
     K07C26S  C2007 02 17.37603 10 49 00.26 +46 23 25.2          16.1 Rru0462H45
     K07C26S  C2007 02 17.37645 10 49 01.08 +46 23 35.1          16.2 Rru0462H45
     K07C26S  C2007 02 18.39238 11 25 58.54 +52 37 49.6          16.4 Rru0462H45
     K07C26S  C2007 02 18.39288 11 25 59.68 +52 37 58.7          16.0 Rru0462H45
     K07C26S  C2007 02 18.39343 11 26 00.88 +52 38 09.1          16.2 Rru0462H45
     K07C26S  C2007 02 18.39385 11 26 01.79 +52 38 17.5          16.2 Rru0462H45
     K07C26S  C2007 02 18.39425 11 26 02.73 +52 38 24.9          16.0 Rru0462H45
     K07C26S  C2007 02 18.39483 11 26 04.05 +52 38 36.1          16.3 Rru0462H45
     K07C26S  C2007 02 18.39520 11 26 04.87 +52 38 44.0          16.7 Rru0462H45
     K07C26S  C2007 02 18.39597 11 26 06.68 +52 38 58.4          16.5 Rru0462H45
     K07C26S  C2007 02 18.87271 11 45 37.65 +55 03 19.6          16.6 Rou0462A35
     K07C26S  C2007 02 18.87408 11 45 40.98 +55 03 43.7          16.8 Rou0462A35
     K07C26S  C2007 02 18.87504 11 45 43.36 +55 04 00.4          16.8 Rou0462A35
     K07C26S  C2007 02 18.87643 11 45 46.80 +55 04 24.7          16.6 Rou0462A35
     K07C26S  C2007 02 18.87759 11 45 49.67 +55 04 45.1          16.7 Rou0462A35
     K07C26S  C2007 02 20.15562 12 41 18.81 +59 53 54.1                ou1586204
     K07C26S  C2007 02 20.15750 12 41 23.75 +59 54 12.8                ou1586204
     K07C26S  C2007 02 20.15939 12 41 28.70 +59 54 31.5          17.0 Rou1586204
     K07C26S  C2007 02 21.44832 13 38 38.04 +62 28 16.4          17.6 Rru0462H45
     K07C26S  C2007 02 21.44866 13 38 38.79 +62 28 17.9          17.6 Rru0462H45
     K07C26S  C2007 02 21.44928 13 38 40.37 +62 28 20.6          17.5 Rru0462H45
     K07C26S  C2007 02 21.45104 13 38 44.73 +62 28 28.3          17.6 Rru0462H45
     K07C26S  C2007 02 21.45141 13 38 45.60 +62 28 29.5          17.4 Rru0462H45
     K07C26S  C2007 02 21.45309 13 38 49.88 +62 28 36.2          17.7 Rru0462H45
     K07C26S  C2007 02 21.45380 13 38 51.55 +62 28 39.3          17.5 Rru0462H45
     K07C26S  C2007 02 21.45565 13 38 56.15 +62 28 46.8          17.8 Rru0462H45
     K07C26S  C2007 03 07.07401 17 30 01.94 +55 31 24.0          20   Rou2379461
     K07C26S  C2007 03 07.07964 17 30 03.44 +55 31 14.0                ou2379461
     K07C26S  C2007 03 07.08527 17 30 04.89 +55 31 04.5                ou2379461
     K07C26S  C2007 05 12.28647117 38 19.70 +41 41 56.7          22.8  ou9013H55
     K07C26S  C2007 05 12.30816017 38 17.60 +41 41 36.3          22.7  ou9013H55
     K07C26S  C2007 05 12.33215617 38 15.12 +41 41 11.6          22.7  ou9013H55
     K07C26S  C2007 06 17.17107416 50 50.28 +25 48 54.4          22.6  ov1074H55
     K07C26S  C2007 06 17.18799116 50 49.43 +25 48 21.6          22.7  ov1074H55
     K07C26S  C2007 06 17.20541116 50 48.55 +25 47 45.5          22.8  ov1074H55
