     K09C00V* C2009 02 02.91531 09 36 26.23 +32 46 27.2          18.6 Vo~03Nm198
     K09C00V  C2009 02 09.11415409 47 19.36 +38 47 21.6          18.3 Vo~04G3H55
     K09C00V  C2009 02 09.11786709 47 19.73 +38 47 41.6          18.0 Vo~04G3H55
     K09C00V  C2009 02 11.89540 09 56 20.39 +42 59 53.7          18.1 Vo~04G3198
     K09C00V  C2009 02 11.90024 09 56 21.14 +43 00 26.9          18.2 Vo~04G3198
     K09C00V  C2009 02 11.90509 09 56 21.90 +43 01 00.1          18.3 Vo~04G3198
     K09C00V  C2009 02 11.91474 09 56 23.35 +43 02 06.2          18.2 Vo~04G3198
     K09C00V  C2009 02 11.91956 09 56 24.07 +43 02 39.0          18.2 Vo~04G3198
     K09C00V  C2009 02 11.92437 09 56 24.78 +43 03 11.5          18.2 Vo~04G3198
     K09C00V  C2009 02 12.82446910 00 40.79 +44 44 19.6          17.2 Vo~04G3198
     K09C00V  C2009 02 12.82583810 00 41.12 +44 44 30.5          17.3 Vo~04G3198
     K09C00V  C2009 02 12.82727810 00 41.45 +44 44 42.0          17.5 Vo~04G3198
     K09C00V  C2009 02 12.94113 10 01 11.13 +45 00 03.2          17.6 Rr~04G3J27
     K09C00V  C2009 02 12.94820 10 01 12.37 +45 00 59.1          17.6 Rr~04G3J27
     K09C00V  C2009 02 12.95565 10 01 13.81 +45 01 58.0          17.6 Rr~04G3J27
     K09C00V  C2009 02 13.12956110 02 15.83 +45 22 55.3          17.9 Vo~04LwH55
     K09C00V  C2009 02 13.13141510 02 16.24 +45 23 10.6          18.2 Vo~04LwH55
     K09C00V  C2009 02 13.13345510 02 16.68 +45 23 27.8          18.1 Vo~04LwH55
     K09C00V  C2009 02 13.13812910 02 17.71 +45 24 06.6          17.3 Vo~04LwH55
     K09C00V  C2009 02 13.38002 10 03 11.70 +45 56 20.9          17.5 Vr~04G3703
     K09C00V  C2009 02 13.38487 10 03 12.52 +45 56 56.4          17.8 Vr~04G4703
     K09C00V  C2009 02 13.38974 10 03 13.39 +45 57 30.1          17.4 Vr~04G4703
     K09C00V  C2009 02 13.89534 10 06 38.79 +47 03 53.3          17.1 Rc~04LwA53
     K09C00V  C2009 02 13.90748 10 06 42.06 +47 05 42.0          17.5 Rc~04LwA53
     K09C00V  C2009 02 13.90770 10 06 41.99 +47 05 45.0          17.8 Vc~04LwA48
     K09C00V  C2009 02 13.90880 10 06 42.27 +47 05 55.0          17.7 Vc~04LwA48
     K09C00V  C2009 02 13.90990 10 06 42.57 +47 06 04.7          17.7 Vc~04LwA48
     K09C00V  C2009 02 13.91100 10 06 42.83 +47 06 14.4          17.8 Vc~04LwA48
     K09C00V  C2009 02 13.97087 10 07 04.20 +47 15 12.4          17.0 Rr~04LwJ27
     K09C00V  C2009 02 13.98090 10 07 06.61 +47 16 41.4          16.8 Rr~04LwJ27
     K09C00V  C2009 02 13.98761 10 07 08.17 +47 17 40.4          17.0 Rr~04LwJ27
     K09C00V  C2009 02 14.28951 10 09 08.29 +48 01 49.8          17.8  c~04Lw704
     K09C00V  C2009 02 14.30081 10 09 10.98 +48 03 32.0          18.0  c~04Lw704
     K09C00V  C2009 02 14.31252 10 09 13.64 +48 05 17.2          18.1  c~04Lw704
     K09C00V  C2009 02 14.32399 10 09 16.50 +48 06 58.0          18.0  c~04Lw704
     K09C00V  C2009 02 14.33557 10 09 19.07 +48 08 41.1          18.8  c~04Lw704
     K09C00V  C2009 02 15.34392110 17 17.47 +50 47 46.6          17.7 Vo~04LwH55
     K09C00V  C2009 02 15.34577710 17 18.17 +50 48 04.3          17.6 Vo~04LwH55
     K09C00V  C2009 02 15.34801010 17 19.00 +50 48 25.6          17.8 Vo~04LwH55
     K09C00V  C2009 02 15.94539510 23 46.86 +52 33 56.1          17.5 Vo~04Lw198
     K09C00V  C2009 02 15.94694710 23 47.63 +52 34 14.0          17.9 Vo~04Lw198
     K09C00V  C2009 02 15.94849910 23 48.38 +52 34 32.1          17.5 Vo~04Lw198
     K09C00V  C2009 02 15.95159610 23 49.93 +52 35 08.2          17.3 Vo~04Lw198
     K09C00V  C2009 02 15.95314710 23 50.68 +52 35 26.2          17.3 Vo~04Lw198
     K09C00V  C2009 02 15.95780610 23 52.97 +52 36 19.7          17.4 Vo~04Lx198
     K09C00V  C2009 02 15.95936210 23 53.73 +52 36 37.7          17.9 Vo~04Lx198
     K09C00V  C2009 02 15.96091810 23 54.47 +52 36 55.5          17.8 Vo~04Lx198
     K09C00V  C2009 02 16.38077 10 28 19.86 +53 58 05.1          16.7 Ro~04Lx850
     K09C00V  C2009 02 16.39906 10 28 30.50 +54 01 20.2          16.9 Ro~04Lx850
     K09C00V  C2009 02 16.41772 10 28 41.82 +54 04 36.9          17.3 Ro~04Lx850
     K09C00V  C2009 02 16.43556 10 28 53.12 +54 07 43.5          17.0 Ro~04Lx850
     K09C00V  C2009 02 16.45367 10 29 05.02 +54 10 51.5          17.2 Ro~04Lx850
     K09C00V  C2009 02 17.21115 10 40 18.62 +56 48 53.5                v~04tE204
     K09C00V  C2009 02 17.21244 10 40 19.84 +56 49 08.5                v~04tE204
     K09C00V  C2009 02 17.21373 10 40 21.03 +56 49 23.7                v~04tE204
     K09C00V  C2009 02 17.21503 10 40 22.25 +56 49 38.9                v~04tE204
     K09C00V  C2009 02 17.21633 10 40 23.49 +56 49 54.0          17.0 Cv~04tE204
     K09C00V  C2009 02 17.29283 10 42 14.64 +57 11 29.3          16.9 Ro~04Lx850
     K09C00V  C2009 02 17.31772 10 42 33.75 +57 16 56.0          16.5 Ro~04Lx850
     K09C00V  C2009 02 17.34244 10 42 53.14 +57 22 13.7          16.7 Ro~04Lx850
     K09C00V  C2009 02 17.36431 10 43 13.71 +57 26 25.9          17.5 Vo~04LxH55
     K09C00V  C2009 02 17.36598 10 43 15.09 +57 26 47.0          17.4 Vo~04LxH55
     K09C00V  C2009 02 17.36755 10 43 16.42 +57 27 06.8          17.5 Vo~04LxH55
     K09C00V  C2009 02 17.36904 10 43 17.65 +57 27 25.6          17.5 Vo~04LxH55
     K09C00V  C2009 02 17.37043 10 43 18.82 +57 27 43.1          17.5 Vo~04LxH55
     K09C00V  C2009 02 17.37201 10 43 20.16 +57 28 03.0          17.6 Vo~04LxH55
     K09C00V  C2009 02 17.37378 10 43 21.65 +57 28 25.3          17.6 Vo~04LxH55
     K09C00V  C2009 02 17.87655710 54 18.38 +59 23 54.7          16.8 Vo~04Lx198
     K09C00V  C2009 02 17.87767910 54 19.67 +59 24 12.5          16.8 Vo~04Lx198
     K09C00V  C2009 02 17.87992110 54 22.28 +59 24 48.0          17.1 Vo~04Lx198
     K09C00V  C2009 02 17.88313510 54 25.99 +59 25 38.8          17.0 Vo~04Lx198
     K09C00V  C2009 02 17.88321810 54 26.09 +59 25 40.0          17.1 Vo~04Lx198
     K09C00V  C2009 02 17.88683210 54 30.29 +59 26 36.9          16.9 Vo~04Lx198
     K09C00V  C2009 02 17.88897110 54 32.75 +59 27 10.6          17.0 Vo~04Lx198
     K09C00V  C2009 02 17.89000210 54 33.94 +59 27 26.8          16.9 Vo~04Lx198
     K09C00V  C2009 02 17.89310210 54 37.50 +59 28 15.6          17.0 Vo~04Lx198
     K09C00V  C2009 02 17.89421210 54 38.77 +59 28 33.0          17.1 Vo~04Lx198
     K09C00V  C2009 02 18.76984211 18 35.21 +63 05 52.3          17.2 Vo~04Lx198
     K09C00V  C2009 02 18.77127811 18 38.08 +63 06 17.7          17.2 Vo~04Lx198
     K09C00V  C2009 02 18.78092111 18 57.28 +63 09 07.8          17.1 Vo~04Lx198
     K09C00V  C2009 02 18.78379411 19 03.02 +63 09 58.3          17.3 Vo~04Lx198
     K09C00V  C2009 02 18.78666611 19 08.72 +63 10 49.3          17.2 Vo~04Lx198
     K09C00V  C2009 02 18.78953911 19 14.48 +63 11 40.0          17.5 Vo~04Lx198
     K09C00V  C2009 02 18.84867 11 21 10.44 +63 29 42.8          17.2 Vc~04be595
     K09C00V  C2009 02 18.85261 11 21 17.91 +63 30 52.5          17.0 Vc~04be595
     K09C00V  C2009 02 18.85400 11 21 20.56 +63 31 16.2          17.2 Vc~04be595
     K09C00V  C2009 02 19.75058312 00 09.91 +67 25 12.9          16.8 Vo~04Lx198
     K09C00V  C2009 02 19.75182412 00 14.13 +67 25 35.0          16.8 Vo~04Lx198
     K09C00V  C2009 02 19.75306412 00 18.37 +67 25 57.2          17.1 Vo~04Lx198
     K09C00V  C2009 02 19.75554712 00 26.84 +67 26 41.2          17.2 Vo~04Lx198
     K09C00V  C2009 02 19.75679212 00 31.04 +67 27 03.4          17.2 Vo~04Lx198
     K09C00V  C2009 02 19.75803712 00 35.26 +67 27 25.6          17.2 Vo~04Lx198
     K09C00V  C2009 02 19.76052712 00 43.74 +67 28 10.0          17.4 Vo~04Lx198
     K09C00V  C2009 02 19.76177212 00 47.93 +67 28 32.3          17.3 Vo~04Lx198
     K09C00V  C2009 02 19.76301712 00 52.14 +67 28 54.6          17.1 Vo~04Lx198
     K09C00V  C2009 02 20.43225 12 42 55.99 +70 24 06.9          18.4 Vo~04beH55
     K09C00V  C2009 02 20.43388 12 43 02.81 +70 24 27.1          18.2 Vo~04beH55
     K09C00V  C2009 02 20.43528 12 43 08.64 +70 24 44.4          18.4 Vo~04beH55
     K09C00V  C2009 02 20.43666 12 43 14.46 +70 25 01.6          18.4 Vo~04beH55
     K09C00V  C2009 02 20.43824 12 43 21.07 +70 25 21.2          18.4 Vo~04beH55
     K09C00V  C2009 02 20.44017 12 43 29.18 +70 25 45.0          18.5 Vo~04beH55
     K09C00V 2C2009 09 05.45710922 42 43.233-12 03 11.88         22.1 RL~08xn568
     K09C00V 2C2009 09 07.46342922 38 06.774-12 19 52.37         22.2 RL~08xn568
     K09C00V 2C2009 09 07.46613822 38 06.363-12 19 53.54         22.3 RL~08xn568
     K09C00V 2C2015 10 13.63041905 20 29.949+23 46 11.16         24.2 Rt~1acb568
     K09C00V 2C2015 10 13.63311805 20 30.117+23 46 11.68         24.1 Rt~1acb568
     K09C00V 2C2015 10 13.63581905 20 30.286+23 46 12.21         24.2 Rt~1acb568
     K09C00V 2C2015 10 15.60625705 22 44.645+23 52 48.96         23.9 Rt~1acb568
     K09C00V 2C2015 10 15.61847005 22 45.330+23 52 51.30         23.9 Rt~1acb568
     K09C00V 2C2015 11 03.52951205 33 01.692+24 56 22.92         23.2 Rt~1eNV568
     K09C00V 2C2015 11 03.53829605 33 01.534+24 56 24.78         23.5 Rt~1eNV568
