     K09L00S* C2009 06 12.39072 17 10 38.28 -04 23 36.6          18.4 Vr~07TD703
     K09L00S 9C2009 06 15.32685417 01 55.63 -02 05 24.1          18.4 Ro~07TEF65
     K09L00S  C2009 06 15.38729 17 01 44.09 -02 02 39.7          18.9 Vo~07TE291
     K09L00S  C2009 06 15.39165 17 01 43.30 -02 02 27.6          19.0 Vo~07TE291
     K09L00S  C2009 06 15.39638 17 01 42.47 -02 02 14.6          19.0 Vo~07TE291
     K09L00S  C2009 06 15.92807 17 00 10.07 -01 37 55.8          18.8 Cw~07TE160
     K09L00S  C2009 06 15.93076 17 00 09.59 -01 37 48.6          18.8 Cw~07TE160
     K09L00S  C2009 06 16.00824 16 59 55.95 -01 34 18.4                r~07TEJ95
     K09L00S  C2009 06 16.01249 16 59 55.18 -01 34 06.6                r~07TEJ95
     K09L00S  C2009 06 16.01678 16 59 54.44 -01 33 54.9                r~07TEJ95
     K09L00S  C2009 06 16.02015 16 59 53.83 -01 33 46.0          18.5 Rr~07TEJ95
     K09L00S  C2009 06 16.19432 16 59 24.10 -01 25 47.3          18.8 Vo~07TE291
     K09L00S  C2009 06 16.19822 16 59 23.41 -01 25 36.8          18.7 Vo~07TE291
     K09L00S  C2009 06 16.20191 16 59 22.75 -01 25 26.7          18.7 Vo~07TE291
     K09L00S  C2009 06 16.93528 16 57 15.83 -00 52 27.9                r~07TEJ95
     K09L00S  C2009 06 16.93943 16 57 15.11 -00 52 17.0                r~07TEJ95
     K09L00S  C2009 06 16.94358 16 57 14.36 -00 52 05.7          18.7 Rr~07TEJ95
     K09L00S tC2009 06 17.34743 16 56 04.70 -00 34 03.2          19.1 Vo~07TE291
     K09L00S tC2009 06 17.35108 16 56 04.06 -00 33 52.8          19.1 Vo~07TE291
     K09L00S  C2009 06 17.86986 16 54 36.46 -00 11 01.3          18.7 Vc~07TE560
     K09L00S  C2009 06 17.87062 16 54 36.33 -00 10 59.2          18.8 Vc~07TE560
     K09L00S  C2009 06 17.87112 16 54 36.23 -00 10 57.8          18.8 Vc~07TE560
     K09L00S  C2009 06 18.19915 16 53 40.58 +00 03 23.7          18.6 Vo~07TEH55
     K09L00S  C2009 06 18.20066 16 53 40.30 +00 03 27.7          18.9 Vo~07TEH55
     K09L00S  C2009 06 18.20220 16 53 40.04 +00 03 31.7          18.8 Vo~07TEH55
     K09L00S  C2009 06 18.20373 16 53 39.78 +00 03 35.8          18.8 Vo~07TEH55
     K09L00S  C2009 06 18.20527 16 53 39.51 +00 03 39.7          18.4 Vo~07TEH55
     K09L00S  C2009 06 18.86039 16 51 49.91 +00 31 59.9          18.9 Vc~07TEA48
     K09L00S  C2009 06 18.86467 16 51 49.19 +00 32 10.8          18.9 Vc~07TEA48
     K09L00S  C2009 06 18.86895 16 51 48.46 +00 32 22.5          18.9 Vc~07TEA48
     K09L00S  C2009 06 18.87322 16 51 47.75 +00 32 34.0          18.8 Vc~07TEA48
     K09L00S  C2009 06 19.12386 16 51 06.22 +00 43 18.0          19.3 Vo~07YLH55
     K09L00S  C2009 06 19.12535 16 51 05.97 +00 43 22.0          19.4 Vo~07YLH55
     K09L00S  C2009 06 19.12665 16 51 05.75 +00 43 25.4          19.3 Vo~07YLH55
     K09L00S  C2009 06 19.12796 16 51 05.53 +00 43 28.8          19.3 Vo~07YLH55
     K09L00S  C2009 06 19.37188 16 50 24.35 +00 53 54.1          19.4 Vo~07TE291
     K09L00S  C2009 06 19.37718 16 50 23.43 +00 54 07.0          19.7 Vo~07TE291
     K09L00S  C2009 06 19.38241 16 50 22.52 +00 54 19.2          18.5 Vo~07TE291
     K09L00S  C2009 06 21.93281 16 43 32.26 +02 39 13.8          19.3 Vc~07YL560
     K09L00S  C2009 06 21.93428 16 43 32.01 +02 39 16.7          19.3 Vc~07YL560
     K09L00S  C2009 06 21.93525 16 43 31.90 +02 39 19.1          19.4 Vc~07YL560
     K09L00S  C2009 06 22.13952 16 43 00.03 +02 47 26.0          19.0 Vo~07YLH83
     K09L00S  C2009 06 22.17447 16 42 54.43 +02 48 49.1          19.0 Vo~07YLH83
     K09L00S  C2009 06 22.28566 16 42 36.99 +02 53 13.7          19.1 Vo~07YL291
     K09L00S  C2009 06 22.29020 16 42 36.26 +02 53 24.3          19.0 Vo~07YL291
     K09L00S  C2009 06 22.29393 16 42 35.73 +02 53 32.9          18.8 Vo~07YL291
     K09L00S  C2009 06 23.19661 16 40 16.86 +03 28 37.8          19.4 Vo~07YLH55
     K09L00S  C2009 06 23.20144 16 40 16.10 +03 28 49.0          19.2 Vo~07YLH55
     K09L00S  C2009 06 23.20386 16 40 15.73 +03 28 54.4          19.2 Vo~07YLH55
     K09L00S  C2009 06 23.20628 16 40 15.35 +03 29 00.1          19.3 Vo~07YLH55
     K09L00S  C2009 06 26.92374 16 31 15.99 +05 43 47.0          18.8 Vr~07coJ75
     K09L00S  C2009 06 26.93601 16 31 14.19 +05 44 12.3          18.8 Vr~07coJ75
     K09L00S  C2009 06 26.94828 16 31 12.54 +05 44 36.2          18.5 Vr~07coJ75
     K09L00S  C2009 06 28.87956 16 26 54.45 +06 48 16.4                c~07co587
     K09L00S  C2009 06 28.88176 16 26 54.16 +06 48 21.2                c~07co587
     K09L00S  C2009 06 28.88319 16 26 53.94 +06 48 22.7          19.4 Rc~07co587
     K09L00S  C2009 06 28.88484 16 26 53.76 +06 48 26.7                c~07co587
     K09L00S  C2009 07 06.15692 16 13 04.38 +10 10 30.4          19.7 Vo~07fNH55
     K09L00S  C2009 07 06.16335 16 13 03.72 +10 10 39.7          19.7 Vo~07fNH55
     K09L00S  C2009 07 06.16953 16 13 03.08 +10 10 48.5          19.7 Vo~07fNH55
     K09L00S  C2009 07 07.16409 16 11 27.40 +10 34 02.8          19.8 Vo~07fNH55
     K09L00S  C2009 07 07.16714 16 11 27.07 +10 34 06.9          19.7 Vo~07fNH55
     K09L00S  C2009 07 07.17262 16 11 26.51 +10 34 14.4                o~07fNH55
     K09L00S  C2009 07 10.15500 16 07 04.72 +11 38 06.3          19.9 Vo~07fNH55
     K09L00S  C2009 07 10.15957 16 07 04.36 +11 38 12.1          19.7 Vo~07fNH55
