     K07D00J* C2007 02 17.25999 08 30 22.03 +00 03 58.3          19.8 Vru0487703
     K07D00J HC2007 02 27.15812 09 49 47.70 +13 32 14.7                ou1602691
     K07D00J  C2007 02 27.89647 10 06 55.18 +16 06 40.7          16.9 Vru1602A81
     K07D00J  C2007 02 27.90471 10 07 07.23 +16 08 33.5          17.1 Vru1602A81
     K07D00J  C2007 02 27.90885 10 07 13.35 +16 09 30.9          16.9 Vru1602A81
     K07D00J  C2007 02 27.91405 10 07 21.19 +16 10 24.7          17.2 Rcu1602A53
     K07D00J  C2007 02 27.91703 10 07 25.63 +16 11 05.9          17.3 Rcu1602A53
     K07D00J  C2007 02 27.92008 10 07 30.12 +16 11 46.8          17.2 Rcu1602A53
     K07D00J  C2007 02 27.92276 10 07 34.04 +16 12 24.5          16.9 Rcu1602A53
     K07D00J  C2007 03 01.04524 10 42 39.90 +20 58 55.4                ov2438204
     K07D00J  C2007 03 01.04712 10 42 43.92 +20 59 26.8                ov2438204
     K07D00J  C2007 03 01.04900 10 42 47.95 +20 59 58.2                ov2438204
     K07D00J  C2007 03 01.05089 10 42 51.97 +21 00 29.4                ov2438204
     K07D00J  C2007 03 01.05277 10 42 56.00 +21 01 00.8          16.6 Rov2438204
     K07D00J  C2007 03 01.94423511 21 40.59 +25 22 53.4                ru1602J95
     K07D00J  C2007 03 01.94555511 21 44.37 +25 23 17.8                ru1602J95
     K07D00J  C2007 03 01.94688311 21 48.16 +25 23 42.3          16.6 Rru1602J95
     K07D00J  C2007 03 02.34903 11 42 30.27 +27 26 45.3          17.1 Rru1602H45
     K07D00J  C2007 03 02.35024 11 42 34.16 +27 27 06.8          16.5 Rru1602H45
     K07D00J  C2007 03 02.35075 11 42 35.78 +27 27 16.1          16.8 Rru1602H45
     K07D00J  C2007 03 02.35145 11 42 37.93 +27 27 28.4          16.5 Rru1602H45
     K07D00J  C2007 03 02.35176 11 42 38.95 +27 27 34.0          16.4 Rru1602H45
     K07D00J  C2007 03 02.35264 11 42 41.68 +27 27 49.3          17.2 Rru1602H45
     K07D00J  C2007 03 02.35313 11 42 43.18 +27 27 57.5          16.9 Rru1602H45
     K07D00J  C2007 03 02.35394 11 42 45.77 +27 28 11.6          16.7 Rru1602H45
     K07D00J  C2007 03 02.35424 11 42 46.77 +27 28 16.5          16.7 Rru1602H45
     K07D00J  C2007 03 02.35501 11 42 49.17 +27 28 30.7          16.7 Rru1602H45
     K07D00J  C2007 03 02.35543 11 42 50.56 +27 28 37.9          16.5 Rru1602H45
     K07D00J  C2007 03 02.35675 11 42 54.66 +27 29 01.1          16.8 Rru1602H45
     K07D00J  C2007 03 03.99486 13 30 30.68 +33 45 24.8          17.2 Vcu2382A48
     K07D00J  C2007 03 03.99569 13 30 34.18 +33 45 31.9          17.1 Vcu2382A48
     K07D00J  C2007 03 03.99652 13 30 37.66 +33 45 38.5          17.3 Vcu2382A48
     K07D00J  C2007 03 03.99736 13 30 41.12 +33 45 45.1          17.2 Vcu2382A48
     K07D00J  C2007 03 03.99819 13 30 44.63 +33 45 52.2          16.9 Vcu2382A48
     K07D00J  C2007 03 04.02414 13 32 37.66 +33 49 34.6          17.1 Rru2382170
     K07D00J  C2007 03 04.02465 13 32 39.76 +33 49 38.7          17.2 Rru2382170
     K07D00J  C2007 03 04.02876 13 32 56.96 +33 50 10.9          16.8 Rru2382170
     K07D00J  C2007 03 04.02927 13 32 59.07 +33 50 15.1          16.8 Rru2382170
     K07D00J  C2007 03 04.03040 13 33 03.78 +33 50 24.1          16.8 Rru2382170
     K07D00J  C2007 03 04.03128 13 33 07.45 +33 50 30.9          16.8 Rru2382170
     K07D00J  C2007 03 05.06573 14 45 34.07 +34 29 49.3                ru2383118
     K07D00J  C2007 03 05.06757 14 45 41.08 +34 29 46.3                ru2383118
     K07D00J  C2007 03 05.06940 14 45 48.13 +34 29 42.3                ru2383118
     K07D00J  C2007 03 05.07124 14 45 55.15 +34 29 38.8                ru2383118
     K07D00J  C2007 03 05.07492 14 46 09.20 +34 29 31.3                ru2383118
     K07D00J  C2007 03 05.07676 14 46 16.21 +34 29 27.8                ru2383118
     K07D00J  C2007 03 05.07860 14 46 23.24 +34 29 23.4                ru2383118
     K07D00J  C2007 03 05.08043 14 46 30.25 +34 29 19.7                ru2383118
     K07D00J  C2007 03 06.01090 15 42 14.96 +33 07 05.6          18.5 Vou2383198
     K07D00J  C2007 03 06.01187 15 42 17.97 +33 06 59.1          18.4 Vou2383198
     K07D00J  C2007 03 06.01535 15 42 28.79 +33 06 35.7          18.4 Vou2383198
     K07D00J  C2007 03 06.01599 15 42 30.79 +33 06 31.4          18.4 Vou2383198
     K07D00J  C2007 03 06.01664 15 42 32.80 +33 06 27.0          18.4 Vou2383198
