     K06K00A  C2006 05 25.51382 12 48 49.96 -16 42 07.2          20.0 Vrr2146E12
     K06K00A  C2006 05 26.46544 12 51 43.17 -15 53 34.8          19.6 Rrr3615E12
     K06K00A  C2006 05 26.46935 12 51 43.84 -15 53 23.0          19.6 Rrr3615E12
     K06K00A  C2006 05 31.23956 13 04 41.88 -12 25 23.6          20.3 Rrr2918448
     K06K00A  C2006 05 31.25824 13 04 44.63 -12 24 40.7          21.0 Rrr2918448
     K06K00A  C2006 05 31.27707 13 04 47.32 -12 23 57.7          19.8 Rrr2918448
     K06K00A  C2006 06 26.98285 13 55 22.23 -03 48 05.3          21.2 Rcr4497J50
     K06K00A  C2006 06 27.00517 13 55 24.26 -03 47 55.3          20.9 Rcr4497J50
     K06K00A  C2006 06 27.03307 13 55 26.86 -03 47 42.9          21.4 Rcr4497J50
     K06K00A  C2008 05 30.30024 09 36 38.55 -08 01 27.7          20.2 Roz0969474
     K06K00A  C2008 05 30.30449 09 36 40.25 -08 01 25.8          20.4 Roz0969474
     K06K00A  C2008 05 30.30850 09 36 41.90 -08 01 24.4          20.2 Roz0969474
     K06K00A  C2008 05 30.31265 09 36 43.55 -08 01 22.7          20.2 Roz0969474
     K06K00A  C2008 05 30.32183 09 36 47.29 -08 01 18.8          20.2 Roz0969474
     K06K00A  C2008 05 30.32593 09 36 48.93 -08 01 16.6          20.5 Roz0969474
