     K07D84S* C2007 02 27.34015 11 33 13.39 +52 16 25.0          18.9 Vru1659703
     K07D84S  C2007 03 10.80197 11 59 08.64 +54 35 56.1          18.5 Vou3206151
     K07D84S  C2007 03 10.80505 11 59 09.17 +54 35 58.1          18.8 Vou3206151
     K07D84S  C2007 03 10.80813 11 59 09.68 +54 36 00.4          18.6 Vou3206151
     K07D84S  C2007 03 11.88748 12 02 19.99 +54 43 07.8          18.1 Vcu3206A48
     K07D84S  C2007 03 11.89313 12 02 20.90 +54 43 10.5          18.2 Vcu3206A48
     K07D84S  C2007 03 11.89879 12 02 21.77 +54 43 13.1          18.2 Vcu3206A48
     K07D84S  C2007 03 11.90445 12 02 22.66 +54 43 15.6          18.1 Vcu3206A48
     K07D84S  C2007 03 11.93515 12 02 27.48 +54 43 28.7          18.9  ou3206130
     K07D84S  C2007 03 11.93716 12 02 27.79 +54 43 29.9          18.9  ou3206130
     K07D84S  C2007 03 11.93967 12 02 28.17 +54 43 31.0          18.8  ou3206130
     K07D84S  C2007 03 11.94118 12 02 28.41 +54 43 31.4          18.9  ou3206130
     K07D84S  C2007 03 12.97236 12 05 40.71 +54 48 41.9          18.3 Rcv1388A24
     K07D84S  C2007 03 12.98337 12 05 42.52 +54 48 44.6          18.2 Rcv1388A24
     K07D84S  C2007 03 12.99431 12 05 44.25 +54 48 46.7          18.1 Rcv1388A24
     K07D84S  C2007 03 13.00652 12 05 46.26 +54 48 50.3          18.0 Rcv1388A24
     K07D84S  C2007 03 13.01677 12 05 47.92 +54 48 52.2          18.3 Rcv1388A24
     K07D84S  C2007 03 13.03076 12 05 50.17 +54 48 55.9          18.3 Rcv1388A24
     K07D84S  C2007 03 13.04405 12 05 52.35 +54 48 59.4          17.6 Rcu3206A24
     K07D84S  C2007 03 13.04505 12 05 52.51 +54 48 59.3          17.8 Rcu3206A24
     K07D84S  C2007 03 13.05350 12 05 53.93 +54 49 00.9          17.9 Rcv1388A24
     K07D84S  C2007 03 13.06294 12 05 55.48 +54 49 02.3          18.0 Rcv1388A24
     K07D84S  C2007 03 13.07140 12 05 56.96 +54 49 03.6          17.6 Rcu3206A24
     K07D84S  C2007 03 13.07239 12 05 56.97 +54 49 03.7          17.8 Rcu3206A24
     K07D84S  C2007 03 13.08951 12 05 59.83 +54 49 06.5          17.9 Rcv1388A24
     K07D84S  C2007 03 13.09757 12 06 01.16 +54 49 08.3          17.9 Rcu3206A24
     K07D84S  C2007 03 13.09856 12 06 01.41 +54 49 07.9          17.9 Rcu3206A24
