g3709K06B06Q* C2006 01 22.43948 09 13 10.34 +16 16 28.9          20.1 Vrq0604G96
g3709K06B06Q  C2006 01 29.99226 08 56 10.77 +15 25 35.6                cq1925246
g3709K06B06Q  C2006 01 29.99304 08 56 10.68 +15 25 35.8                cq1925246
g3709K06B06Q  C2006 01 29.99440 08 56 10.39 +15 25 36.0                cq1925246
g3709K06B06Q  C2006 01 29.99544 08 56 10.31 +15 25 35.6                cq1925246
g3709K06B06Q  C2006 01 30.96090 08 53 46.38 +15 18 21.5                cq1925246
g3709K06B06Q  C2006 01 30.96296 08 53 46.04 +15 18 20.2                cq1925246
g3709K06B06Q  C2006 01 30.96468 08 53 45.78 +15 18 19.6                cq1925246
g3709K06B06Q  C2006 01 30.96572 08 53 45.61 +15 18 19.1                cq1925246
g3709K06B06Q  C2006 01 30.96679 08 53 45.45 +15 18 18.4                cq1925246
g3709K06B06Q  C2006 01 30.96785 08 53 45.29 +15 18 17.7                cq1925246
g3709K06B06Q  C2006 01 30.96873 08 53 45.13 +15 18 17.6                cq1925246
g3709K06B06Q  C2006 01 31.33748 08 52 49.22 +15 15 33.0          19.3 Vrq1925G96
g3709K06B06Q  C2006 01 31.34404 08 52 48.18 +15 15 29.9          19.3 Vrq1925G96
g3709K06B06Q  C2006 01 31.35062 08 52 47.13 +15 15 26.8          19.2 Vrq1925G96
g3709K06B06Q  C2006 01 31.35720 08 52 46.12 +15 15 23.9          19.4 Vrq1925G96
g3709K06B06Q  C2006 02 01.16170 08 50 44.22 +15 09 09.3          19.5 Vcq1925691
g3709K06B06Q  C2006 02 01.17906 08 50 41.52 +15 09 01.0          19.6 Vcq1925691
g3709K06B06Q  C2006 02 01.19637 08 50 38.81 +15 08 53.1          19.9 Vcq1925691
g3709K06B06Q  C2006 02 01.86923 08 48 54.57 +15 03 30.8          19.6 Voq1925198
g3709K06B06Q  C2006 02 01.87044 08 48 54.38 +15 03 30.2          19.6 Voq1925198
g3709K06B06Q  C2006 02 01.87105 08 48 54.28 +15 03 29.9          19.6 Voq1925198
g3709K06B06Q  C2006 02 01.87713 08 48 53.32 +15 03 27.0          19.6 Voq1925198
g3709K06B06Q  C2006 02 01.88137 08 48 52.66 +15 03 24.9          19.6 Voq1925198
g3709K06B06Q  C2006 02 03.27028 08 45 14.50 +14 52 12.5          19.4 Vrq1925G96
g3709K06B06Q  C2006 02 03.27657 08 45 13.46 +14 52 09.7          19.4 Vrq1925G96
g3709K06B06Q  C2006 02 03.28280 08 45 12.42 +14 52 06.4          19.3 Vrq1925G96
g3709K06B06Q  C2006 02 03.28894 08 45 11.41 +14 52 03.4          19.4 Vrq1925G96
g3709K06B06Q  C2006 02 05.91962 08 38 09.12 +14 29 31.9          19.6 Vrq2896941
g3709K06B06Q  C2006 02 05.92037 08 38 09.00 +14 29 31.7          19.6 Vrq2896941
g3709K06B06Q  C2006 02 05.92113 08 38 08.88 +14 29 31.2          19.7 Vrq2896941
g3709K06B06Q  C2006 02 05.92490 08 38 08.32 +14 29 29.0          19.8 Vrq2896941
g3709K06B06Q  C2006 02 16.85505 08 08 21.20 +12 40 57.0                rq3273J95
g3709K06B06Q  C2006 02 16.85845 08 08 20.64 +12 40 56.0                rq3273J95
g3709K06B06Q  C2006 02 16.86211 08 08 20.10 +12 40 54.0          20.2 Rrq3273J95
g3709K06B06Q  C2006 02 18.90787 08 02 59.28 +12 18 23.6          19.5 Rrq3916185
g3709K06B06Q  C2006 02 18.91544 08 02 58.10 +12 18 18.4          19.3 Rrq3916185
g3709K06B06Q  C2006 02 18.92328 08 02 56.85 +12 18 13.2          19.3 Rrq3916185
g3709K06B06Q  C2006 02 24.13527 07 50 11.37 +11 19 00.7          20.5 Vdq3916291
g3709K06B06Q  C2006 02 24.13971 07 50 10.73 +11 18 57.6          20.4 Vdq3916291
g3709K06B06Q  C2006 02 24.14349 07 50 10.19 +11 18 55.1          20.3 Vdq3916291
g3709K06B06Q  C2006 02 28.16297 07 41 23.23 +10 32 07.4                dq5151291
g3709K06B06Q  C2006 02 28.16713 07 41 22.68 +10 32 04.6                dq5151291
g3709K06B06Q  C2006 03 23.11843 07 13 40.36 +06 08 29.4          20.1 Vrq7133G96
g3709K06B06Q  C2006 03 23.12428 07 13 40.18 +06 08 25.7          20.1 Vrq7133G96
g3709K06B06Q  C2006 03 23.13010 07 13 40.00 +06 08 21.9          20.3 Vrq7133G96
g3709K06B06Q  C2006 03 23.13598 07 13 39.86 +06 08 17.7          20.5 Vrq7133G96
g3709K06B06Q 1C2006 04 24.13701 07 26 23.39 -00 09 19.1                oq9925696
g3709K06B06Q 1C2006 04 24.13891 07 26 23.53 -00 09 19.8                oq9925696
g3709K06B06Q 1C2006 04 24.14082 07 26 23.65 -00 09 20.9                oq9925696
g3709K06B06Q  C2006 07 27.34564 04 56 40.64 +11 04 17.8          16.6 Rrr5153I77
g3709K06B06Q  C2006 07 27.34687 04 56 38.34 +11 04 37.8          16.3 Rrr5153I77
g3709K06B06Q  C2006 07 27.34897 04 56 34.42 +11 05 14.3          17.4 Rrr5153I77
g3709K06B06Q  C2006 07 29.35831 03 46 10.49 +21 06 38.2          16.3 Rrr5448I77
g3709K06B06Q  C2006 07 29.35955 03 46 07.54 +21 06 59.6          16.6 Rrr5448I77
g3709K06B06Q  C2006 07 29.36016 03 46 06.01 +21 07 11.1          16.4 Rrr5448I77
g3709K06B06Q  C2006 07 30.11142 03 16 35.561+24 27 54.20               rr5448204
g3709K06B06Q  C2006 07 30.11273 03 16 32.339+24 28 15.01               rr5448204
g3709K06B06Q  C2006 07 30.11367 03 16 30.027+24 28 29.78               rr5448204
g3709K06B06Q  C2006 07 30.11461 03 16 27.732+24 28 44.66               rr5448204
g3709K06B06Q  C2006 07 30.11551 03 16 25.537+24 28 58.73         15.8 Rrr5448204
g3709K06B06Q  C2006 08 01.28703 01 51 25.73 +31 27 34.8          22.5 Rrr5448H51
g3709K06B06Q  C2006 08 01.29299 01 51 12.17 +31 28 24.5          22.5 Rrr5448H51
g3709K06B06Q  C2006 08 01.29597 01 51 05.45 +31 28 48.4          22.1 Rrr5448H51
