g3709K06B06Q* C2006 01 22.43948 09 13 10.34 +16 16 28.9          20.1 Vrq0604G96
g3709K06B06Q  C2006 08 19.19745 22 00 39.95 +29 35 39.7                or6072J86
g3709K06B06Q  C2006 08 19.27694 22 00 27.67 +29 34 15.9          16.9 Rrr6072H45
g3709K06B06Q  C2006 08 19.27818 22 00 27.40 +29 34 14.3          16.8 Rrr6072H45
g3709K06B06Q  C2006 08 19.27879 22 00 27.27 +29 34 13.5          17.1 Rrr6072H45
g3709K06B06Q  C2006 08 19.28004 22 00 26.98 +29 34 11.9          17.2 Rrr6072H45
g3709K06B06Q  C2006 08 19.28160 22 00 26.66 +29 34 09.9          17.1 Rrr6072H45
g3709K06B06Q  C2006 08 19.86350 21 58 40.51 +29 21 51.8                or6072J86
g3709K06B06Q  C2006 08 19.86622 21 58 40.00 +29 21 48.7                or6072J86
g3709K06B06Q  C2006 08 19.86902 21 58 39.44 +29 21 45.6                or6072J86
g3709K06B06Q  C2006 08 19.91369 21 58 29.60 +29 20 46.0          16.8 Vor6072198
g3709K06B06Q  C2006 08 19.91649 21 58 29.03 +29 20 42.6          16.9 Vor6072198
g3709K06B06Q  C2006 08 19.92100 21 58 28.13 +29 20 37.2          16.8 Vor6072198
g3709K06B06Q  C2006 08 19.92343 21 58 28.57 +29 20 43.4                or6072J86
g3709K06B06Q  C2006 08 19.92515 21 58 27.31 +29 20 32.2          16.8 Vor6072198
g3709K06B06Q  C2006 08 19.92556 21 58 28.14 +29 20 40.9                or6072J86
g3709K06B06Q  C2006 08 19.92770 21 58 27.71 +29 20 38.3                or6072J86
g3709K06B06Q  C2006 08 19.94691 21 58 22.88 +29 20 09.2          17.2 Rcr6072A53
g3709K06B06Q  C2006 08 19.95279 21 58 21.70 +29 20 02.3          17.0 Rcr6072A53
g3709K06B06Q  C2006 08 19.96051 21 58 20.14 +29 19 52.6          16.8 Rcr6072A53
g3709K06B06Q  C2006 08 19.96675 21 58 18.91 +29 19 45.2          16.6 Rcr6072A53
g3709K06B06Q  C2006 08 20.06829 21 57 57.87 +29 17 35.7          15.9 Rit2267071
g3709K06B06Q  C2006 08 20.07194 21 57 57.13 +29 17 30.4          17.4 Rit2267071
g3709K06B06Q  C2006 08 20.07531 21 57 56.60 +29 17 26.5          17.4 Rit2267071
g3709K06B06Q  C2006 08 20.17752 21 57 37.78 +29 15 21.0                or6072J86
g3709K06B06Q  C2006 08 20.18953 21 57 35.53 +29 15 04.6                or6072J86
g3709K06B06Q  C2006 08 20.19167 21 57 35.12 +29 15 01.7                or6072J86
g3709K06B06Q  C2006 08 20.81534 21 55 53.44 +29 02 07.8          16.7 Vor6072198
g3709K06B06Q  C2006 08 20.81735 21 55 53.07 +29 02 05.5          16.7 Vor6072198
g3709K06B06Q  C2006 08 20.81859 21 55 52.85 +29 02 04.1          16.6 Vor6072198
g3709K06B06Q  C2006 08 20.81921 21 55 52.74 +29 02 03.3          16.7 Vor6072198
g3709K06B06Q  C2006 08 20.90199 21 55 37.80 +29 00 31.9          16.4 Rcr6072A53
g3709K06B06Q  C2006 08 20.90824 21 55 36.64 +29 00 24.0          16.8 Rcr6072A53
g3709K06B06Q  C2006 08 20.91485 21 55 35.44 +29 00 16.2          16.6 Rcr6072A53
g3709K06B06Q  C2006 08 20.92109 21 55 34.26 +29 00 09.1          15.2 Rcr6072A53
g3709K06B06Q  C2006 08 20.92657 21 55 34.16 +29 00 08.7                or6072J86
g3709K06B06Q  C2006 08 20.92892 21 55 33.73 +29 00 06.0                or6072J86
g3709K06B06Q  C2006 08 20.93105 21 55 33.34 +29 00 03.6                or6072J86
g3709K06B06Q  C2006 08 20.94076 21 55 30.48 +28 59 40.9          17.4 Rrr8570113
g3709K06B06Q  C2006 08 20.94193 21 55 30.27 +28 59 39.2          17.5 Rrr8570113
g3709K06B06Q  C2006 08 20.94310 21 55 30.05 +28 59 38.0          17.5 Rrr8570113
g3709K06B06Q  C2006 08 20.94427 21 55 29.84 +28 59 36.4          17.3 Rrr8570113
g3709K06B06Q  C2006 08 21.04309 21 55 12.48 +28 57 49.0                or6072J86
g3709K06B06Q  C2006 08 21.05563 21 55 10.16 +28 57 32.9                or6072J86
g3709K06B06Q  C2006 08 21.05777 21 55 09.79 +28 57 30.4                or6072J86
g3709K06B06Q  C2006 08 21.16764 21 54 50.04 +28 55 07.2                or6072J86
g3709K06B06Q  C2006 08 21.18162 21 54 47.61 +28 54 48.4                or6072J86
g3709K06B06Q  C2006 08 21.18376 21 54 47.26 +28 54 45.6                or6072J86
g3709K06B06Q  C2006 08 21.83509 21 53 11.12 +28 41 37.4                or6072J86
g3709K06B06Q  C2006 08 21.83833 21 53 10.59 +28 41 33.9                or6072J86
g3709K06B06Q  C2006 08 21.84127 21 53 10.11 +28 41 30.7                or6072J86
g3709K06B06Q  C2006 08 21.89225 21 53 01.68 +28 40 34.4                or6072J86
g3709K06B06Q  C2006 08 21.89441 21 53 01.31 +28 40 31.9                or6072J86
g3709K06B06Q  C2006 08 21.89642 21 53 00.97 +28 40 29.7                or6072J86
g3709K06B06Q  C2006 08 22.03148 21 52 37.97 +28 37 51.6                or6072J86
g3709K06B06Q  C2006 08 22.04286 21 52 36.02 +28 37 37.4                or6072J86
g3709K06B06Q  C2006 08 22.04501 21 52 35.67 +28 37 34.9                or6072J86
g3709K06B06Q  C2006 08 22.82280621 50 46.82 +28 21 50.2          17.0 Rrr6072A14
g3709K06B06Q  C2006 08 22.82923921 50 45.87 +28 21 43.2          16.9 Rrr6072A14
g3709K06B06Q  C2006 08 22.83572621 50 44.90 +28 21 36.0          16.9 Rrr6072A14
g3709K06B06Q  C2006 08 22.98683 21 50 21.78 +28 18 45.5          17.7 Rrr6072170
g3709K06B06Q  C2006 08 22.98994 21 50 21.32 +28 18 42.0          17.7 Rrr6072170
g3709K06B06Q  C2006 08 23.24537 21 49 47.72 +28 13 45.5          18.0  cr6072704
g3709K06B06Q  C2006 08 23.25486 21 49 46.21 +28 13 33.8          18.3  cr6072704
g3709K06B06Q  C2006 08 23.26440 21 49 44.77 +28 13 23.2          17.9  cr6072704
g3709K06B06Q  C2006 08 24.83053 21 46 31.78 +27 42 34.1          17.4 Ror7077J86
g3709K06B06Q  C2006 08 24.83722 21 46 30.94 +27 42 27.0          17.2 Ror7077J86
g3709K06B06Q  C2006 08 24.84295 21 46 30.21 +27 42 20.9          17.0 Ror7077J86
g3709K06B06Q  C2006 08 25.15123 21 45 50.17 +27 36 22.4          16.9 Ror7077J86
g3709K06B06Q  C2006 08 25.16666 21 45 48.30 +27 36 02.9          17.2 Ror7077J86
g3709K06B06Q  C2006 08 25.17204 21 45 47.66 +27 35 56.1          17.4 Ror7077J86
g3709K06B06Q  C2006 08 25.33753 21 45 30.12 +27 32 53.3          17.1 Rrr6072H45
g3709K06B06Q  C2006 08 25.33845 21 45 30.00 +27 32 52.1          17.2 Rrr6072H45
g3709K06B06Q  C2006 08 25.33973 21 45 29.83 +27 32 50.5          17.3 Rrr6072H45
g3709K06B06Q  C2006 08 25.34050 21 45 29.73 +27 32 49.6          17.1 Rrr6072H45
g3709K06B06Q  C2006 08 25.34126 21 45 29.65 +27 32 48.7          17.3 Rrr6072H45
g3709K06B06Q  C2006 08 25.34205 21 45 29.54 +27 32 47.7          17.3 Rrr6072H45
g3709K06B06Q  C2006 08 25.82303 21 44 41.05 +27 23 22.1          18.2 Vor6072151
g3709K06B06Q  C2006 08 25.82394 21 44 40.95 +27 23 21.5          18.3 Vor6072151
g3709K06B06Q  C2006 08 25.82484 21 44 40.85 +27 23 20.9          18.5 Vor6072151
g3709K06B06Q  C2006 08 25.82660 21 44 40.64 +27 23 18.8          18.4 Vor6072151
g3709K06B06Q  C2006 08 25.82765 21 44 40.52 +27 23 17.6          18.6 Vor6072151
g3709K06B06Q  C2006 08 25.82870 21 44 40.39 +27 23 16.3          18.6 Vor6072151
g3709K06B06Q 1C2006 08 29.85265 21 38 43.47 +26 07 40.1          17.6  rt5542084
g3709K06B06Q 1C2006 08 29.85554 21 38 43.24 +26 07 36.7          17.2  rt5542084
g3709K06B06Q  C2006 08 30.84728 21 37 35.51 +25 49 36.9          17.6 Rrr7077157
g3709K06B06Q  C2006 08 30.85006 21 37 35.32 +25 49 33.7          17.9 Rrr7077157
g3709K06B06Q  C2006 08 30.85285 21 37 35.13 +25 49 30.6          17.7 Rrr7077157
g3709K06B06Q  C2006 08 30.90123 21 37 31.33 +25 48 36.5          18.3  rr7077130
g3709K06B06Q  C2006 08 30.90990 21 37 30.66 +25 48 27.8          17.6 Rcr7077560
g3709K06B06Q  C2006 08 30.91302 21 37 30.45 +25 48 24.7          17.6 Rcr7078560
g3709K06B06Q  C2006 08 30.91314 21 37 30.43 +25 48 24.0          18.2  rr7078130
g3709K06B06Q  C2006 08 30.91459 21 37 30.31 +25 48 22.7          17.7 Rcr7078560
g3709K06B06Q  C2006 08 30.91662 21 37 30.15 +25 48 20.1          18.0  rr7078130
g3709K06B06Q  C2006 08 30.91985 21 37 29.91 +25 48 16.5          17.9  rr7078130
g3709K06B06Q  C2006 08 31.35939 21 36 59.87 +25 40 19.0          18.2 Rrr7078H45
g3709K06B06Q  C2006 08 31.36264 21 36 59.64 +25 40 15.1          18.0 Rrr7078H45
g3709K06B06Q  C2006 08 31.36359 21 36 59.57 +25 40 14.1          18.0 Rrr7078H45
g3709K06B06Q  C2006 08 31.36464 21 36 59.50 +25 40 12.9          18.1 Rrr7078H45
g3709K06B06Q  C2006 08 31.36559 21 36 59.42 +25 40 11.8          17.9 Rrr7078H45
g3709K06B06Q  C2006 08 31.81399 21 36 35.39 +25 31 59.9          18.6 Vor7078151
g3709K06B06Q  C2006 08 31.81518 21 36 35.29 +25 31 58.4          18.8 Vor7078151
g3709K06B06Q  C2006 08 31.81638 21 36 35.21 +25 31 57.0          18.9 Vor7078151
g3709K06B06Q  C2006 08 31.81869 21 36 35.00 +25 31 54.8          18.6 Vor7078151
g3709K06B06Q  C2006 08 31.81988 21 36 34.95 +25 31 53.3          18.7 Vor7078151
g3709K06B06Q  C2006 08 31.82108 21 36 34.90 +25 31 51.9          18.7 Vor7078151
g3709K06B06Q  C2006 09 01.30582 21 36 04.29 +25 23 16.2          18.0 Rrr7078H45
g3709K06B06Q  C2006 09 01.30685 21 36 04.22 +25 23 15.0          18.0 Rrr7078H45
g3709K06B06Q  C2006 09 01.30866 21 36 04.10 +25 23 12.9          18.0 Rrr7078H45
g3709K06B06Q  C2006 09 01.30958 21 36 04.04 +25 23 11.9          18.0 Rrr7078H45
g3709K06B06Q  C2006 09 01.31049 21 36 03.98 +25 23 10.9          18.1 Rrr7078H45
g3709K06B06Q  C2006 09 01.86356 21 35 35.76 +25 13 12.0          17.4  or7078160
g3709K06B06Q  C2006 09 01.86504 21 35 35.66 +25 13 10.4          17.2  or7078160
g3709K06B06Q  C2006 09 01.86665 21 35 35.56 +25 13 08.8          17.3  or7078160
g3709K06B06Q  C2006 09 01.86820 21 35 35.45 +25 13 07.2          17.3  or7078160
g3709K06B06Q  C2006 09 01.86979 21 35 35.34 +25 13 05.4          17.0  or7078160
g3709K06B06Q  C2006 09 01.89264 21 35 33.74 +25 12 39.8          17.6 Rrr7078106
g3709K06B06Q  C2006 09 01.89754 21 35 33.43 +25 12 34.5          17.8 Rrr7078106
g3709K06B06Q  C2006 09 01.90244 21 35 33.12 +25 12 29.5          17.9 Rrr7078106
g3709K06B06Q  C2006 09 01.90735 21 35 32.79 +25 12 24.1          18.2 Rrr7078106
g3709K06B06Q 1C2006 09 02.87143 21 34 44.35 +24 55 06.9          17.7  rt5542084
g3709K06B06Q 1C2006 09 02.87432 21 34 44.21 +24 55 04.0          17.8  rt5542084
g3709K06B06Q 1C2006 09 03.85764 21 34 00.37 +24 37 44.1          18.0  rt5542084
g3709K06B06Q  C2006 09 03.88283 21 33 59.67 +24 37 25.5          18.0 Rcr8570560
g3709K06B06Q  C2006 09 03.88656 21 33 59.48 +24 37 21.8          17.9 Rcr8570560
g3709K06B06Q  C2006 09 03.88968 21 33 59.31 +24 37 18.5          17.9 Rcr8570560
g3709K06B06Q  C2006 09 04.06958 21 33 52.86 +24 34 08.9          18.4  cr8570H55
g3709K06B06Q  C2006 09 04.07225 21 33 52.73 +24 34 05.8          18.5  cr8570H55
g3709K06B06Q  C2006 09 04.07473 21 33 52.60 +24 34 03.6          18.4  cr8570H55
g3709K06B06Q  C2006 09 04.08037 21 33 52.33 +24 33 57.9          18.4  cr8570H55
g3709K06B06Q  C2006 09 04.08284 21 33 52.21 +24 33 55.6          18.5  cr8570H55
g3709K06B06Q  C2006 09 05.81417 21 32 48.59 +24 03 48.8          18.2 Vor8570198
g3709K06B06Q  C2006 09 05.82285 21 32 48.24 +24 03 40.3          18.1 Vor8570198
g3709K06B06Q  C2006 09 05.82405 21 32 48.19 +24 03 38.9          18.1 Vor8570198
g3709K06B06Q  C2006 09 05.82465 21 32 48.16 +24 03 38.5          18.1 Vor8570198
g3709K06B06Q  C2006 09 05.82555 21 32 48.11 +24 03 37.3          18.1 Vor8570198
g3709K06B06Q  C2006 09 06.29567 21 32 31.40 +23 55 39.5          18.3 Rrr8570H45
g3709K06B06Q  C2006 09 06.30067 21 32 31.18 +23 55 34.4          18.4 Rrr8570H45
g3709K06B06Q  C2006 09 06.30213 21 32 31.13 +23 55 32.7          18.3 Rrr8570H45
g3709K06B06Q  C2006 09 06.30314 21 32 31.04 +23 55 32.0          18.4 Rrr8570H45
g3709K06B06Q  C2006 09 06.30454 21 32 31.03 +23 55 30.2          18.3 Rrr8570H45
g3709K06B06Q  C2006 09 10.88777 21 30 58.28 +22 38 43.3          18.5 Rcr8570560
g3709K06B06Q  C2006 09 10.89149 21 30 58.21 +22 38 39.2          18.5 Rcr8570560
g3709K06B06Q  C2006 09 10.89397 21 30 58.17 +22 38 36.9          18.6 Rcr8570560
g3709K06B06Q  C2006 09 13.27639 21 30 39.82 +22 00 09.6          18.6 Rrr8570H45
g3709K06B06Q  C2006 09 13.27848 21 30 39.78 +22 00 07.7          18.6 Rrr8570H45
g3709K06B06Q  C2006 09 13.27994 21 30 39.77 +22 00 06.0          18.5 Rrr8570H45
g3709K06B06Q  C2006 09 13.28113 21 30 39.77 +22 00 04.9          18.6 Rrr8570H45
g3709K06B06Q  C2006 09 13.28231 21 30 39.75 +22 00 03.9          18.6 Rrr8570H45
g3709K06B06Q  C2006 09 13.28529 21 30 39.74 +22 00 00.8          18.5 Rrr8571H45
g3709K06B06Q  C2006 09 14.79742 21 30 40.30 +21 36 00.0          19.7 Rrr8571113
g3709K06B06Q  C2006 09 14.79895 21 30 40.29 +21 35 58.8          19.4 Rrr8571113
g3709K06B06Q  C2006 09 14.80051 21 30 40.31 +21 35 56.7          19.9 Rrr8571113
g3709K06B06Q  C2006 09 15.20446 21 30 41.02 +21 29 45.1          18.7 Ror8571644
g3709K06B06Q  C2006 09 15.20568 21 30 41.02 +21 29 43.9          18.7 Ror8571644
g3709K06B06Q  C2006 09 15.22532 21 30 40.88 +21 29 25.8          18.8 Ror8571644
g3709K06B06Q  C2006 09 15.22653 21 30 40.90 +21 29 24.4          18.9 Ror8571644
g3709K06B06Q  C2006 09 15.24740 21 30 40.74 +21 29 05.0          19.4 Ror8571644
g3709K06B06Q  C2006 09 15.24861 21 30 40.73 +21 29 03.9          19.5 Ror8571644
g3709K06B06Q  C2006 09 16.27709 21 30 44.85 +21 13 03.3          19.4 Rrr9379H45
g3709K06B06Q  C2006 09 16.28022 21 30 44.85 +21 13 00.3          19.3 Rrr9379H45
g3709K06B06Q  C2006 09 16.28171 21 30 44.83 +21 12 58.9          19.4 Rrr9379H45
g3709K06B06Q  C2006 09 16.28352 21 30 44.82 +21 12 56.8          19.4 Rrr9379H45
g3709K06B06Q  C2006 09 16.28484 21 30 44.83 +21 12 55.9          19.3 Rrr9379H45
g3709K06B06Q  C2006 09 16.28618 21 30 44.84 +21 12 54.7          19.2 Rrr9379H45
g3709K06B06Q  C2006 09 21.24168 21 31 52.46 +19 58 51.9          19.3 Rrr9379H45
g3709K06B06Q  C2006 09 21.24825 21 31 52.57 +19 58 46.1          19.3 Rrr9379H45
g3709K06B06Q  C2006 09 21.24981 21 31 52.58 +19 58 44.5          19.2 Rrr9379H45
g3709K06B06Q  C2006 09 21.25121 21 31 52.61 +19 58 43.2          19.1 Rrr9379H45
g3709K06B06Q  C2006 09 21.25277 21 31 52.61 +19 58 41.9          19.4 Rrr9379H45
g3709K06B06Q  C2006 09 21.25413 21 31 52.65 +19 58 40.9          19.4 Rrr9379H45
g3709K06B06Q  C2006 09 21.79823 21 32 05.31 +19 50 45.9          19.9 Vor9379151
g3709K06B06Q  C2006 09 21.80528 21 32 05.49 +19 50 41.2          20.1 Vor9379151
g3709K06B06Q  C2006 09 21.80789 21 32 05.57 +19 50 39.1          19.8 Vor9379151
g3709K06B06Q  C2006 09 21.83465 21 32 05.87 +19 50 15.3          18.7 Rrr9379113
g3709K06B06Q  C2006 09 21.83622 21 32 05.91 +19 50 14.1          18.8 Rrr9379113
g3709K06B06Q  C2006 09 21.83854 21 32 05.95 +19 50 12.3          18.7 Rrr9379113
g3709K06B06Q  C2006 09 21.84007 21 32 05.96 +19 50 11.2          18.8 Rrr9379113
g3709K06B06Q  C2006 09 21.84160 21 32 05.98 +19 50 09.9          18.8 Rrr9379113
g3709K06B06Q  C2006 09 21.84312 21 32 06.00 +19 50 08.5          18.8 Rrr9379113
g3709K06B06Q  C2006 09 26.23692 21 34 05.82 +18 49 29.9          19.5 Rrs1137H45
g3709K06B06Q  C2006 09 26.23891 21 34 05.88 +18 49 28.3          19.5 Rrs1137H45
g3709K06B06Q  C2006 09 26.24056 21 34 05.93 +18 49 27.0          19.5 Rrs1137H45
g3709K06B06Q  C2006 09 26.24286 21 34 05.99 +18 49 25.0          19.4 Rrs1137H45
g3709K06B06Q  C2006 09 26.24568 21 34 06.06 +18 49 22.8          19.4 Rrs1137H45
g3709K06B06Q  C2006 09 27.04125 21 34 33.98 +18 38 50.5          20.3  cs1137H55
g3709K06B06Q  C2006 09 27.04631 21 34 34.11 +18 38 46.5          20.2  cs1137H55
g3709K06B06Q  C2006 09 27.05121 21 34 34.26 +18 38 42.9          20.2  cs1137H55
g3709K06B06Q  C2006 09 28.16354 21 35 13.70 +18 24 21.4          19.5 Vrs1137703
g3709K06B06Q  C2006 09 28.17002 21 35 13.92 +18 24 14.5          19.4 Vrs1137703
g3709K06B06Q  C2006 09 28.17648 21 35 14.13 +18 24 10.0          19.2 Vrs1137703
g3709K06B06Q  C2006 09 28.18300 21 35 14.24 +18 24 05.6          19.7 Vrs1137703
g3709K06B06Q HC2008 11 30.37397 01 35 40.24 +34 36 19.9                o~01xh291
g3709K06B06Q HC2008 11 30.37836 01 35 40.05 +34 36 15.0                o~01xh291
g3709K06B06Q HC2008 11 30.38286 01 35 39.74 +34 36 10.2                o~01xh291
g3709K06B06Q KC2012 12 07.48031 07 47 50.90 +34 06 14.6          22.1 Ro~0m61291
g3709K06B06Q KC2012 12 07.48988 07 47 50.24 +34 06 15.5          22.0 Ro~0m61291
g3709K06B06Q KC2012 12 07.49944 07 47 49.65 +34 06 17.4          21.6 Ro~0m61291
g3709K06B06Q KC2014 12 26.44664510 50 04.39 +07 47 10.2          22.1 Vu~1Fi6H21
g3709K06B06Q KC2014 12 26.45713510 50 04.99 +07 47 00.3          21.9 Vu~1Fi6H21
g3709K06B06Q KC2014 12 26.46717410 50 05.55 +07 46 50.4          22.3 Vu~1Fi6H21
g3709K06B06Q  C2015 01 19.52268 11 05 59.390+00 01 21.88         21.0 wL~1GiVF51
g3709K06B06Q  C2015 01 19.53620 11 05 59.518+00 01 02.78         20.5 wL~1GiVF51
g3709K06B06Q  C2015 01 19.56329 11 05 59.771+00 00 24.62         20.0 wL~1GiVF51
g3709K06B06Q  C2015 01 21.55234 11 06 23.737-00 47 13.43         20.8 wL~1GiVF51
g3709K06B06Q  C2015 01 21.56437 11 06 23.782-00 47 31.11         20.2 wL~1GiVF51
g3709K06B06Q  C2015 01 21.57588 11 06 23.824-00 47 47.91         20.1 wL~1GiVF51
g3709K06B06Q  C2015 01 21.58746 11 06 23.863-00 48 04.91         20.0 wL~1GiVF51
g3709K06B06Q  C2015 01 23.48852 11 06 36.805-01 35 26.69         20.3 wL~1HzeF51
g3709K06B06Q  C2015 01 23.49998 11 06 36.785-01 35 44.15         20.1 wL~1HzeF51
g3709K06B06Q  C2015 01 23.52290 11 06 36.745-01 36 19.17         20.1 wL~1HzeF51
g3709K06B06Q  C2015 01 25.48130 11 06 38.446-02 27 08.60         20.4 wL~1HzeF51
g3709K06B06Q  C2015 01 25.49270 11 06 38.353-02 27 26.59         21.1 wL~1HzeF51
g3709K06B06Q  C2015 01 25.50405 11 06 38.268-02 27 44.75         20.7 wL~1HzeF51
g3709K06B06Q  C2015 01 25.51543 11 06 38.177-02 28 02.87         20.1 wL~1HzeF51
g3709K06B06Q  R2006 07 31.423611   3913323200                  8560 253 JPLRS253
g3709K06B06Q  r2006 07 31.423611C        20000                      253 JPLRS253
g3709K06B06Q  R2006 07 31.458333   3920448600                  8560 253 JPLRS253
g3709K06B06Q  r2006 07 31.458333C         1000                      253 JPLRS253
