     K08E07Z* C2008 03 07.48916 06 27 32.79 -22 36 44.9          18.4 Vry2318E12
     K08E07Z  C2008 03 08.64139207 55 03.41 -21 14 48.2          15.5 Rry2318E12
     K08E07Z  C2008 03 08.64160507 55 06.54 -21 14 41.0          15.2 Rry2318E12
     K08E07Z  C2008 03 08.78313 08 48 49.56 -21 06 20.9          15.3 Voy2318151
     K08E07Z  C2008 03 08.78373 08 49 04.93 -21 05 43.7          15.5 Voy2318151
     K08E07Z  C2008 03 08.78432 08 49 20.42 -21 05 06.4          15.3 Voy2318151
     K08E07Z  C2008 03 08.80766209 00 36.88 -20 30 48.5          14.2 Rry2318620
     K08E07Z  C2008 03 08.80804409 00 47.77 -20 30 18.7          14.0 Rry2318620
     K08E07Z  C2008 03 08.80822909 00 53.17 -20 30 04.7          13.8 Rry2318620
     K08E07Z  C2008 03 08.80950209 01 29.50 -20 28 25.6          14.4 Rry2318620
     K08E07Z  C2008 03 08.80987 09 00 55.91 -20 35 11.3          15.2 Voy2318151
     K08E07Z  C2008 03 08.80988409 01 40.47 -20 27 55.0          14.2 Rry2318620
     K08E07Z  C2008 03 08.81006909 01 45.79 -20 27 40.1          14.0 Rry2318620
     K08E07Z  C2008 03 08.81025509 01 51.11 -20 27 26.0          14.1 Rry2318620
     K08E07Z  C2008 03 08.81047509 01 57.28 -20 27 08.4          14.1 Rry2318620
     K08E07Z  C2008 03 08.81139 09 01 39.52 -20 33 10.6          15.1 Voy2318151
     K08E07Z  C2008 03 08.81175 09 01 49.98 -20 32 41.5          15.1 Voy2318151
     K08E07Z  C2008 03 08.81212 09 02 00.49 -20 32 12.4          15.0 Voy2318151
     K08E07Z 2C2008 03 08.92477910 07 56.54 -16 17 11.7          14.1  cy2318095
     K08E07Z 2C2008 03 08.92499610 08 06.24 -16 16 27.5          14.2  cy2318095
     K08E07Z 2C2008 03 08.92521310 08 15.90 -16 15 42.8          14.4  cy2318095
     K08E07Z 2C2008 03 08.92609210 08 55.02 -16 12 43.3          14.0  cy2318095
     K08E07Z 2C2008 03 08.92673810 09 23.94 -16 10 30.4          13.9  cy2318095
     K08E07Z 2C2008 03 08.92764910 10 04.78 -16 07 21.8          14.2  cy2318095
     K08E07Z 2C2008 03 08.92870210 10 52.13 -16 03 43.0          14.2  cy2318095
     K08E07Z 2C2008 03 08.92892210 11 02.07 -16 02 56.5          14.0  cy2318095
     K08E07Z 2C2008 03 08.92936210 11 21.92 -16 01 24.7          14.2  cy2318095
     K08E07Z 2C2008 03 08.92958310 11 31.84 -16 00 38.6          13.9  cy2318095
     K08E07Z 2C2008 03 08.92980310 11 41.79 -15 59 52.0          14.1  cy2318095
     K08E07Z 2C2008 03 08.93024210 12 01.76 -15 58 19.3          13.9  cy2318095
     K08E07Z 2C2008 03 08.93460910 15 20.94 -15 42 42.2          14.5  cy2318095
     K08E07Z 2C2008 03 08.93482910 15 31.03 -15 41 54.6          14.6  cy2318095
     K08E07Z 2C2008 03 08.93505110 15 41.29 -15 41 05.7          14.2  cy2318095
     K08E07Z 2C2008 03 08.93628010 16 37.94 -15 36 36.6          14.6  cy2318095
     K08E07Z 2C2008 03 08.93654910 16 50.38 -15 35 37.5          14.4  cy2318095
     K08E07Z 2C2008 03 08.93676910 17 00.55 -15 34 49.1          14.5  cy2318095
     K08E07Z 2C2008 03 08.93699010 17 10.72 -15 34 00.4          14.4  cy2318095
     K08E07Z 2C2008 03 08.93721010 17 20.96 -15 33 11.6          14.4  cy2318095
