     K08A33N* C2008 01 15.45910 13 20 58.23 +16 02 58.8          19.9 Vrx4408703
     K08A33N  C2008 02 16.38401112 27 42.01 +19 36 21.0          20.3 Vox9586H55
     K08A33N  C2008 03 01.37527311 53 53.82 +20 25 30.6          20.2 Voy2239H55
     K08A33N  C2008 03 01.37911711 53 53.33 +20 25 30.6          20.4 Voy2239H55
     K08A33N  C2008 03 01.38282211 53 52.64 +20 25 30.7          20.2 Voy2239H55
     K08A33N  C2008 03 02.40519 11 51 30.05 +20 26 21.1          20.3 Rry0839448
     K08A33N  C2008 03 02.42528 11 51 27.17 +20 26 22.2          19.6 Rry0839448
     K08A33N  C2008 03 02.44546 11 51 24.31 +20 26 22.1          19.8 Rry0839448
     K08A33N  C2008 03 31.23092 11 03 40.29 +18 35 34.1          22.0 Voy4798291
     K08A33N HC2008 03 31.23494 11 03 40.22 +18 35 31.1                oy4798291
     K08A33N  C2008 03 31.23905 11 03 39.87 +18 35 30.8          20.6 Voy4798291
     K08A33N  C2011 12 31.07721 22 07 40.83 -05 21 14.0          20.3 Vr~0byVG96
     K08A33N  C2011 12 31.08242 22 07 41.88 -05 21 00.2          20.3 Vr~0byVG96
     K08A33N  C2011 12 31.08751 22 07 42.88 -05 20 45.1          20.2 Vr~0byVG96
     K08A33N  C2011 12 31.09276 22 07 43.93 -05 20 30.1          20.6 Vr~0byVG96
     K08A33N KC2012 02 21.89260 04 07 03.94 +48 43 23.0                t~0e7i204
     K08A33N KC2012 02 21.91299 04 07 17.78 +48 43 34.4          19.6 Rt~0e7i204
     K08A33N KC2012 03 26.08795 07 57 40.04 +37 00 53.3          21.2 Vu~0fEXH21
     K08A33N KC2012 03 26.09738 07 57 42.07 +37 00 38.6          21.7 Vu~0fEXH21
     K08A33N KC2012 03 26.10650 07 57 44.01 +37 00 24.3          21.4 Vu~0fEXH21
