     K03K04F* C2003 05 25.17122 11 26 57.25 -06 52 06.7          16.8 Rci0298333
     K03K04F  C2003 05 28.17328 13 32 10.87 -44 24 32.2          16.9 Rmi0298333
     K03K04F  C2003 05 28.17367 13 32 11.97 -44 24 44.0          17.1 Rmi0298333
     K03K04F  C2003 05 28.17407 13 32 13.08 -44 24 56.8          17.2 Rmi0298333
     K03K04F  C2003 05 28.17527 13 32 16.46 -44 25 34.8          17.8 Rmi0298333
     K03K04F  C2003 05 28.17567 13 32 17.53 -44 25 46.9          17.1 Rmi0298333
     K03K04F  C2003 05 28.17608 13 32 18.59 -44 26 00.5          16.8 Rmi0298333
     K03K04F  C2003 05 28.17647 13 32 19.84 -44 26 12.9          17.1 Rmi0298333
     K03K04F  C2003 05 28.20981 13 33 52.92 -44 43 24.3          17.0 Rmi0298333
     K03K04F  C2003 05 28.21050 13 33 54.82 -44 43 45.8          17.2 Rmi0298333
     K03K04F  C2003 05 28.21083 13 33 55.81 -44 43 56.1          16.9 Rmi0298333
     K03K04F  C2003 05 28.21118 13 33 56.77 -44 44 07.0          17.3 Rmi0298333
     K03K04F  C2003 05 28.21153 13 33 57.69 -44 44 18.2          16.8 Rmi0298333
     K03K04F  C2003 05 28.21186 13 33 58.65 -44 44 28.1          17.1 Rmi0298333
     K03K04F  C2003 05 28.21221 13 33 59.67 -44 44 39.0          16.9 Rmi0298333
     K03K04F  C2003 05 29.49512014 37 39.70 -52 56 30.5          17.0 Vmi0298428
     K03K04F  C2003 05 29.49624314 37 42.85 -52 56 48.8          16.8 Vmi0298428
     K03K04F  C2003 05 30.49172 15 23 26.79 -56 20 24.1          15.6 Rci0298E14
     K03K04F  C2003 05 30.49547 15 23 35.89 -56 20 58.5          16.2 Rci0298E14
     K03K04F  C2003 05 30.49923 15 23 44.92 -56 21 32.6          15.8 Rci0298E14
     K03K04F  C2003 05 30.55764415 26 02.82 -56 30 28.3          17.2 Vmi0298428
     K03K04F  C2003 05 30.56029615 26 09.16 -56 30 50.0          17.4 Vmi0298428
     K03K04F  C2003 05 30.56151415 26 12.03 -56 31 00.0          17.4 Vmi0298428
     K03K04F  C2003 05 30.56282215 26 15.14 -56 31 10.7          17.3 Vmi0298428
     K03K04F  C2003 06 02.46510 17 00 38.59 -59 04 19.8          17.1 Rci0298474
     K03K04F  C2003 06 02.47986 17 00 57.87 -59 04 26.0          18.0 Rci0298474
     K03K04F  C2003 06 02.48079 17 00 59.07 -59 04 26.3          16.5 Rci0298474
     K03K04F IC2003 06 02.48426 17 01 03.41 -59 04 28.7          16.4 Rci0298474
     K03K04F IC2003 06 02.48507 17 01 04.70 -59 04 27.7          16.5 Rci0298474
     K03K04F  C2003 06 02.48576 17 01 05.43 -59 04 29.2          16.7 Rci0298474
     K03K04F  C2003 06 02.48692 17 01 06.98 -59 04 29.2          16.6 Rci0298474
     K03K04F IC2003 06 02.58461 17 03 11.93 -59 04 39.6                ci0298474
     K03K04F  C2003 06 02.58542 17 03 12.72 -59 04 39.3          16.8 Rci0298474
     K03K04F  C2003 06 02.58681 17 03 14.54 -59 04 38.9          17.1 Rci0298474
     K03K04F  C2003 06 02.58819 17 03 16.28 -59 04 38.7          17.1 Rci0298474
     K03K04F  C2003 06 04.57294 17 39 57.72 -58 44 26.0          18.4 Vbi0298428
     K03K04F  C2003 06 04.57794 17 40 01.67 -58 44 20.9          18.6 Vbi0298428
     K03K04F  C2003 06 08.66288 18 21 19.90 -57 18 09.8          19.0 Rci1585E14
     K03K04F  C2003 06 08.66997 18 21 22.44 -57 18 00.9          19.2 Rci1585E14
     K03K04F  C2003 06 08.67705 18 21 25.10 -57 17 50.0          19.6 Rci1585E14
