     K09M00U  C2009 06 22.99682215 13 56.26 +16 05 06.0          16.7 Rr~07YPJ95
     K09M00U  C2009 06 23.04567715 11 50.38 +16 30 33.3          16.8 Rr~07YPJ95
     K09M00U  C2009 06 23.04813915 11 43.93 +16 31 52.0          17.1 Rr~07YPJ95
     K09M00U  C2009 06 23.05250015 11 32.45 +16 34 11.6          16.8 Rr~07YPJ95
     K09M00U  C2009 06 23.15782 15 07 05.59 +17 37 38.0          17.7 Vo~07YPH55
     K09M00U  C2009 06 23.16272 15 06 50.44 +17 40 34.8          17.8 Vo~07YPH55
     K09M00U  C2009 06 23.16435 15 06 45.40 +17 41 33.8          17.6 Vo~07YPH55
     K09M00U  C2009 06 23.16598 15 06 40.34 +17 42 32.8          17.5 Vo~07YPH55
     K09M00U  C2009 06 23.17126 15 06 24.73 +17 45 14.2          16.1 Vo~07YPH26
     K09M00U  C2009 06 23.17178 15 06 23.15 +17 45 33.3          16.0 Vo~07YPH26
     K09M00U  C2009 06 23.17330 15 06 18.35 +17 46 28.8          16.2 Vo~07YPH26
     K09M00U  C2009 06 23.18157 15 05 52.97 +17 51 24.6          15.9 Vo~07YPH26
     K09M00U  C2009 06 23.18259 15 05 49.82 +17 52 01.2          16.1 Vo~07YPH26
     K09M00U  C2009 06 23.18310 15 05 48.16 +17 52 19.9          16.0 Vo~07YPH26
     K09M00U  C2009 06 23.18361 15 05 46.61 +17 52 39.0          15.9 Vo~07YPH26
     K09M00U  C2009 06 23.18513 15 05 41.79 +17 53 35.4          16.8 Vo~07YPH26
     K09M00U  C2009 06 23.18613 15 05 38.63 +17 54 11.5          16.7 Vo~07YPH26
     K09M00U  C2009 06 23.18664 15 05 36.91 +17 54 30.5          16.6 Vo~07YPH26
     K09M00U  C2009 06 23.20470 15 04 39.22 +18 07 15.9          17.7 Rr~07YPH45
     K09M00U  C2009 06 23.20519 15 04 37.57 +18 07 34.3          17.6 Rr~07YPH45
     K09M00U  C2009 06 23.20594 15 04 35.15 +18 08 02.8          17.6 Rr~07YPH45
     K09M00U  C2009 06 23.20648 15 04 33.39 +18 08 22.6          17.7 Rr~07YPH45
     K09M00U  C2009 06 23.20700 15 04 31.73 +18 08 42.5          17.9 Rr~07YPH45
     K09M00U  C2009 06 23.20763 15 04 29.61 +18 09 06.2          17.9 Rr~07YPH45
     K09M00U  C2009 06 23.20953 15 04 23.54 +18 10 17.3          17.6 Rr~07YPH45
     K09M00U  C2009 06 23.21030 15 04 20.94 +18 10 45.8          18.0 Rr~07YPH45
     K09M00U  C2009 06 23.21100 15 04 18.65 +18 11 13.0          18.0 Rr~07YPH45
     K09M00U  C2009 06 23.21146 15 04 17.16 +18 11 29.6          18.1 Rr~07YPH45
     K09M00U  C2009 06 23.21214 15 04 14.91 +18 11 55.3          18.1 Rr~07YPH45
     K09M00U  C2009 06 23.90154814 07 07.88 +28 40 56.0          16.6 Rr~07YPJ95
     K09M00U  C2009 06 23.90413014 06 46.33 +28 44 09.1          17.2 Rr~07YPJ95
     K09M00U  C2009 06 23.90613714 06 29.54 +28 46 40.0          16.6 Rr~07YPJ95
     K09M00U  C2009 06 23.95757813 59 00.99 +29 52 10.7          16.2 Rr~07YPJ95
     K09M00U  C2009 06 23.95881213 58 49.80 +29 53 46.5          16.1 Rr~07YPJ95
     K09M00U  C2009 06 23.95998413 58 39.15 +29 55 17.5          16.1 Rr~07YPJ95
     K09M00U  C2009 06 23.98925913 54 06.85 +30 33 35.5          16.4 Rr~07YPJ95
     K09M00U  C2009 06 23.99056713 53 54.41 +30 35 19.1          16.5 Rr~07YPJ95
     K09M00U  C2009 06 23.99187613 53 41.94 +30 37 02.6          16.9 Rr~07YPJ95
     K09M00U  C2009 06 24.01785513 49 29.12 +31 11 38.5          16.4 Rr~07YPJ95
     K09M00U  C2009 06 24.01976013 49 10.18 +31 14 12.1          16.7 Rr~07YPJ95
     K09M00U  C2009 06 24.02481913 48 19.75 +31 21 00.2          17.5 Rr~07YPJ95
     K09M00U  C2009 06 24.12251 13 31 09.07 +33 48 49.3          17.0 Vo~07YPH55
     K09M00U  C2009 06 24.12497 13 30 38.96 +33 52 21.2          17.7 Vo~07YPH55
     K09M00U  C2009 06 24.13013 13 29 35.90 +33 59 46.8          17.4 Vo~07YPH55
