     K06J26Y  C2006 05 10.17070 09 09 46.90 -14 34 35.2          19.5 Vrr1457G96
     K06J26Y  C2006 05 10.17094 09 09 44.56 -14 34 33.2          19.0 Vrr1457G96
     K06J26Y  C2006 05 10.17122 09 09 41.76 -14 34 29.6          18.6 Vrr1457G96
     K06J26Y  C2006 05 10.17232 09 09 30.92 -14 34 18.1          17.6 Vrr1457G96
     K06J26Y  C2006 05 10.17256 09 09 28.44 -14 34 15.4          17.4 Vrr1457G96
     K06J26Y  C2006 05 10.17281 09 09 26.20 -14 34 12.7          17.8 Vrr1457G96
     K06J26Y  C2006 05 10.17305 09 09 23.65 -14 34 10.2          18.3 Vrr1457G96
     K06J26Y  C2006 05 10.17368 09 09 17.53 -14 34 02.6          19.1 Vrr1457G96
     K06J26Y  C2006 05 10.17395 09 09 14.83 -14 34 00.3          17.9 Vrr1457G96
     K06J26Y  C2006 05 10.17420 09 09 12.38 -14 33 57.6          18.5 Vrr1457G96
     K06J26Y  C2006 05 10.17442 09 09 10.29 -14 33 55.2          17.9 Vrr1457G96
