     K03D10W  C2003 03 02.18725 06 30 05.26 +32 54 27.2                ch4391670
     K03D10W  C2003 03 02.84113 04 29 40.85 +28 57 35.6          16.8 Rdh4391J95
     K03D10W  C2003 03 02.84182 04 29 30.03 +28 56 53.0          17.6 Rdh4391J95
     K03D10W  C2003 03 02.84258 04 29 18.36 +28 56 08.5          16.8 Rdh4391J95
     K03D10W  C2003 03 02.84334 04 29 06.50 +28 55 22.8          16.8 Rdh4391J95
     K03D10W  C2003 03 02.86720 04 22 53.39 +28 30 47.3          17.1 Rdh4391J95
     K03D10W  C2003 03 02.87683 04 20 21.74 +28 20 21.9          17.1 Rdh4391J95
     K03D10W  C2003 03 02.87754 04 20 10.56 +28 19 35.8          17.2 Rdh4391J95
     K03D10W  C2003 03 02.88266 04 18 49.68 +28 13 54.8          17.3 Rdh4391J95
     K03D10W  C2003 03 02.88337 04 18 38.52 +28 13 07.8          16.7 Rdh4391J95
     K03D10W  C2003 03 02.88407 04 18 27.51 +28 12 20.9          17.2 Rdh4391J95
     K03D10W  C2003 03 02.88604 04 17 56.30 +28 10 07.8          17.7 Rdh4391J95
     K03D10W  C2003 03 02.88673 04 17 45.42 +28 09 21.1          17.0 Rdh4391J95
     K03D10W  C2003 03 02.88742 04 17 34.41 +28 08 33.0          17.2 Rdh4391J95
     K03D10W  C2003 03 02.89030 04 16 48.92 +28 05 17.9          17.1 Rdh4391J95
     K03D10W  C2003 03 02.89101 04 16 37.63 +28 04 28.3          17.1 Rdh4391J95
     K03D10W  C2003 03 02.89383 04 15 52.91 +28 01 13.8          17.5 Rdh4391J95
     K03D10W  C2003 03 02.89454 04 15 41.65 +28 00 24.5          17.4 Rdh4391J95
     K03D10W  C2003 03 02.89524 04 15 30.63 +27 59 37.2          17.0 Rdh4391J95
     K03D10W  C2003 03 02.89707 04 15 01.48 +27 57 29.6          17.2 Rdh4391J95
     K03D10W  C2003 03 02.89794 04 14 47.75 +27 56 28.6          17.3 Rdh4391J95
     K03D10W  C2003 03 02.89885 04 14 33.19 +27 55 24.6          17.8 Rdh4391J95
     K03D10W  C2003 03 02.90201 04 13 43.09 +27 51 42.8          16.7 Rdh4391J95
     K03D10W  C2003 03 02.90270 04 13 32.08 +27 50 54.1          16.9 Rdh4391J95
     K03D10W  C2003 03 02.90617 04 12 37.01 +27 46 47.5          16.8 Rdh4391J95
     K03D10W  C2003 03 02.90691 04 12 25.24 +27 45 54.6          17.0 Rdh4391J95
     K03D10W  C2003 03 03.08103 03 25 43.80 +23 57 38.6          18.2 Rch4391649
     K03D10W  C2003 03 03.08232 03 25 21.83 +23 55 29.1          17.8 Rch4391649
     K03D10W  C2003 03 03.08287 03 25 12.49 +23 54 34.6          17.3 Rch4391649
     K03D10W  C2003 03 03.08524 03 24 31.73 +23 50 34.4          17.8 Rch4391649
     K03D10W  C2003 03 03.13425 03 11 04.38 +22 31 07.2                ch4391670
     K03D10W  C2003 03 03.13491 03 10 53.03 +22 29 56.1                ch4391670
