     K08S07T* C2008 09 24.29993 01 18 27.50 +16 17 18.6          20.2 Vrz6852G96
     K08S07T  C2008 10 02.33795 01 10 48.32 +15 39 28.4          21.1 Voz8083H55
     K08S07T  C2008 10 02.34678 01 10 47.83 +15 39 25.6          21.3 Voz8083H55
     K08S07T  C2008 10 03.26905 01 10 09.38 +15 34 51.0          21.1 Voz9356H55
     K08S07T  C2008 10 03.27364 01 10 10.41 +15 34 56.3                oz8083291
     K08S07T  C2008 10 03.27686 01 10 08.88 +15 34 49.0          21.2 Voz9356H55
     K08S07T  C2008 10 03.27757 01 10 10.17 +15 34 55.1                oz8083291
     K08S07T  C2008 10 03.28140 01 10 09.95 +15 34 54.2                oz8083291
     K08S07T  C2008 10 03.28586 01 10 08.33 +15 34 46.1          21.2 Voz9356H55
     K08S07T  C2008 10 04.22202 01 09 31.12 +15 30 05.0          21.1 Voz9356H55
     K08S07T  C2008 10 04.23072 01 09 30.57 +15 30 02.1          21.1 Voz9356H55
     K08S07T  C2008 10 04.23966 01 09 30.05 +15 29 59.7          21.0 Voz9356H55
     K08S07T  C2008 10 05.27346 01 08 49.36 +15 24 48.9          21.3 Voz9356H55
     K08S07T  C2008 10 05.28145 01 08 48.91 +15 24 45.0          21.4 Voz9356H55
     K08S07T  C2008 10 05.28952 01 08 48.46 +15 24 43.0          21.6 Voz9356H55
     K08S07T  C2008 10 06.24004 01 08 14.57 +15 19 56.3          21.2 Voz9356H55
     K08S07T  C2008 10 06.25578 01 08 13.69 +15 19 52.6          21.2 Voz9356H55
     K08S07T  C2008 10 06.27164 01 08 12.86 +15 19 47.4          21.6 Voz9356H55
     K08S07T  C2008 10 06.42130 01 08 06.11 +15 19 06.1          21.4 Voz9356291
     K08S07T  C2008 10 06.42750 01 08 05.81 +15 19 04.1          21.4 Voz9356291
     K08S07T  C2008 10 06.44473 01 08 04.99 +15 18 57.6          21.5 Voz9356291
     K08S07T  C2008 10 07.43196 01 07 31.55 +15 14 02.0          21.7 Voz9356291
     K08S07T  C2008 10 07.44034 01 07 31.13 +15 13 58.9          21.3 Voz9356291
     K08S07T  C2008 10 07.45765 01 07 30.37 +15 13 52.7          21.2 Voz9356291
     K08S07T  C2008 10 07.87595 01 07 20.59 +15 11 35.4                rz9356J95
     K08S07T  C2008 10 08.03888 01 07 13.41 +15 10 47.6          21.2 Rrz9356J95
     K08S07T  C2008 10 08.44936 01 06 58.82 +15 08 55.8          21.9 Voz9356291
     K08S07T HC2008 10 08.45514 01 06 58.57 +15 08 53.8                oz9356291
     K08S07T HC2008 10 08.46109 01 06 58.30 +15 08 51.9                oz9356291
