     K09F00J  C2009 03 19.13964 11 50 03.13 -03 08 49.1          17.2 Rr~05KVH26
     K09F00J  C2009 03 19.14015 11 50 04.13 -03 08 55.2          17.1 Rr~05KVH26
     K09F00J  C2009 03 19.14065 11 50 05.14 -03 09 03.0          17.4 Rr~05KVH26
     K09F00J  C2009 03 19.14115 11 50 06.11 -03 09 10.2          17.2 Rr~05KVH26
     K09F00J  C2009 03 19.14166 11 50 07.17 -03 09 16.7          17.0 Rr~05KVH26
     K09F00J  C2009 03 19.14215 11 50 08.11 -03 09 24.3          17.0 Rr~05KVH26
     K09F00J  C2009 03 19.14266 11 50 09.10 -03 09 31.3          16.6 Rr~05KVH26
     K09F00J  C2009 03 19.14316 11 50 10.17 -03 09 38.7          16.3 Rr~05KVH26
     K09F00J  C2009 03 19.14366 11 50 11.10 -03 09 45.4          16.5 Rr~05KVH26
     K09F00J  C2009 03 19.14417 11 50 12.20 -03 09 53.0          16.3 Rr~05KVH26
     K09F00J  C2009 03 19.14466 11 50 13.14 -03 09 59.5          16.1 Rr~05KVH26
     K09F00J  C2009 03 19.14517 11 50 14.12 -03 10 06.8          16.4 Rr~05KVH26
     K09F00J  C2009 03 19.14567 11 50 15.16 -03 10 13.8          16.1 Rr~05KVH26
     K09F00J  C2009 03 19.14617 11 50 16.16 -03 10 21.2          16.5 Rr~05KVH26
     K09F00J  C2009 03 19.14667 11 50 17.12 -03 10 28.1          16.6 Rr~05KVH26
     K09F00J  C2009 03 19.14718 11 50 18.10 -03 10 35.2          16.6 Rr~05KVH26
     K09F00J  C2009 03 19.14767 11 50 19.16 -03 10 42.4          17.1 Rr~05KVH26
     K09F00J  C2009 03 19.14818 11 50 20.14 -03 10 49.3          17.1 Rr~05KVH26
     K09F00J  C2009 03 20.32646 12 22 48.86 -06 46 24.6          17.6 Rr~05KVH45
     K09F00J  C2009 03 20.32773 12 22 50.38 -06 46 35.3          17.5 Rr~05KVH45
     K09F00J  C2009 03 20.32830 12 22 51.12 -06 46 40.4          17.5 Rr~05KVH45
     K09F00J  C2009 03 20.32892 12 22 51.85 -06 46 45.5          17.6 Rr~05KVH45
     K09F00J  C2009 03 20.32987 12 22 52.99 -06 46 53.2          17.2 Rr~05KVH45
     K09F00J  C2009 03 20.33043 12 22 53.69 -06 46 58.4          17.5 Rr~05KVH45
     K09F00J  C2009 03 20.33107 12 22 54.46 -06 47 03.9          17.7 Rr~05KVH45
     K09F00J  C2009 03 20.33204 12 22 55.63 -06 47 11.3          17.7 Rr~05KVH45
     K09F00J  C2009 03 20.33304 12 22 56.84 -06 47 20.1          17.9 Rr~05KVH45
     K09F00J  C2009 03 20.65587 12 29 43.79 -07 30 25.4          16.8 Co~05ZiD80
     K09F00J  C2009 03 20.65661 12 29 44.59 -07 30 32.1          17.1 Co~05ZiD80
     K09F00J  C2009 03 20.88979 12 34 19.65 -07 58 48.8                c~05Zi587
     K09F00J  C2009 03 20.89229 12 34 22.23 -07 59 06.5                c~05Zi587
     K09F00J  C2009 03 20.89627 12 34 26.28 -07 59 32.9          17.6 Rc~05Zi587
     K09F00J  C2009 03 20.90262 12 34 32.67 -08 00 17.1                c~05Zi587
     K09F00J  C2009 03 22.28762 12 54 34.53 -10 04 19.2          17.8 Vo~05ZiH55
     K09F00J  C2009 03 22.28922 12 54 35.53 -10 04 25.9          18.3 Vo~05ZiH55
     K09F00J  C2009 03 22.28997 12 54 36.00 -10 04 28.9          18.4 Vo~05ZiH55
     K09F00J  C2009 03 22.29062 12 54 36.40 -10 04 31.8          18.6 Vo~05ZiH55
     K09F00J  C2009 03 26.33731 13 24 16.97 -12 53 50.9          19.2 Vo~05Zi291
     K09F00J  C2009 03 26.34136 13 24 17.81 -12 53 56.9          19.5 Vo~05Zi291
     K09F00J  C2009 03 26.34533 13 24 18.71 -12 54 02.5          19.4 Vo~05Zi291
     K09F00J  C2009 03 28.27122 13 31 36.00 -13 32 09.2          19.7 Vo~05ux291
     K09F00J  C2009 03 28.27533 13 31 36.57 -13 32 13.3          20.0 Vo~05ux291
     K09F00J  C2009 03 28.27925 13 31 37.15 -13 32 17.7          20.0 Vo~05ux291
     K09F00J  C2009 03 31.29962 13 38 59.52 -14 09 09.0          20.2 Vo~05ux291
     K09F00J  C2009 03 31.30699 13 39 00.08 -14 09 13.3          20.0 Vo~05ux291
     K09F00J  C2009 03 31.31102 13 39 00.39 -14 09 15.6          20.5 Vo~05ux291
     K09F00J  C2009 04 01.24859 13 40 41.70 -14 16 59.0          20.5 Vo~05ux291
     K09F00J  C2009 04 01.25241 13 40 41.99 -14 17 01.5          20.8 Vo~05ux291
     K09F00J  C2009 04 01.25579 13 40 39.96 -14 17 14.8          20.8 Vo~05uxH55
     K09F00J  C2009 04 01.25624 13 40 42.24 -14 17 03.7          20.8 Vo~05ux291
     K09F00J  C2009 04 01.26713 13 40 40.75 -14 17 20.0                o~05uxH55
     K09F00J  C2009 04 01.28037 13 40 41.60 -14 17 26.1          20.6 Vo~05uxH55
     K09F00J  C2009 04 02.25473 13 42 13.55 -14 23 59.6          21.0 Vo~05ux291
     K09F00J  C2009 04 02.25856 13 42 13.76 -14 24 01.5          20.7 Vo~05ux291
     K09F00J  C2009 04 02.26256 13 42 13.99 -14 24 03.3          21.3 Vo~05ux291
     K09F00J HC2009 04 05.27062 13 45 40.96 -14 38 38.4                o~068h291
     K09F00J HC2009 04 05.28115 13 45 41.38 -14 38 42.2                o~068h291
     K09F00J  C2009 04 05.29170 13 45 41.71 -14 38 44.4                o~068h291
     K09F00J  C2009 04 16.20292 13 50 56.43 -14 50 31.0          21.9 Vo~06BiH55
     K09F00J  C2009 04 16.22000 13 50 56.36 -14 50 30.9          22.0 Vo~06BiH55
     K09F00J  C2009 04 16.23691 13 50 56.29 -14 50 30.8          22.1 Vo~06BiH55
     K09F00J  C2009 04 17.24821 13 51 08.32 -14 49 58.4          22.6 Vo~06NMH55
     K09F00J  C2009 04 17.27361 13 51 08.15 -14 49 57.8          22.2 Vo~06NMH55
